platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,Ya allah jahat banget,1244282,916700.0,7482.0,13100.0,positive,https://www.tiktok.com/@sudrajat_roti_art/video/7578892915330665735,2026-05-28 14:32:57.891944
tiktok,#muslim#islamic_video#tiktok,690103,535300.0,5103.0,27700.0,neutral,https://www.tiktok.com/@kk351808/video/7534024670455155976,2026-05-28 14:32:09.222166
tiktok,Long overdue banter among these brothers #malaysia #singapore #indonesia #malaysiantiktok,606382,518600.0,3582.0,37200.0,neutral,https://www.tiktok.com/@isawkwardguy/video/7638942924260035858,2026-05-28 14:32:46.487223
tiktok,"Semoga almarhumah korban diampuni semua dosa2 nya dan diterima segala amal ibadahnya.. dan seluruh keluarga diberikan ketabahan.. aamiin yra 🤲🤲

Stop Narkoba sekarang juga..❌❌

#WarOnDrugs
#StopNarkob",504672,384200.0,9672.0,10800.0,neutral,https://www.tiktok.com/@manangsoebeti_official/video/7399507269810932998,2026-05-28 14:32:32.471753
tiktok,"Salah pilih lawan, kan jadi makin ramekan, semuanya keluar😂 #netizen #netizenindonesia #knetz #seablings #kpop",484122,409800.0,7122.0,25200.0,neutral,https://www.tiktok.com/@dldla2/video/7605819499903831317,2026-05-28 14:32:33.865455
tiktok,"yang lagi virall di Pati Jawa Tengah, calon mempelai wanita kabur bersama laki laki lain beberapa jam sebelum akad nikah di langsungkan",305425,171100.0,6825.0,29500.0,neutral,https://www.tiktok.com/@barengganjar/video/7642541884245576978,2026-05-28 14:32:40.308267
tiktok,"Inilah yang orang kata 1 Malaysia😂 #fyp #xtra #melayu #cina #cakap Sumber: malayapulse 

P/s: Video ini bukan milik XTRA dan kredit telah diberikan kepada pemilik asal. Jika anda ingin kami menurunkan",282161,205300.0,1361.0,37500.0,positive,https://www.tiktok.com/@xtra_my/video/7639570510032014613,2026-05-28 14:32:41.704187
tiktok,"Penjelasan👇🏽
Zaman Keemasan Islam (Islamic Golden Age) adalah periode kejayaan intelektual, ekonomi, dan budaya (sekitar abad ke-8 hingga ke-13) di bawah Kekhalifahan Abbasiyah, berpusat di Baghdad. D",198914,174100.0,925.0,6889.0,positive,https://www.tiktok.com/@dybalagntgbgt/video/7636338608366013714,2026-05-28 14:32:22.083841
tiktok,"Saya seru rakyat Malaysia semua bersatu mengeluarkan suara anda semua misi belum lagi selesai !! Letsgo MALAYSIAAA FOR P !!, We meed you and all around the world who stands with P lets do this !! Gen ",197089,172700.0,1447.0,8942.0,positive,https://www.tiktok.com/@haroqscrazy/video/7634522759346916615,2026-05-28 14:32:53.672409
tiktok,POV : Duo Sultan Bersatu Siap Membantu 🇮🇩🇲🇾 #aisarsultanmalaysia #donisalmanan,183376,155300.0,1345.0,1731.0,positive,https://www.tiktok.com/@jackeulana/video/7628882896211823892,2026-05-28 14:32:30.457949
