platform,content,engagement,likes,comments,shares,sentiment,url,date
threads,,42345,42345.0,0,0,neutral,https://www.threads.com/@shhdhali/post/DYxzd_VkhC9,2026-05-28 21:17:11.837268
threads,,23541,23541.0,0,0,neutral,https://www.threads.com/@zizi_kirana/post/DYe4yilCDBT,2026-05-28 22:41:28.849863
threads,,19921,19921.0,0,0,neutral,https://www.threads.com/@dimasgepe/post/DYWqh8WEwcY,2026-05-28 21:17:11.837113
threads,,16248,16248.0,0,0,neutral,https://www.threads.com/@muhammad.taufan.16/post/DWXYN4djS9L,2026-05-28 21:38:08.209770
threads,,8890,8890.0,0,0,neutral,https://www.threads.com/@izzvtiesaifurizal/post/DYe0qKgEupa,2026-05-28 22:41:28.849379
threads,,8118,8118.0,0,0,neutral,https://www.threads.com/@jpnppofficial/post/DYsEFjBmsQE,2026-05-28 21:17:11.837489
threads,,7875,7875.0,0,0,neutral,https://www.threads.com/@feovle/post/DYpBrgHk47d,2026-05-28 21:38:08.210397
threads,,5688,5688.0,0,0,neutral,https://www.threads.com/@kuettt/post/DUdt5dUgQ_I,2026-05-28 18:31:34.724205
threads,,4666,4666.0,0,0,neutral,https://www.threads.com/@matcha.lavte_/post/DYkNYCSkkVe,2026-05-28 18:31:34.724073
threads,,3721,3721.0,0,0,neutral,https://www.threads.com/@farisbroski/post/DV7ovrdEqRO,2026-05-28 21:17:11.837192
threads,,3069,3069.0,0,0,neutral,https://www.threads.com/@lennassii/post/DYyJe_PAXIR,2026-05-28 21:17:11.837021
threads,,2087,2087.0,0,0,neutral,https://www.threads.com/@othman_trader/post/DY2A3mBmLPl,2026-05-28 21:38:08.208729
threads,,1988,1988.0,0,0,neutral,https://www.threads.com/@haziqzolkiflee/post/DWY72gVmXTl,2026-05-28 21:38:08.212055
threads,,1947,1947.0,0,0,neutral,https://www.threads.com/@kartunisgandum/post/DXpCc7Fj4Fs,2026-05-28 22:41:28.849477
threads,,1840,1840.0,0,0,neutral,https://www.threads.com/@nedynsr/post/DYS1WAME1JD,2026-05-28 22:41:28.849254
threads,,1603,1603.0,0,0,neutral,https://www.threads.com/@abdur_rahman_bin_ahmadnafis/post/DY3RN8MgZY3,2026-05-28 21:38:08.209412
threads,,1581,1581.0,0,0,neutral,https://www.threads.com/@umieyzyne/post/DYC4CA3GXZh,2026-05-28 18:31:34.724139
threads,,1476,1476.0,0,0,neutral,https://www.threads.com/@zairyabdullah24/post/DQGV0rHD8gA,2026-05-28 22:41:28.848817
threads,,1192,1192.0,0,0,neutral,https://www.threads.com/@shamharimohdsidek/post/DKRO7YQJJZe,2026-05-28 22:41:28.848349
threads,,884,884.0,0,0,neutral,https://www.threads.com/@misssweetpotato_/post/DY2S8qNE7GI,2026-05-28 22:41:28.849572
threads,,838,838.0,0,0,neutral,https://www.threads.com/@nazzz_a93/post/DTtoi7eAazg,2026-05-28 22:41:28.847828
threads,,828,828.0,0,0,neutral,https://www.threads.com/@fosuy_imlihluz/post/DRTz1n7EXbc,2026-05-28 22:41:28.848469
threads,,828,828.0,0,0,neutral,https://www.threads.com/@zairyabdullah24/post/DQRhPdDD79u,2026-05-28 22:41:28.847551
threads,,823,823.0,0,0,neutral,https://www.threads.com/@izuanhakeem/post/DJCG8XhznED,2026-05-28 21:17:11.837561
threads,,795,795.0,0,0,neutral,https://www.threads.com/@shafiq.abdulhalim/post/DT6KPURkp58,2026-05-28 21:38:08.211820
threads,,667,667.0,0,0,neutral,https://www.threads.com/@reduan710426/post/DY3ZZhXAN6w,2026-05-28 21:38:08.209153
threads,,656,656.0,0,0,neutral,https://www.threads.com/@m.y_why/post/DJ_288ISXZW,2026-05-28 21:17:11.836370
threads,,623,623.0,0,0,neutral,https://www.threads.com/@nrl_karin4/post/DY2L6H_EkDo,2026-05-28 22:41:28.848713
threads,,599,599.0,0,0,neutral,https://www.threads.com/@mac.hafiz/post/DYbr4KVEy2G,2026-05-28 22:41:28.849150
threads,,488,488.0,0,0,neutral,https://www.threads.com/@rafiziramli/post/DYqv-zsko7z,2026-05-28 22:41:28.848938
threads,,481,481.0,0,0,neutral,https://www.threads.com/@ohmymedia.cc/post/DYl8G4ejeMD,2026-05-28 21:38:08.209933
threads,,432,432.0,0,0,neutral,https://www.threads.com/@mymakandalam/post/DOs6AujkVA_,2026-05-28 22:41:28.848225
threads,,407,407.0,0,0,neutral,https://www.threads.com/@abdulhadi_awang/post/DU9xNBVkqgY,2026-05-28 21:38:08.212405
threads,,389,389.0,0,0,neutral,https://www.threads.com/@stanisa_dobric/post/DY36nCMDKhp,2026-05-28 21:38:08.210546
threads,,354,354.0,0,0,neutral,https://www.threads.com/@relalop99/post/DY3c_sRD6jY,2026-05-28 22:41:28.849044
threads,,303,303.0,0,0,neutral,https://www.threads.com/@faiezzulmuhammady/post/DKAM1MgSncA,2026-05-28 21:17:11.836514
threads,,255,255.0,0,0,neutral,https://www.threads.com/@qshidayah/post/DLJ8i3SyPsm,2026-05-28 21:17:11.836277
threads,,220,220.0,0,0,neutral,https://www.threads.com/@cecilia.rubygrace/post/DRGz2xyAZ7M,2026-05-28 21:17:11.836789
threads,,219,219.0,0,0,neutral,https://www.threads.com/@mohamadbinzakaria/post/DTWRd8_DrDO,2026-05-28 22:41:28.846435
threads,,186,186.0,0,0,neutral,https://www.threads.com/@fraglant/post/DVJEfyeCP7b,2026-05-28 21:17:11.836093
threads,,78,78.0,0,0,neutral,https://www.threads.com/@luth_ibrahim_/post/DJ0Zo1YTOIN,2026-05-28 21:17:11.837344
threads,,76,76.0,0,0,neutral,https://www.threads.com/@mokhtarkader/post/DXW36NWFMCY,2026-05-28 21:38:08.211703
threads,,65,65.0,0,0,neutral,https://www.threads.com/@maznahmohdmerica/post/DY0flSuGtBf,2026-05-28 21:17:11.836919
threads,,60,60.0,0,0,neutral,https://www.threads.com/@luqman.syahwal/post/DY2M0eMk12t,2026-05-28 21:38:08.209605
threads,,53,53.0,0,0,neutral,https://www.threads.com/@rosyl0urel/post/DY4aXwfGj4v,2026-05-28 22:41:28.848603
threads,,49,49.0,0,0,neutral,https://www.threads.com/@rush.kini/post/DS66J-KEmmA,2026-05-28 21:38:08.211424
threads,,46,46.0,0,0,neutral,https://www.threads.com/@fauzzury/post/DYXBUogGRjr,2026-05-28 21:17:11.837418
threads,,34,34.0,0,0,neutral,https://www.threads.com/@lunaqty._/post/DY4J-mRGpYB,2026-05-28 22:41:28.849672
threads,,8,8.0,0,0,neutral,https://www.threads.com/@hkc7201/post/DY3YUahktOc,2026-05-28 22:41:28.848023
threads,,0,0,0,0,neutral,https://www.threads.com/@rubenmikedelacruz/post/DY4T3tID5_x,2026-05-28 22:41:28.849779
