platform,content,sentiment_score,engagement,url,date
threads,"sabah jauh, orang sana nak parti yang tempatan untuk mewakili mereka",0.9994125247001647,1,nan,NaT
threads,Terbaik YB ini yg sepatutnya menjadikan Malaysia satu hub hiburan mmg satu perancangan yg baik dalam masa dpt meningkatkan ekonomi Negara dan peniaga2 kecik. Terbaik YB,0.9994047999382019,1,nan,NaT
threads,"Tahniah raja² Melayu tahniah menteri islam, Malaysia akan jadi pusat maksiat hahahhaha",0.9994042634963989,2,nan,NaT
threads,"Harusnya jadi mentri perbaiki industry dengan mantapkan budaya2 tempatan, buat sekolah2/kursus2 jangka pendek bhs inggris, mathematics,memasak, saloon, bengkel dll dan keluarga2 angkat untuk pelajar2 ",0.9994007408618926,1,nan,NaT
threads,doakan dio dan famili dpt bala dr Allah swt.,0.9993894219398498,1,nan,NaT
threads,"begitulah...diakhir zaman kehidupan kita lebih sukar,Islam akan kembali asing,didiklah anak2 dgn akidah yg tinggi,kehidupan akan lebih sukar dikemudian hari,tanpa ilmu & keimanan yg tinggi pasti sukar",0.9992745161056518,1,nan,NaT
threads,"Tun Dr Mahathir bukan saja bapa pembangunan Negara, beliau juga memberi inspirational kepada ramai yg lain dlm perjuangan beliau terhadap pertahankan hak negara. Rule of law Negara sangat2 di formatio",0.9992685794830322,677,https://www.threads.com/@epicgateway01/post/DYWWZn-kwaE,2026-05-29 09:47:42.801468
threads,"Tun Dr Mahathir bukan saja bapa pembangunan Negara, beliau juga memberi inspirational kepada ramai yg lain dlm perjuangan beliau terhadap pertahankan hak negara. Rule of law Negara sangat2 di formatio",0.9992685794830322,690,https://www.threads.com/@epicgateway01/post/DYWWZn-kwaE,NaT
threads,"Tangan muslim yg memangkah pikul tanggujwb yg besar buat generasi depan…muslim yg dipangkah dan naik, pikul amanah yg besar demi agama",0.996851372718811,86,nan,NaT
threads,"Sampai 1 tahap negara kita akan tampil dengan hiburan Hedonisme yang melampau, ini adalah Barah Hiburan dalam Negara Kita 💥",0.9955444574356078,1,nan,NaT
threads,Great appreciation for the inspiration born by that person indeed!,0.9941374957561493,0,nan,NaT
threads,penyokong UMNO dan BN original masih ada bang.. ramai diantara mereka masih setia dgn Bossku,0.9878298699855803,1,nan,NaT
threads,PAS bukan islam.. 🤩🥸,0.98356254696846,0,nan,NaT
threads,Alhamdulillah t kasih diatas jasa2 mu dr mahadhir semoga sihat2 selalu dan dipermudahkn segala urusan Aameenn2.. T kasih diatas info epic.. Good job.. May god bless you Always,0.9823136746883392,6,nan,NaT
threads,Tun M the legend❤️,0.9818059504032135,0,nan,NaT
threads,Dia bijak merancang masa depan nya..sesungguhnya Allah adalah sebaik2 perancang..jgn tamak jgn taksub..yg tamak selalu rugi,0.9804034411907195,3,nan,NaT
threads,"jika saya di sabah saya tak akan undi mereka kerana ibu pejabat mereka bukan di sabah, ia bukan parti tempatan dan tidak boleh mewakil saya dengan baik",0.9794531166553497,1,nan,NaT
threads,Betul.... buatlah keputusan yang betul.,0.9781522452831268,0,nan,NaT
threads,Cepat lah PRU ...kami nak selamatkan Malaysia hmm,0.965366905927658,1,nan,NaT
threads,💯 Pilihlah pemimpin yang bertaqwa.,0.9639944151043891,0,nan,NaT
threads,Jahanam!!! Celakalah Melayu bangsat yg menyokong parti KAFIR & KEPALA MUNAFIK ANUAR IBRAHIM!!! ini yg Kita dapat!!!,0.9628531485795975,2,nan,NaT
threads,Luar biasa 👍👍👍,0.9604869306087493,1,nan,NaT
threads,"Hello Rylan, I am Richard Pilkington and believe me I would certainly have responded to a friend request from you.  I live in Concord, CA, and you?  I am a Respectful,  Honest,  and Loyal Gentleman wh",0.9507434487342834,9,https://www.threads.com/@rpilk1966/post/DY4_lQFCbrN,2026-05-29 09:47:42.802893
threads,mereka menjaga kepentingan pemimpin,0.9436317682266235,0,nan,NaT
threads,"I believe tel Aviv, NYC and los Angeles are the top three cities with the highest Jewish population around the globe",0.9273876130580901,0,nan,NaT
threads,Yang undi mereka jawad nanti akhirat,0.9252710282802581,1,nan,NaT
threads,Next PRU bangsa melayu kne bersatu,0.9037088483572006,0,nan,NaT
threads,This is literally the exact reason why I support two state solution.,0.9023717939853668,0,nan,NaT
threads,STRATEGY 😏,0.892747563123703,0,nan,NaT
threads,da ckp da dia menteri concert,0.8869458779692649,1,nan,NaT
threads,Hanayo ibu saya,0.8855471909046173,2,nan,NaT
threads,Dia tk ambik pendidikan moral ke masa sekolah ha ha,0.8817027539014816,1,nan,NaT
threads,♥️♥️♥️,0.8719432860612869,1,nan,NaT
threads,💆‍♀️,0.8714138269424438,0,nan,NaT
threads,🐽🐷👅,0.8714138269424438,0,nan,NaT
threads,😡,0.8714138269424438,0,nan,NaT
threads,🤣😂🤣😂🤣😂🤣😂,0.8714138269424438,0,nan,NaT
threads,We are fine as we are now. I think I know who will be rich with this kind of strategy. Them! Clean KL from all the illegal immigrants and illegal businesses first.,0.8709254860877991,35,nan,NaT
threads,3 orang abg aku Tun M sunatkan kat Maha Klinik Ni ☺️,0.8607026576995849,2,nan,NaT
threads,boo,0.8580546021461486,0,nan,NaT
threads,"ℙℝ𝕌𝟙𝟞 𝕟𝕚 𝕨𝕒𝕛𝕚𝕓 𝕣𝕦𝕟𝕥𝕦𝕙𝕜𝕒𝕟 𝕜𝕖𝕣𝕒𝕛𝕒𝕒𝕟 𝕓𝕒𝕟𝕘𝕤𝕒𝕥 𝕞𝕒𝕕𝕒𝕟𝕚 𝕟𝕚𝕖
#𝕞𝕒𝕕𝕒𝕟𝕚_𝕞𝕒𝕕𝕒𝕗𝕒𝕜𝕖𝕣
😡🤬🖕🖕🖕",0.8570510536432265,1,nan,NaT
threads,Sy tolak pas!,0.8535473600029945,0,nan,NaT
threads,Celaka,0.8534458383917808,1,nan,NaT
threads,"For this reason only ah, i'd vote for pas from now on. Tak sekali2 aku redha dgn pemimpin yg redha jadikan negara ni hub hiburan.",0.8498126745223998,2,nan,NaT
