platform,post_content,comment_content,engagement,sentiment,date
tiktok,,kalau semua orang isi lebih dalam tong last minyak malaysia xcukup .Korang jugak bising nanti.,896,negative,2026-05-29 10:46:44.656678
tiktok,,kalau semua orang isi lebih dalam tong last minyak malaysia xcukup .Korang jugak bising nanti.,896,negative,2026-05-29 10:46:44.245395
tiktok,,kalau semua orang isi lebih dalam tong last minyak malaysia xcukup .Korang jugak bising nanti.,896,negative,2026-05-29 10:46:43.938048
tiktok,,kalau semua orang isi lebih dalam tong last minyak malaysia xcukup .Korang jugak bising nanti.,896,negative,2026-05-29 10:46:43.605962
tiktok,,kalau semua orang isi lebih dalam tong last minyak malaysia xcukup .Korang jugak bising nanti.,896,negative,2026-05-29 10:46:43.245691
tiktok,,kalau semua orang isi lebih dalam tong last minyak malaysia xcukup .Korang jugak bising nanti.,896,negative,2026-05-29 10:46:42.951276
tiktok,,kalau semua orang isi lebih dalam tong last minyak malaysia xcukup .Korang jugak bising nanti.,896,negative,2026-05-29 10:46:42.653324
tiktok,,kalau semua orang isi lebih dalam tong last minyak malaysia xcukup .Korang jugak bising nanti.,896,negative,2026-05-29 10:46:42.230819
tiktok,,kalau semua orang isi lebih dalam tong last minyak malaysia xcukup .Korang jugak bising nanti.,896,negative,2026-05-29 10:46:41.936757
tiktok,,kalau semua orang isi lebih dalam tong last minyak malaysia xcukup .Korang jugak bising nanti.,896,negative,2026-05-29 10:46:41.606959
tiktok,,UN semua benda nak terangkan..penat ahhh..,685,negative,2026-05-29 10:46:44.656712
tiktok,,UN semua benda nak terangkan..penat ahhh..,685,negative,2026-05-29 10:46:44.245434
tiktok,,UN semua benda nak terangkan..penat ahhh..,685,negative,2026-05-29 10:46:43.938082
tiktok,,UN semua benda nak terangkan..penat ahhh..,685,negative,2026-05-29 10:46:43.606002
tiktok,,UN semua benda nak terangkan..penat ahhh..,685,negative,2026-05-29 10:46:43.245747
tiktok,,UN semua benda nak terangkan..penat ahhh..,685,negative,2026-05-29 10:46:42.951312
tiktok,,UN semua benda nak terangkan..penat ahhh..,685,negative,2026-05-29 10:46:42.653363
tiktok,,UN semua benda nak terangkan..penat ahhh..,685,negative,2026-05-29 10:46:42.230831
tiktok,,UN semua benda nak terangkan..penat ahhh..,685,negative,2026-05-29 10:46:41.936793
tiktok,,UN semua benda nak terangkan..penat ahhh..,685,negative,2026-05-29 10:46:41.606990
