platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,#najwashihab #man #xybca #fyp #sepakat,2631200,2200000.0,30800.0,204400.0,neutral,https://www.tiktok.com/@novalaginugas/video/7632930905757224212,2026-05-29 18:55:12.662639
tiktok,"vinica sumeh, sepakat",1928723,1700000.0,3323.0,25400.0,negative,https://www.tiktok.com/@violetorca/video/7642322006670642439,2026-05-29 18:54:47.503560
tiktok,(Light: @madjick.cos) My oh my… #deathnote #deathnotecosplay #L #lightyagami #lcosplay #lightyagamicosplay #llawliet #ldeathnote #lawlight #misaamane #cosplay #fyp,375086,295000.0,3786.0,59300.0,neutral,https://www.tiktok.com/@kirasarchived/video/7474796232821509377,2026-05-29 18:54:51.919240
tiktok,"Yuk bisa yuk bapak-ibu Hakim MK kembalikan kepercayaan publik terhadap demokrasi di Indonesia

Hari ini kita bahas dan omon-omon soal peluang diulangnya Pilpres 2024 lewat gugatan ke Mahkamah Konstitu",206611,146700.0,21400.0,5511.0,neutral,https://www.tiktok.com/@virdianaurellio/video/7351395075621965062,2026-05-29 18:54:50.032225
tiktok,"#CapCut Perjalanan ini bukan lagi tentang seberapa cepat sampai di tujuan yang kupikirkan, tapi seberapa ikhlas menikmati pemandangan di jalur yang diberikan-Nya.
​Menjadi tenang adalah level penerima",182269,129500.0,369.0,23400.0,positive,https://www.tiktok.com/@reels.gunawan.id/video/7588580888615619861,2026-05-29 18:54:47.202180
tiktok,"Bermula 1 Jun 2026, Malaysia akan mengeluarkan passport versi baharu secara berperingkat.

Pasport baru ni akan mempunyai 94 ciri keselamatan berbanding sekitar 49 ciri pada pasport sedia ada.

Bukan ",128684,73500.0,984.0,33200.0,positive,https://www.tiktok.com/@tvsarawak/video/7641949753567186177,2026-05-29 18:55:10.774534
tiktok,Definisi Cinta Yang Dewasa #motivasihidup #fyp,125973,92100.0,873.0,18000.0,neutral,https://www.tiktok.com/@stevilewaherilla95/video/7610368508500643080,2026-05-29 18:55:05.057671
tiktok,"😔 BIKIN NYESEK!!
Di hari kelulusan, dia cuma bisa menatap dari jauh.
Bukan karena malas, tapi karena belum lunas.
Kadang kenyataan segini kejamnya... 😔📚
#semoga jadi orang hebat ya dek.. ✨🙏
#Famesia #",105931,69100.0,10700.0,3131.0,positive,https://www.tiktok.com/@famesia.id/video/7507474085627104519,2026-05-29 18:54:47.814043
tiktok,HAHAHAHA ADUH 🤣🤣🤣 #HidupPN #muhyiddinyassin #perikatannasional #pru15 #foryou #foryoupage #fyppppp #fyp,97684,84700.0,2125.0,1848.0,neutral,https://www.tiktok.com/@strawberryana._/video/7167444066878197019,2026-05-29 18:55:24.212422
tiktok,"Kita tidak punya kapasitas menolak sesuatu yang terjadi. Namun, saat bisa menerima dengan ikhlas, kita jadi lebih kuat, tenang, dan siap menghadapi masa depan.",76349,61600.0,390.0,5751.0,positive,https://www.tiktok.com/@neeilllll/video/7631929128710720789,2026-05-29 18:54:51.285505
tiktok,"tidak ada ruginya jika kau memuliakan istrimu, yang ada keberkahan selalu menyertai setiap langkahmu#masyaallah #suamiistri #suamiistribahagia #rumahtangga #pernikahan #sakinahmawaddahwarahmah #untilj",66003,47300.0,402.0,10900.0,positive,https://www.tiktok.com/@haicapricorn27/video/7433737157971528966,2026-05-29 18:55:16.903492
