platform,post_content,comment_content,engagement,sentiment,date
x,,"SEREMBAN, 4 Jun – Menteri Besar Negeri Sembilan, Dato' Seri Aminuddin Harun mengumumkan pembubaran Dewan Undangan Negeri (DUN), berkuat kuasa esok. 

Keputusan pembubaran DUN itu dibuat selepas mendap",6,neutral,NaT
x,,"SEREMBAN, 4 Jun – Menteri Besar Negeri Sembilan, Dato' Seri Aminuddin Harun mengumumkan pembubaran Dewan Undangan Negeri (DUN), berkuat kuasa esok. 

Keputusan pembubaran DUN itu dibuat selepas mendap",6,neutral,NaT
x,,@mynewshub aku x minat politik tapi mahu lihat gerakkn bru parti bersama atleast ada wakil dun di johor,3,neutral,NaT
x,,"""Saya menafikan senarai itu, tidak pernah MCA keluarkan surat berkenaan, ini mungkin ciptaan daripada pihak tidak bertanggungjawab,"" katanya.

Beliau turut menafikan dakwaan bahawa Presiden MCA, Datuk",3,negative,NaT
x,,@SinarOnline https://t.co/JNQgLABBV6,3,neutral,NaT
x,,"""Hari ini, dalam dewan yang mulia ini saya ingin umumkan bahawa Dewan Undangan Negeri (DUN) Johor tidak akan dibubarkan hari ini. Jadi semua pihak boleh bertenang, jangan risaukan PRN. 

""Sebaliknya s",3,positive,NaT
x,,@bharianmy Saya setuju kalau Umno nak bertanding solo. Boleh ukur keupayaan semasa mereka. Kalau terbenam…ia meredakan kesombongan mereka.,3,negative,NaT
x,,@mynewshub Bangsa JOHOR sila lingkupkan parti gila kuasa ini.,2,neutral,NaT
x,,"@mynewshub Ingat umno, ingat penyamunnn https://t.co/SOzDTiDF21",2,neutral,NaT
x,,@tokcin70 Are you testing the intellectual of Johoreans...Bangsa Johor cerdik memilih masa depan Johor.... https://t.co/kFhHBICZqP HOPE,2,neutral,NaT
x,,@mynewshub itu hari embi slalu turun tgk kat imigrasen nak masuk spore…kira da setel ke isunye?,1,neutral,NaT
x,,@bharianmy https://t.co/YL1KWwyxaG,1,neutral,NaT
x,,@BuletinTV3 MCA - Misery Chaos Arrogant party !!! https://t.co/HReMmVIJy9,0,negative,NaT
x,,@mynewshub Gelombang Biru! https://t.co/40PDUZt5g0,0,neutral,NaT
x,,"@mynewshub Baru 3 tahun hilang kuasa penuh, dah kemaruk kuasa ke BN hahahaha. Oh ye tak ye, H20 dah tiada kuasa dan telah hilang dlm radar patutlah di remote control anak buahnya utk bubar dun johor h",0,negative,NaT
x,,@mynewshub Huhu https://t.co/bn5ig21ClM,0,neutral,NaT
x,,"@mynewshub Parti penyamun..  1MDB, $177j, Jana Wibawa, sakau Felda, TH dll",0,neutral,NaT
x,,"@mynewshub UMDAP MANTAP
🤣🤣🤣🤣🤣🤣",0,positive,NaT
x,,"@SinarOnline Strategi umno menangguk di air yg keruh. Pas-Bersatu masih bertelagah.Kem PKR berpecah krn Bersama.
Kebarangkalian umno/bn menang majoriti utk adakan PRN dgn situasi parti2 politik semasa",0,negative,NaT
x,,"@MalaysiaGazette Cukup2 lah, 🤡 https://t.co/7doa6RzwBZ",0,negative,NaT
x,,"@BuletinTV3 Kura² di Desaru, MB buat² tak tahu",0,neutral,NaT
x,,"Pengerusi BN Parlimen Pulai, Datuk Nur Jazlan Mohamed, berkata prestasi Onn Hafiz ketika ini berada pada tahap yang baik dan jelas mendapat penerimaan majoriti rakyat Johor.

“Amat baik, saya tidak de",0,negative,NaT
x,,"sebarang pengumuman calon hanya akan dibuat melalui saluran rasmi parti.

Sebelum itu, tular senarai nama calon BN yang kononnya akan bertanding di 56 kerusi DUN, termasuk nama penyandang kerusi DUN M",0,positive,NaT
x,,TENAGA NUKLEAR PELENGKAP PENTING DAN PRAKTIKAL KEPADA TENAGA BAHARU https://t.co/7BFI80H9Gv,0,neutral,NaT
x,,@bharianmy 😂😂 https://t.co/9J24arPJJd,0,neutral,NaT
x,,@bharianmy @UthRsm 🤣🤣🤣🤣🤣 oi tuduh blk orng2 umno yng ada kes rasuah tu yng u slmtkan tu.,0,neutral,NaT
x,,@bharianmy Onn dah ganti presiden ke,0,neutral,NaT
x,,@bharianmy Teruskan konsep Madani yg baik untuk Negara https://t.co/bkekMfnzyn,0,positive,NaT
x,,@bharianmy 🤣🤣🤣,0,neutral,NaT
x,,@bharianmy PH GO Solo,0,neutral,NaT
x,,@bharianmy Runding baik-baik. Dia kena dengar baik-baik😎😑,0,negative,NaT
x,,"@bharianmy Umno da tiada nilai. Apakah mrk itu perjuang, pendekar, benteng org melayu. Apakah layak. Semua akui mrk tiada lagi mempertahankan kepentingan bumiputra. Mrk diam seribu bahasa dalam kehina",0,negative,NaT
x,,@SinarOnline 🤣🤣🤣🤣,0,neutral,NaT
x,,"@501Awani Kasi buat pass 19 July..lps result keluar layan world cup final.

@sprgovmy",0,neutral,NaT
