platform,content,engagement,likes,comments,shares,sentiment,url,date
x,"Johor DAP chairperson Teo Nie Ching revealed that the party had planned to move Skudai assemblyperson Marina Ibrahim to another urban state seat in the next Johor election.

This follows Marina's anno",2493,218.0,61.0,65.0,neutral,https://x.com/NewsBFM/status/2061266503262146642,2026-06-01 02:00:05+00:00
x,"Bila sebenarnya kena bubar? 

Johor penggal ke 15, April 2027.

Melaka penggal ke 15, 30 Disember 2026.

Sarawak penggal ke 19, Februari 2027.

N9 penggal ke 15, Ogos 2028.

Parlimen Malaysia penggal ",2068,837.0,20.0,283.0,negative,https://x.com/bumilangit/status/2061612614653030556,2026-06-02 00:55:24+00:00
x,"𝗞𝗘𝗡𝗬𝗔𝗧𝗔𝗔𝗡 𝗠𝗘𝗗𝗜𝗔
3 𝘑𝘶𝘯 2026

𝗕𝗘𝗥𝗦𝗔𝗠𝗔 𝗔𝗞𝗔𝗡 𝗠𝗘𝗡𝗬𝗘𝗥𝗧𝗔𝗜 𝗣𝗥𝗡 𝗝𝗢𝗛𝗢𝗥 𝟮𝟬𝟮𝟲, 𝗝𝗘𝗟𝗔𝗝𝗔𝗛 𝗞𝗔𝗡𝗖𝗜𝗟 𝗕𝗘𝗥𝗠𝗨𝗟𝗔 𝗗𝗜 𝗝𝗢𝗛𝗢𝗥

Kami mengesahkan bahawa 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 akan menyertai Pilihanraya Negeri Johor 2026. 

Keputusan ini dimukt",1576,914.0,61.0,309.0,neutral,https://x.com/rafiziramli/status/2062024209119969479,2026-06-03 04:10:56+00:00
x,"SIDANG MEDIA KHAS | Menteri Besar Johor, Datuk Onn Hafiz Ghazi mengumumkan pembubaran DUN Johor berkuat kuasa hari ini.

Berita lanjut menyusul.

#BuletinTV3 #BeritaTerkini #Johor #DUNJohor https://t.",1240,53.0,10.0,34.0,positive,https://x.com/BuletinTV3/status/2061373961196228646,2026-06-01 09:07:05+00:00
x,"Johor kini menjadi negeri contoh dalam mengawal penyebaran fakta yang tidak sahih.

Bacaan penuh: https://t.co/kyNHdSLWyX https://t.co/AiYs5Vtb4O",983,331.0,18.0,71.0,negative,https://x.com/WaktuSolatMsia/status/2060889013502796008,2026-05-31 01:00:04+00:00
x,"Ketika dunia dilanda krisis, kerajaan Madani fokus bantu rakyat sebaliknya UMNO Johor pula bubar DUN. 

Ketika negara memerlukan kestabilan, kerajaan Madani sibuk tarik perlaburan, UMNO Johor pula bub",975,209.0,181.0,19.0,negative,https://x.com/NgaKorMing/status/2062479818709741766,2026-06-04 10:21:22+00:00
x,"PRN Johor 2022. Dewan Undangan Negeri Johor ada 56 kerusi. 

Jumlah kerusi yang dimenangi - 

📌 BN - 40 kerusi (majoriti dua pertiga) 
• UMNO - 33 kerusi
• MCA - 4 kerusi 
• MIC - 3 kerusi

📌 PH - 12 ",864,364.0,28.0,108.0,neutral,https://x.com/amer7211/status/2061413455924703368,2026-06-01 11:44:01+00:00
x,UMNO/BN bubar DUN hari ini. Satu kelebihan kepada mereka. PKR dan PH sedang hadapi krisis kepercayaan bukan sahaja di kalangan rakyat tapi kebanyakan ahli mereka sendiri. PN pula berantakan sejak dulu,812,399.0,69.0,91.0,negative,https://x.com/amer7211/status/2061382797663875290,2026-06-01 09:42:12+00:00
x,"Lokman Adam gesa kepimpinan Onn Hafiz guna data akar umbi untuk tidak bertanding solo dan mengulangi kesilapan lama BN pada PRU15.

Beliau mengingatkan, komposisi pengundi bukan Melayu di Johor mencec",636,236.0,28.0,38.0,negative,https://x.com/MadaniNomics/status/2056700075318116827,2026-05-19 11:34:44+00:00
x,"Bismillahirrahmanirrahim.
Assalamualaikum warahmatullahi wabarakatuh dan Salam Maju Johor.

Saya mengambil maklum mengenai satu senarai calon Barisan Nasional yang sedang bertebaran di media sosial da",598,170.0,23.0,66.0,negative,https://x.com/onnhafiz/status/2061961749197427031,2026-06-03 00:02:45+00:00
x,"Apa kempen yang bakal dibawa PKR di PRN Johor untuk berhadapan dengan UMNO/BN nanti ye? 🤔

Sakau? 
Rasuah?
Azam Baki?

Eh! Nampak bodoh pula kalau depa bawa isu2 ni. Ye lah, 47 kes dah NFA. Pak Long M",591,253.0,50.0,71.0,negative,https://x.com/amer7211/status/2062006118336143745,2026-06-03 02:59:03+00:00
