platform,content,engagement,likes,comments,shares,sentiment,url,date
x,"𝗗𝗘𝗡𝗚𝗔𝗥 𝗧𝗨 𝗣𝗠𝗫, 𝗡𝗔𝗦𝗜𝗛𝗔𝗧 𝗗𝗔𝗥𝗜 𝗥𝗔𝗠𝗔𝗡𝗔𝗡:
𝗝𝗔𝗡𝗚𝗔𝗡 𝗦𝗔𝗟𝗔𝗛 𝗣𝗜𝗟𝗜𝗛 𝗠𝗘𝗡𝗧𝗘𝗥𝗜

Kecoh Konvensyen PKR Johor bila Naib Presiden PKR, R Ramanan disanggah secara terbuka oleh Hassan Karim, Ahli Parlimen Pasir Gudang.

S",3092,1339.0,130.0,551.0,negative,https://x.com/rafiziramli/status/2041122742913978676,2026-04-06 11:55:58+00:00
x,"Konvensyen PKR Johor kecoh apabila pertikaian terbuka tercetus di hadapan para perwakilan membabitkan Timbalan Presiden PKR, Ramanan dan seorang individu dipercayai ahli parlimen parti. https://t.co/g",1326,372.0,88.0,139.0,negative,https://x.com/MadaniNomics/status/2040675514319507556,2026-04-05 06:18:51+00:00
x,"𝗞𝗘𝗡𝗬𝗔𝗧𝗔𝗔𝗡 𝗠𝗘𝗗𝗜𝗔
3 𝘑𝘶𝘯 2026

𝗕𝗘𝗥𝗦𝗔𝗠𝗔 𝗔𝗞𝗔𝗡 𝗠𝗘𝗡𝗬𝗘𝗥𝗧𝗔𝗜 𝗣𝗥𝗡 𝗝𝗢𝗛𝗢𝗥 𝟮𝟬𝟮𝟲, 𝗝𝗘𝗟𝗔𝗝𝗔𝗛 𝗞𝗔𝗡𝗖𝗜𝗟 𝗕𝗘𝗥𝗠𝗨𝗟𝗔 𝗗𝗜 𝗝𝗢𝗛𝗢𝗥

Kami mengesahkan bahawa 𝗕𝗘𝗥𝗦𝗔𝗠𝗔 akan menyertai Pilihanraya Negeri Johor 2026. 

Keputusan ini dimukt",1153,698.0,34.0,226.0,neutral,https://x.com/rafiziramli/status/2062072946827591785,2026-06-03 07:24:36+00:00
x,"Ketika dunia dilanda krisis, kerajaan Madani fokus bantu rakyat sebaliknya UMNO Johor pula bubar DUN. 

Ketika negara memerlukan kestabilan, kerajaan Madani sibuk tarik perlaburan, UMNO Johor pula bub",992,211.0,184.0,19.0,negative,https://x.com/NgaKorMing/status/2062479818709741766,2026-06-04 10:21:22+00:00
x,"PRN Johor 2022. Dewan Undangan Negeri Johor ada 56 kerusi. 

Jumlah kerusi yang dimenangi - 

📌 BN - 40 kerusi (majoriti dua pertiga) 
• UMNO - 33 kerusi
• MCA - 4 kerusi 
• MIC - 3 kerusi

📌 PH - 12 ",864,364.0,28.0,108.0,neutral,https://x.com/amer7211/status/2061413455924703368,2026-06-01 11:44:01+00:00
x,"Apa kempen yang bakal dibawa PKR di PRN Johor untuk berhadapan dengan UMNO/BN nanti ye? 🤔

Sakau? 
Rasuah?
Azam Baki?

Eh! Nampak bodoh pula kalau depa bawa isu2 ni. Ye lah, 47 kes dah NFA. Pak Long M",591,253.0,50.0,71.0,negative,https://x.com/amer7211/status/2062006118336143745,2026-06-03 02:59:03+00:00
x,"Bekas pimpinan PKR Johor tubuh jawatankuasa sementara @partibersamamy. Menerima 2800 keahlian. 

Tiap2 hari mencanak2 kemasukan baru. Alhamdulillah! ✊🏻

Ayuh Malaysia daftar keahlian di https://t.co/R",542,266.0,14.0,79.0,positive,https://x.com/amer7211/status/2058077817146048709,2026-05-23 06:49:23+00:00
x,"𝗣𝗢𝗗𝗖𝗔𝗦𝗧 𝗬𝗕𝗠 𝗘𝗣𝗜𝗦𝗢𝗗 𝟱𝟭:
𝗦𝗼 𝗜𝘁 𝗕𝗲𝗴𝗶𝗻𝘀: 𝗣𝗥𝗡 𝗝𝗼𝗵𝗼𝗿 𝗱𝗮𝗻 𝗡𝗲𝗴𝗲𝗿𝗶 𝗦𝗲𝗺𝗯𝗶𝗹𝗮𝗻

Jangan lupa sertai saya malam ini di Podcast YBM Episod 51, Jumaat, 5 Jun 2026, jam 9 malam di saluran YouTube saya.

Antara dua per",538,285.0,16.0,97.0,negative,https://x.com/rafiziramli/status/2062753699869692058,2026-06-05 04:29:40+00:00
x,"Parti Bersama berstatus negeri (Penang) bukan nasional. Jika PRN Johor dilaksanakan sekarang, Bersama tak boleh bertanding. Jadi calon Bersama akan bertanding atas tiket MUDA di PRN Johor nanti. Sebab",419,109.0,24.0,10.0,neutral,https://x.com/Solisidtor/status/2056026999236559062,2026-05-17 15:00:10+00:00
x,"Bangsa Johor jgn mudah tertipu dgn UMNO Johor  yang berlagak suci didepan tetapi dibelakang penuh dgn darkside yg disembunyikan. Darkside yg tak boleh dibincangkan &amp; diketahui oleh Bangsa Johor.
B",397,121.0,121.0,13.0,negative,https://x.com/HasyirHashim/status/2062328956515479912,2026-06-04 00:21:54+00:00
