platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,"Kunci Kebaikan, YT Metro TV. #dakwah #dasadlatif #ustadzdasadlatif #sujiwotedjo #sujiwotejo #ulama #tokoh #islam #belajaragama #shalat",1846100,1500000.0,14100.0,114000.0,neutral,https://www.tiktok.com/@new_username_sra/video/7282568589213715717,2026-06-06 01:52:21.161405
tiktok,"As the US is dragged into another foreign war, it's worth knowing about the man who forced us into it. Watch the film so revealing that it's banned in Israel. The Bibi Files streaming now on TCN.",440140,369700.0,2340.0,38100.0,negative,https://www.tiktok.com/@tuckercarlson/video/7621934716400307486,2026-06-06 01:52:06.080363
tiktok,"৪৮০ হাত দীর্ঘ ব্রাজিলের পতাকা রাখা হয় লোহার সিন্দুকে! | DBC News Special

#DBCNews #DBCNewsBD #MaguraFootballFever #BrazilFlagMagura #WorldCupMania #FootballFansBD #MaguraNews #BanglaNews #DBCNewsUpda",406872,297400.0,8372.0,20100.0,neutral,https://www.tiktok.com/@dbcnews.tv/video/7646799973618683156,2026-06-06 01:52:04.417356
tiktok,"Erra Fazira, 51, selamat diijabkabulkan bersama pasangannya, Ezwan Zain, 44, dengan sekali lafaz.

Erra sah menjadi isteri Ezwan atau dikenali sebagai Mr. E dinikahkan oleh Penolong Pendaftar Perkahwi",166242,126300.0,3542.0,11400.0,positive,https://www.tiktok.com/@falaqjodoh/video/7582793242421366023,2026-06-06 01:52:13.866842
x,Les meubles ne sont pas supposés être collés au mur.,102795,28322.0,242.0,537.0,negative,https://x.com/Sandrah_Oh/status/2060654843031703663,2026-05-30 09:29:34+00:00
tiktok,"CARA UJI SENDIRI 
APAKAH COIN MU PERAK???

#investasiemas #emas #logammulia #perak #viral",97054,48600.0,3454.0,12000.0,negative,https://www.tiktok.com/@tokomassriwijaya/video/7624832272381840661,2026-06-06 01:52:33.142309
x,"🤯 ELLE EST SUR PLACE AU CONGO… ET ELLE DIT ÇA !

🚨Regardez cette vidéo.

💥Une femme qui vit actuellement en République Démocratique du Congo prend la parole :

« Il n’y a pas d’Ebola ici.
Tout le mond",77095,41139.0,603.0,25866.0,neutral,https://x.com/brain_stimulus/status/2060621071787733043,2026-05-30 07:15:22+00:00
tiktok,Jom join sain ramai ramai !!,72682,59600.0,2019.0,5569.0,neutral,https://www.tiktok.com/@alifffroslan/video/7647444252980514068,2026-06-06 01:52:19.756034
x,"Lu kira statement dia tolol mulai pas dia jadi presiden? NGGAK WOY, DARI AWAL DIA KAMPANYE, DARI DEBAT PRESIDEN, DARI MBG DICETUSKAN AJA UDAH GABENER￼",57232,39297.0,148.0,14342.0,negative,https://x.com/tertamvan_/status/2061267150447505708,2026-06-01 02:02:39+00:00
x,"Emang lupa. Bahkan pas gue masih wartawan dan dia masih menjabat gue sering lupa, karena se-behind the scene itu kerjanya seskab tuh. Harusnya.",56472,38752.0,119.0,6489.0,neutral,https://x.com/haifainayah/status/2062098237146980366,2026-06-03 09:05:06+00:00
