platform,content,sentiment_score,engagement,url,date
threads,wak jahid pak turut ...demi jaga kedudukan dia sendiri,0.9994121849536894,0,nan,NaT
threads,"Syukur Alhamdulillah, sebanyak RM12.3 juta telah diperuntukkan oleh Kerajaan Negeri Johor bagi menyokong pembangunan serta kesejahteraan komuniti FELDA di negeri ini, selaras dengan usaha berterusan u",0.9994036197662353,227,https://www.threads.com/@onnhafiz/post/DVpkBO4EUr3,2026-06-06 08:50:10.980544
threads,"Daulat tuanku, 
Yb kami terbaik 💙❤️🤍",0.9993909060955046,4,nan,NaT
threads,Biadap dan x tahu bersyukur,0.9993718981742858,0,nan,NaT
threads,sayangi lah Rohingya. 🤣🤣 baik hati sgt bagi masuk.,0.9993664085865019,0,nan,NaT
threads,Sanggup terima semua cadangan DAP tnpa bantah apa2 demi kekal dalam kabinet dn Jawatan.,0.999364799261093,0,nan,NaT
threads,Penasihat dgn dia buat grab ke bagi makan anak bini,0.9993258535861969,0,nan,NaT
threads,Bapak dia berjuang utk diri sendiri bukan utk rakyat pun,0.9992907524108886,1417,nan,NaT
threads,"Sy pemenang ikon pempengaruh UMNO Selangor, dah mcm2 anugerah sy dapat dlm dan luar negara, dan mcm2 offer jawatan tp sy tetap berminat utk di cawangan sahaja buat masa ni sebab mudah utk berkhidmat p",0.9991982340812682,174,https://www.threads.com/@zuhanhamzah/post/DWiqdNtGe6S,2026-06-06 08:50:10.986336
threads,Bangladesh ada bg kawasan luas utk mereka duduk tp mereka memilih negara yg dh maju. Sbb mereka malas berusaha.,0.9989713907241821,0,nan,NaT
threads,Asal Malaysia baik sangat nak bantu rohingya.. jangan nanti Malaysia jd macam Palestine 😢,0.9980680227279662,1,nan,NaT
threads,"Setiap tahun sekitar 400k pelajar duduki SPM, UPU sediakan HANYA +- 90k sahaja penempatan di Uni awam. Iktiraf UEC bypass SPM, X adil kpd anak2 SPM!",0.9979837834835052,3385,https://www.threads.com/@zaideerazali/post/DYV25E6DhZH,2026-06-06 08:50:10.981715
threads,"Allah Peliharakan Sultan.
Allah peliharakan MB kami💙❤️🤍",0.9960119307041168,11,nan,NaT
threads,He loves his country so much. This is the true leader we want Malaysia to have. Hope to have more young leaders like him for the future of Malaysia.,0.995026272535324,34,nan,NaT
threads,The best Dato Bandar Johor Bahru we from Singapore looking forward to see more changes of Johor Bahru looks Tahniah Dato Onn Hafiz,0.9915870904922485,1,nan,NaT
threads,Alhamdulillah….hebat PMX DSAI💪🏼💪🏼💪🏼💪🏼💪🏼👍👍👍👍👍👍,0.9913365542888641,4,nan,NaT
threads,Kalau PAS join DAP pon mereka akan bg UEC,0.9909602224826812,0,nan,NaT
threads,Madani is the best in the world,0.9893043696880339,73,nan,NaT
