platform,content,engagement,likes,comments,shares,sentiment,url,date
threads,"“Malaysia should give some land to Rohingnya.” 

HELLO???? mana maunya kita nak bagi dekat depa ni senang2 je!!! BANGUNNN WEIII!!!",4963,4281.0,682.0,0,neutral,https://www.threads.com/@unnrdn_/post/DY6G2vBjwH9,NaT
threads,"“Malaysia should give some land to Rohingnya.” 

HELLO???? mana maunya kita nak bagi dekat depa ni senang2 je!!! BANGUNNN WEIII!!!",4281,4281.0,0,0,neutral,https://www.threads.com/@unnrdn_/post/DY6G2vBjwH9,2026-06-06 08:50:10.980015
threads,"Saiz kerajaan di bawah Anwar Ibrahim lebih kecil, berhemat dan berintegriti berbanding era Muhyiddin Yassin.

Jumlah menteri dan timbalan berkurang, tiada duta khas bertaraf menteri, dan lantikan poli",3829,3455.0,374.0,0,negative,https://www.threads.com/@faezuddinpuadofficial/post/DQjE2AjkrFx,NaT
threads,"Saiz kerajaan di bawah Anwar Ibrahim lebih kecil, berhemat dan berintegriti berbanding era Muhyiddin Yassin.

Jumlah menteri dan timbalan berkurang, tiada duta khas bertaraf menteri, dan lantikan poli",3455,3455.0,0,0,negative,https://www.threads.com/@faezuddinpuadofficial/post/DQjE2AjkrFx,2026-06-06 08:50:10.982155
threads,"Setiap tahun sekitar 400k pelajar duduki SPM, UPU sediakan HANYA +- 90k sahaja penempatan di Uni awam. Iktiraf UEC bypass SPM, X adil kpd anak2 SPM!",3385,3385.0,0,0,positive,https://www.threads.com/@zaideerazali/post/DYV25E6DhZH,2026-06-06 08:50:10.981715
threads,"Dun Johor bubar Hari ini. 

UNDI BN
Kekalkan ONN Hafiz sebagai Menteri Besar Johor. 
Ayuh Bangsa Johor. 

HIDUP BN",3067,3067.0,0,0,neutral,https://www.threads.com/@ahmadazlan93/post/DZCmRlXAVnN,2026-06-06 08:50:10.981003
threads,"Habis bapak kau presiden UMNO , TPM buat apa ???
Tak tahu bangkang atau ugut keluar dari gabungan ... mcm DAP buat...tak bagi lulus ugut keluar..

Tanpa  sokongan  Mp2 UMNO tak kan semudah itu lulus.
",2927,2345.0,582.0,0,negative,https://www.threads.com/@komrad_ipin/post/DYWvOzvnQ03,NaT
threads,"Daulat Tuanku!

Allah Peliharakan Sultan
Allah Berkati Johor
Kepada Allah Kita Berserah

#BangsaJohor #MajuJohor",2789,2778.0,11.0,0,negative,https://www.threads.com/@onnhafiz/post/DZHEhJpkTAS,NaT
threads,"Daulat Tuanku!

Allah Peliharakan Sultan
Allah Berkati Johor
Kepada Allah Kita Berserah

#BangsaJohor #MajuJohor",2778,2778.0,0,0,negative,https://www.threads.com/@onnhafiz/post/DZHEhJpkTAS,2026-06-06 08:50:10.982052
threads,"Habis bapak kau presiden UMNO , TPM buat apa ???
Tak tahu bangkang atau ugut keluar dari gabungan ... mcm DAP buat...tak bagi lulus ugut keluar..

Tanpa  sokongan  Mp2 UMNO tak kan semudah itu lulus.
",2345,2345.0,0,0,negative,https://www.threads.com/@komrad_ipin/post/DYWvOzvnQ03,2026-06-06 08:50:10.982249
threads,Bapak dia berjuang utk diri sendiri bukan utk rakyat pun,1417,1392.0,25.0,0,positive,nan,NaT
threads,"Next PM selepas DSAI ...pd pandangan sy ialah MB Johor... Dato' Onn Hafiz Ghazi..seorg yg rajin bekerja, berintegriti.  Maju Johor...Maju Malaysia",1048,1048.0,0,0,neutral,https://www.threads.com/@rohaini.rohaini.3386/post/DVzNWJVEqL1,2026-06-06 08:50:10.981419
threads,"Dulu saya pernah berkata ""Aku tak minat politik!"" ""Politik tak penting!"" tapi ini lah saya pada hari ini. Alhamdulillah baru sertai Puteri UMNO Segambut KL. Saya sedar bahawa parti politik yang kukuh ",780,780.0,0,0,negative,https://www.threads.com/@tsaranabilla/post/DYqtJU7D03p,2026-06-06 08:50:10.985051
threads,"DUN Johor dibubarkan secara rasmi hari ini.

Ini bermakna PRN Johor akan berlangsung dalam tempoh beberapa minggu dari sekarang. 

Pilihan raya perlu diadakan dalam tempoh 60 hari dari tarikh bubar DU",739,739.0,0,0,negative,https://www.threads.com/@mhdharef/post/DZCd4pVD4zz,2026-06-06 08:50:10.981207
threads,"alhamdulillah seperti yang diminta menjadi bangsa johor🤎

negeri asal : kelantan
pilihan 1 : johor
pilihan 2 : negeri sembilan

otw hunting ayam gepuk johor!",681,681.0,0,0,positive,https://www.threads.com/@bsyasbll/post/DQg3F2HEbbv,2026-06-06 08:50:10.980824
threads,"80 tahun UMNO telah mengajar kita satu perkara —perjuangan tidak pernah berhenti. 

ABU! Dulu, Kini dan Selamanya ❤️",679,679.0,0,0,negative,https://www.threads.com/@effaqish/post/DX33rJmAVHH,2026-06-06 08:50:10.983515
threads,Let's learn what happens in Palestine.. these people are like Zionist of Myanmar,604,601.0,3.0,0,negative,nan,NaT
threads,No wonder kena buang dari negara sendiri. Now dah faham sangat dah orang macam ni.,588,586.0,2.0,0,negative,nan,NaT
threads,"ABU
AKU BUDAK UMNO💙❤️
DULU, KINI DAN SELAMANYA",498,498.0,0,0,neutral,https://www.threads.com/@bruhs4m._/post/DX3rHVFEb_t,2026-06-06 08:50:10.986239
threads,X silap aku BN memang masih ada majoriti besar kat Johor kan? Jadi kenapa pilih bubar DUN awal eh? Ada sesiapa yang follow politik atau pakar analisa politik boleh share pandangan? just to learn.,494,494.0,0,0,negative,https://www.threads.com/@radhi.my/post/DZCi1__mW7M,2026-06-06 08:50:10.981090
threads,"“MALAY people have no rights to determine the RIGHTS of the Rohingya in MALAYSIA”

pebende yg aku baca ni rights apa siaw",430,428.0,2.0,0,negative,nan,NaT
threads,UMNO back to being what they do best - grabbing power. MB Aminuddin should dissolve the state assembly. Let UMNO battle it out in early polls.,428,428.0,0,0,negative,https://www.threads.com/@jalil.word/post/DXn31M8lLDP,2026-06-06 08:50:10.981332
threads,"I recently missed a lot of drama abt celebs & threads, so I wanna toss in my experience here. It’s not a celeb or product-driven app. It just doesn’t matter here as much as it does elsewhere. But that",387,387.0,0,0,neutral,https://www.threads.com/@thekristenjohnston/post/DZOWx2qGbZB,2026-06-06 08:50:10.982323
threads,Cambodia dah! Kita bila lagi?!! @anwaribrahim_my,328,323.0,5.0,0,negative,nan,NaT
threads,"Umno sekarang tak bolih guna pakai dah....
Full Stop....",284,284.0,0,0,negative,https://www.threads.com/@azre_papagomo/post/DYb2RaTEvYP,2026-06-06 08:50:10.981795
threads,"Anak muda jangan duk tengok je, jom masuk gelanggang!
Join Puteri UMNO—kita gerak sama-sama, buat kerja, buat perubahan, bukan sembang saja.

Throwback sikit gambar tahun lepas 📸

Yang nak tanya, bole",251,251.0,0,0,positive,https://www.threads.com/@razaira_rasid/post/DWhHaiqCfXX,2026-06-06 08:50:10.986034
threads,"Syukur Alhamdulillah, sebanyak RM12.3 juta telah diperuntukkan oleh Kerajaan Negeri Johor bagi menyokong pembangunan serta kesejahteraan komuniti FELDA di negeri ini, selaras dengan usaha berterusan u",227,227.0,0,0,positive,https://www.threads.com/@onnhafiz/post/DVpkBO4EUr3,2026-06-06 08:50:10.980544
threads,Bapa dia paling tak guna.melingkup perjuangan umno kerana bapa dia,223,218.0,5.0,0,positive,nan,NaT
threads,UMNO DAH TK RELEVAN UTK ORG MELAYU,201,195.0,6.0,0,neutral,nan,NaT
threads,"Bapak kau bukan menteri kabinet ye.
Bengap.",198,196.0,2.0,0,neutral,nan,NaT
threads,Dalam kabinet wakil Amno buat apa.. goyang telur dan ketuk cipap..,180,174.0,6.0,0,negative,nan,NaT
threads,"Menteri mana yg ada usaha hantar dorg ni balik? Aku nak undi. Tak hantar balik, atleast escort sampai perairan antarabangsa pun jadiklah.. pepandailah dia cari tanah sendiri 🫩",178,175.0,3.0,0,negative,nan,NaT
threads,"Berapa kos PRN Johor? anggaran RM90 Juta? Patut boleh PRU sekali tahun depan, tapi waktu krisis tenaga, waktu kuota 200Liter ini, Umno Johor pilih untuk membazir!

kenapa?",177,177.0,0,0,negative,https://www.threads.com/@kartunisgandum/post/DZJyVSND2na,2026-06-06 08:50:10.981622
