platform,post_content,comment_content,engagement,sentiment,date
facebook,,Dalam DAP pun bangsa Melayu sgt terpinggir....tiba2 kau pula nak bela DAP.....sedih...,259,neutral,2024-08-12 12:15:00+00:00
facebook,,Tiga walanon munafik... org kutuk kapir harbi tp 3 ekor walanon yg terasa... Ini baru real punya anjing suruhan... Walanon merangkap walajing,84,neutral,2024-08-12 12:17:54+00:00
facebook,,Bila agama sendiri di hina. Diam seribu bahasa. Satu bayang pun tak nmpk. 😏 Lg penting pertahan agama lain dri agama sendiri. Dunia akhir zaman,63,negative,2024-08-12 12:09:15+00:00
facebook,,Pertahankanlah Bangsa sendiri baru hormat bangsa lain.. bilanya disaat orang Bukan Bangsa Melayu hina Agama dan Bangsa Kita.. mengapa tidak pertahankan..,50,negative,2024-08-12 12:43:24+00:00
facebook,,3 ekor barua.. 🤭🤭🤭,31,neutral,2024-08-12 12:26:37+00:00
facebook,,投国盟，不是我们支持国盟，而是利用国盟向团结政府反映人们对他们保守极端政策的不满，我们不应该逆来顺受。团结政府每回都恐吓人们如果国盟赢了，会推行保守政策。即使国盟不赢，团结政府已经推出很多极端保守政策了。我们应该把焦点集中在如何让现在政府清醒改进， 而这是一个大好机会。要是国盟赢了， 也可以增加他们的底气制衡回教党。 让国盟明白，要是你走中庸路线，华族也会支持你的。,15,positive,2024-09-28 02:44:30+00:00
facebook,,Ingat muka mereka ni tuan2.,14,negative,2024-08-12 13:28:30+00:00
facebook,,Api dalam serkam...duri dalam daging....gunting dalam lipatan...,12,neutral,2024-08-12 11:57:27+00:00
facebook,,Demo isle..demo la penunggang agamo,12,neutral,2024-08-12 11:55:46+00:00
facebook,,Maknanya depa ni pun xfaham... moga Allah pulihkan mereka kembali,11,negative,2024-08-12 12:04:26+00:00
facebook,,hero dap sehingga lupa diri sendiri sapa,10,neutral,2024-08-12 11:59:17+00:00
facebook,,講幾句好聽的话华人就改变初衷吗未免好騙,7,negative,2024-09-14 12:00:30+00:00
facebook,,两个都是废柴,5,negative,2025-05-24 13:53:43+00:00
facebook,,"DEAR SABAHAN, say/act NO to UMNO, BERSATU & PAS...otherwise you will have these politicians control your interfaith routines eg. where to eat or not, what languages to use or not, intercept / close do",4,negative,2025-02-23 23:36:34+00:00
facebook,,Malaysia are Secular Country with Federal Constitution Law and Order..,4,neutral,2025-02-11 06:02:20+00:00
facebook,,"95%华人支持火箭推翻巫统,现在仍然是95%华人支持火箭扶助巫统。",4,negative,2024-09-15 00:51:28+00:00
facebook,,给UMNO倒,3,negative,2024-09-14 08:53:40+00:00
facebook,,"投污桶=支持副手相貪污罪DNAA！！
投污桶=支持華教義演不可以出現啤酒！！
投污桶=支持阿克馬！！
投污桶=支持演唱會限制政策！！
投污桶=支持KKMart 事件！！
不要盲目支持！！！",3,negative,2024-09-28 00:51:49+00:00
facebook,,好一口流利的华语,2,positive,2024-09-14 12:55:33+00:00
facebook,,大家好，我们都是一家人,2,positive,2024-09-14 12:48:32+00:00
facebook,,我们华人就是这样，喜欢就不要投啦！不然就让你输啦！不然就让你们输教训下你们，就算不爽，也不能意气用事，到时输了，让伊的赢做大了，你情原让一个那么极端的党赢，你觉得我们华人会好过吗？,2,negative,2024-09-27 23:04:01+00:00
facebook,,"Give the scepter to the crew of the Anti-Malay, Anti-Federal Constitution, Neo-Zionist, Neo-Communist, false-promise peddling SJKC-DAP coalition and their army of clueless followers, and what's the ou",2,negative,2024-05-10 05:07:55+00:00
facebook,,然后又来一代一路带你们去荷兰？,1,negative,2025-04-22 03:08:59+00:00
facebook,,马中友谊万岁,1,positive,2025-04-19 14:24:53+00:00
facebook,,🤣🤣🖕,1,positive,2025-05-24 09:51:54+00:00
facebook,,Pls don't talk about your friendship or intimacy with your Erdogan.Most importantly is Turkey 's diplomatic & economic  relationship with M'sia ? May I know what is so special abt Turkey's relationshi,1,negative,2025-02-11 18:32:38+00:00
facebook,,We all know why you spent time in prison,1,negative,2025-02-11 07:06:41+00:00
facebook,,畜生,1,negative,2024-09-14 08:31:31+00:00
facebook,,❤️❤️❤️,0,positive,2025-04-16 23:40:03+00:00
facebook,,好,0,positive,2025-06-04 08:37:58+00:00
facebook,,Amin,0,neutral,2025-06-02 00:25:36+00:00
facebook,,大网红,0,negative,2025-06-01 14:04:04+00:00
facebook,,維尼VS馬來饃,0,positive,2025-05-30 18:05:53+00:00
facebook,,Quả trung,0,negative,2025-05-30 10:30:28+00:00
facebook,,这样下去！它族人会有很多都怕到最后它族人会受到威胁！,0,negative,2025-05-17 23:12:00+00:00
facebook,,,0,neutral,2025-04-22 15:08:28+00:00
facebook,,他离开是好事！成立新党更是王道！留下来只能当隐形人！,0,positive,2025-05-24 15:54:03+00:00
facebook,,影帝。,0,positive,2025-05-25 06:09:12+00:00
facebook,,成班都系蛇鼠一窝臭坑出臭虫,0,negative,2025-05-25 05:01:43+00:00
facebook,,旧人不走，那里有新人来,0,negative,2025-05-25 01:16:15+00:00
facebook,,🇲🇾💖👍😍,0,positive,2025-05-25 00:52:48+00:00
facebook,,"无能马屁精
的泪浸布长戏子
的鱷鱼泪演技不错

哈哈哈🤣🤣🤣🤣🤣",0,negative,2025-05-24 22:46:19+00:00
facebook,,惜英雄重英雄,0,positive,2025-05-24 22:37:21+00:00
facebook,,戏子,0,negative,2025-05-24 16:15:25+00:00
facebook,,,0,neutral,2025-02-22 07:24:52+00:00
facebook,,"This PN bersatu pun 2x5 dgn all the Malaya parties , masa covid , sakau juga Bukan lagi video . Tu president PN naik turun mahkamah  / anak ni si PUi ni pun Kasi sembunyi beratus minyak masak dalam gu",0,neutral,2025-04-04 10:47:40+00:00
facebook,,Jana wibawa apa citer? Mana menantu? Dah jumpa ke? Pastu Pas...kalau Pas masuk Sabah/Sarawak...habis...,0,negative,2025-02-27 22:53:05+00:00
facebook,,Ini orang pergi Sabah untuk rompak minyak orang Sabah. Orang orang Sabah berhati hati dengan orang minyak ini,0,positive,2025-02-27 09:44:41+00:00
facebook,,You all are no good either when in power. We need NEW blood of young intelligent people with integrity who can work for the rakyat and investigate ALL the past leaders for wrong doings,0,negative,2025-02-27 00:31:34+00:00
facebook,,"Says the Malayan who force the guideline on us on what to eat, where not to eat, not allow to greet other races, don't join other celebration.... But take all our oil money. You still want to vote for",0,negative,2025-02-25 01:51:54+00:00
facebook,,Sabah is for rSAbahan.....,0,neutral,2025-02-25 00:32:47+00:00
facebook,,"Sabahan remember voting PN is voting PAS. How on earth Pas kasi bagus Sabah...you tell me? These guys really think we're stupid😡 we don't have money to help pay saman to begin with okay. Crazy,!",0,negative,2025-02-24 18:30:34+00:00
facebook,,"Anak sapu minyak masak RAKYAT, apa cerita ?",0,neutral,2025-02-24 03:33:05+00:00
facebook,,Hamaz leaders dah masuk sini ke...,0,negative,2025-02-20 03:28:24+00:00
facebook,,He is bullshtting about his credibilities.😂😂😂😂,0,negative,2025-02-18 08:45:19+00:00
facebook,,"As usual, talk bullsh*t ! Low IQ Pm!",0,negative,2025-02-14 05:30:16+00:00
facebook,,"Arabs are 1st class believers
Rest are lower class believers 
.
.
.
.
.
.
I meant believe in EV adoption",0,neutral,2025-02-12 07:32:27+00:00
facebook,,"Nonsense story, we don't have the time to listen as we have better thing to do",0,negative,2025-02-11 15:42:20+00:00
facebook,,Same attitude erdogan & anwar..talk more with no effort,0,negative,2025-02-11 13:40:59+00:00
facebook,,If Malaysia can afford why not!!???,0,neutral,2025-02-11 05:14:48+00:00
facebook,,在柔佛州苏丹元首是支持团结政府的,0,positive,2024-09-21 11:09:52+00:00
facebook,,大家要想清楚，这次补选是我们柔佛州，我们不能给国盟在柔佛做大，不然以后真的一发不可收拾,0,negative,2024-09-15 06:09:44+00:00
facebook,,要票时用华語，赢了想關閉华校！,0,positive,2024-09-15 05:26:48+00:00
facebook,,如果有一天，阿克吗癫马忽然说了两句不咸不淡的华语，马华人要不要跪下来朝拜牠？,0,negative,2024-09-15 02:39:25+00:00
facebook,,极端伊党质疑讲华语，不尊重马来语不尊重国语，😁😁😁,0,negative,2024-09-14 20:34:57+00:00
facebook,,会讲华语就想来骗华人票。先开除阿克玛先‼️,0,negative,2024-09-28 00:58:13+00:00
facebook,,两边都不投啦，我们只不过是手中的一趴机子,0,negative,2024-09-27 21:56:48+00:00
facebook,,😂😂😂看到行动党的行为真搞笑！,0,positive,2024-09-28 06:51:26+00:00
facebook,,火箭狗。当需要华人时，这些傢伙就会跟你们讲华語，悲哀,0,positive,2024-09-28 02:49:27+00:00
facebook,,既然会讲华语演讲为何不讲华语,0,negative,2024-09-28 01:53:45+00:00
facebook,,"别把输赢看的这么重，
勝里有時终需有
勝里無時莫强求",0,negative,2024-09-27 23:40:14+00:00
facebook,,过去的火箭也是很卖力替回教党助选，结果也不就背弃忘义 ！都是同皮肤人所为 ！,0,negative,2024-09-27 23:06:34+00:00
facebook,,Frog leader,0,positive,2024-05-14 17:02:29+00:00
facebook,,Wakaakaka...kalau pegang mic.........dia la paling paling BIJAK,0,negative,2024-05-10 09:14:26+00:00
facebook,,Wei abah lembu mana mehantu pegi dei,0,neutral,2024-05-10 07:55:55+00:00
facebook,,"This one is DAP sear ,sure win .",0,positive,2024-05-10 04:52:11+00:00
facebook,,這个国家是他们的想讲什麽就什麽，,0,positive,2024-09-26 03:48:15+00:00
facebook,,Kulit Muka sangat tebal...,0,neutral,2024-09-24 10:14:36+00:00
facebook,,"saya orang Islam, kami semua orang Islam.

一句话把多年不成文的规定搬出来。只要大家一样，凡事都可以谈，应该谈。一句话就道出执法偏差",0,negative,2024-09-23 13:12:35+00:00
facebook,,怎么听起来鸡奸在他们眼里不是严重的罪行？可怕😨,0,negative,2024-09-21 23:53:13+00:00
facebook,,找阿克嗎談,0,neutral,2024-09-21 13:44:54+00:00
facebook,,都是肉棒的错。建议把肉棒给切掉。欲练神经 挥刀自宫,0,negative,2024-09-21 13:39:40+00:00
facebook,,Walaun suka main belakang,0,negative,2024-09-21 09:41:24+00:00
facebook,,如果你仇人砍你几刀让你终身残废，你可以试一下劝告，不要抓他。你们对那些孩子做的事情就是让他们身体上和心灵上终身的伤害啊,0,negative,2024-09-20 23:52:36+00:00
facebook,,脑进水…,0,positive,2024-09-20 12:58:26+00:00
