platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,#pyfツ #storywa iya lah seroyal royalnya laki² dia tetap butuh wanita yg bisa ngontrol keuangan nya bukan malah lebih boros darinya 🙇,508732,348400.0,8332.0,23000.0,neutral,https://www.tiktok.com/@oseawelkodanatu007/video/7636961926018370823,2026-06-08 21:14:45.649878
tiktok,"Tidak perlu iri dengan hidup orang lain.Allah menulis cerita kita dengan cara yang berbeda. Fokus bertumbuh, bukan membandingkan.

#iri #selfreminder #taubat #belajarbaik #fokusbertumbuh",333657,269900.0,957.0,26800.0,positive,https://www.tiktok.com/@salim_aljufri_official/video/7605921500566195477,2026-06-08 21:14:50.302587
tiktok,"Rupiah continues to weaken, remembering how previous President Habibie tackled this issue…

Wishing we could do the same again 🫠
•
•
#investing #investasi #finance #rupiah #IHSG",280230,241100.0,2430.0,18700.0,negative,https://www.tiktok.com/@ashley.habits/video/7641049396435569941,2026-06-08 21:14:51.177390
tiktok,#fypシ゚ perbedaanpunyasaudarakayadengansaudarmiskin,184900,93300.0,18900.0,20700.0,neutral,https://www.tiktok.com/@idaase/video/7601740753898867976,2026-06-08 21:14:52.327774
tiktok,Komen GIFs 🫱🏼‍🫲🏽 #bmf #kedairuncitbangimurah #supportlocalbusiness #homestayostia #buymuslimfirst,89095,48800.0,21400.0,6895.0,neutral,https://www.tiktok.com/@murni.mart.ostia/video/7630747017807088916,2026-06-08 21:14:48.521725
tiktok,"Paham‼️

#sindiranhalus #fypシ #fyp #motivasi #sindiran #katakata",68564,23300.0,264.0,21000.0,neutral,https://www.tiktok.com/@widyaastutik88/video/7325703045466115333,2026-06-08 21:14:40.964302
tiktok,"BGN membatasi dapur MBG maksimal enam unit per kecamatan untuk menata lebih dari 27.000 SPPG yang beroperasi.

Karena sebarannya menumpuk di aglomerasi, pendaftaran SPPG dihentikan sementara sambil di",49599,28400.0,3831.0,4368.0,neutral,https://www.tiktok.com/@kompascom/video/7647907153004547349,2026-06-08 21:14:50.592890
tiktok,"Terkesan pahit, tapi ini NYATA adanya😢 
Pernah ngalamin?😢 dibeda bedain begini?😢 
Tidak semua orang begitu, tp yg begitu banyak 😔 
Follow dulu bund, biar gak ketinggalan🥺 
.
.
.
.
.
#fyp #fypage #real",42814,18600.0,1962.0,5252.0,negative,https://www.tiktok.com/@ifham_kholi/video/7345302176383716614,2026-06-08 21:14:49.097191
tiktok,"Toko Anda Sepi Karena Diguna Guna Orang?? Coba Lakukan Ini!!

#tips #hutang #infotemen #warung #toko",39994,14000.0,317.0,8677.0,neutral,https://www.tiktok.com/@mix_magz/video/7433376966960483592,2026-06-08 21:14:49.380780
tiktok,"🚫💵 Uang Rp 75.000 Ditolak Restoran, Bank Indonesia Bicara! – Jakarta
Baru-baru ini, masyarakat dihebohkan oleh video viral yang menunjukkan sebuah restoran menolak pembayaran menggunakan uang pecahan ",39038,17900.0,1432.0,706.0,negative,https://www.tiktok.com/@yunbimedianusantara/video/7492466146315095302,2026-06-08 21:14:49.669578
tiktok,"Jagat maya dihebohkan oleh aksi seorang warga negara asing (WNA) yang nekat pergi dari sebuah tempat makan tanpa membayar pesanannya. Dalam video yang beredar, bule tersebut sempat terlibat adu mulut ",22311,15900.0,274.0,931.0,negative,https://www.tiktok.com/@inilahcom/video/7645959828233260308,2026-06-08 21:14:49.969261
tiktok,"@edisueni 

TUKANG BEDENG AMATIR TAPI HASILNYA KOK BEGINI? Cara Bikin Bedengan Rapi Pakai Quick Cakar Baja

Pak Edi dari Desa Modangan Kecamatan Nglegok Kabupaten Blitar, Jawa Timur adalah pelaku usah",19578,9812.0,322.0,945.0,positive,https://www.tiktok.com/@tiarajava/video/7472214577204251959,2026-06-08 21:14:48.803381
