platform,post_content,comment_content,engagement,sentiment,date
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:38.494671
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:38.814326
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:39.163751
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:39.551065
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:39.901945
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:40.260973
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:40.629629
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:40.972577
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:41.309231
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:41.654002
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:42.019576
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:42.381431
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:42.772901
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:43.110904
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:43.430828
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:43.785275
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:44.117662
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:44.483770
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:44.843887
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:45.195567
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:45.520938
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:45.859467
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:46.177053
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:46.505065
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:46.844880
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:47.177245
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:47.534596
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:47.868221
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:48.236947
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:48.590985
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:48.913446
tiktok,,beda produk bu. kalau jualan produk bank dan otomotif. dimana closing per day and closing per month.,2,neutral,2026-06-08 22:29:49.276832
