platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,"Kreator konten Jerome Polin rugi hingga Rp 38 miliar akibat dugaan fraud di internal Menantea, bisnis minuman teh yang ia dirikan bersama kakaknya, Jehian PS.

Laporan keuangan yang selama ini dikirim",255935,197400.0,1407.0,9128.0,neutral,https://www.tiktok.com/@kompascom/video/7628151245571673365,2026-06-08 23:15:02.108989
tiktok,Emang harus sabar2 kalo jualan😂 #spareparts #banyuwangi #sparepartmotor,121925,94200.0,968.0,757.0,neutral,https://www.tiktok.com/@ulfysss_/video/7347160759027223813,2026-06-08 23:14:44.799455
tiktok,Modus PENIPUAN Terbaru ! Cara Mengenali Scam Call hening. Share Ke Orang Tersayang Kalian agar jangan menjadi Korban Scam ini #pikirduakali #moduspenipuan #ai #info #terbaru2026,74596,31800.0,596.0,30200.0,positive,https://www.tiktok.com/@kabar.62/video/7630294998071676180,2026-06-08 23:14:41.245424
tiktok,"siapa yang ingin berdiri tegak dimasa-masa sulit, perbanyaklah Dzikrulloh. #hananattaki #ustadzhananattaki #kajianustadzhananattaki #ayahamanah #sharingtime",68654,52800.0,351.0,6756.0,negative,https://www.tiktok.com/@kajian.ust.hanan.attaki/video/7617412908158520596,2026-06-08 23:14:33.266795
tiktok,"Buat kalian yg suka bingung kenapa bisnisnya ga laku, bisa jadi penyebabnya ada disini 🗿 #tutorial #genz #bisnis #selling",46949,38700.0,697.0,4236.0,negative,https://www.tiktok.com/@iqbalsalmon3/video/7474552135703645446,2026-06-08 23:14:32.616077
tiktok,bismillah bisa istiqomah#wirid #nabikhidir #tarikduit #amalanpelunashutang,43952,23100.0,1246.0,11000.0,neutral,https://www.tiktok.com/@faniardianaummani/video/7340682249584610566,2026-06-08 23:14:33.620105
tiktok,"#pluralisme🌻 
#sindirankeras 
#satanictemple 
#fypシ゚viral",38140,26900.0,373.0,4721.0,neutral,https://www.tiktok.com/@kerandatrbang/video/7360208973393333510,2026-06-08 23:15:10.741019
tiktok,Membalas @👾 cek kita keterima tidaknya dmna?#spmb2026 #agussinau #spmbjateng2026,34877,26700.0,266.0,2502.0,negative,https://www.tiktok.com/@agussinau/video/7646422089146076437,2026-06-08 23:14:43.825926
tiktok,#CapCut #bismillahfyp,33223,19700.0,375.0,7157.0,neutral,https://www.tiktok.com/@pelangijuang/video/7630721271172566292,2026-06-08 23:14:42.047097
tiktok,"Kenapa banyak bisnis kuliner yang tutup?
Setiap hari kita lihat cafe dan warung baru bermunculan. Tapi... yang bertahan cuma segelintir.

Saya rangkum dari pengalaman belasan tahun di lapangan:
✅ Bany",21852,8676.0,534.0,6810.0,negative,https://www.tiktok.com/@tekyang88/video/7528677190855101701,2026-06-08 23:14:29.481603
tiktok,"NEW Lepak Spot Until 2AM in KL😍

📍Embassy Lane, 2798, Jalan Pegawai, Taman U Thant, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur
🕒5PM - 2AM (Opens Daily)

#MyFoodie #MakanLokal",21712,9741.0,154.0,8555.0,positive,https://www.tiktok.com/@makanrakyatmy/video/7643056237751356680,2026-06-08 23:15:12.395671
tiktok,"❗️17 Ide Bisnis 3 Jutaan yang Diam-diam Banyak Peminatnya‼️

Mau mulai usaha tapi modal pas-pasan?
Ini 17 ide bisnis yang realistis dimulai dari modal 3 jutaan.
Cocok buat karyawan, mahasiswa, atau ib",18639,6692.0,72.0,875.0,positive,https://www.tiktok.com/@nethubglobal/video/7576942691871706376,2026-06-08 23:14:44.172612
tiktok,LC lebih menggoda #LC #xybca #fyppppppppppppppppppppppp #fypage #jjkatata,15914,8957.0,240.0,1004.0,neutral,https://www.tiktok.com/@bangriyan294/video/7634221617689726226,2026-06-08 23:14:43.164471
tiktok,Türkmenistandaky yada başka yurtdaky yakynynyza turistik çakylyk haty nadip ugratmaly? Jogaby videoda.,15168,6210.0,800.0,5068.0,negative,https://www.tiktok.com/@ihlas.yk/video/7564398326905539848,2026-06-08 23:14:54.019352
tiktok,"Kakak beradik 🫂

#saudara #kakakberadik 
#saudarakandung #keluarga",14705,4886.0,51.0,6104.0,neutral,https://www.tiktok.com/@aisheey_88/video/7621818281933966612,2026-06-08 23:15:10.320571
tiktok,Awareness For PTPK Loan Unsettlement Case | Case Transfer to Deb Collector.Please Try to settle if not they force you pay RM6500 50% of your loan Amount  #fyppppppppppppppppppppppp #ptpk #juawala #mal,13950,5982.0,110.0,5037.0,neutral,https://www.tiktok.com/@futurehacker1133/video/7636417130686106900,2026-06-08 23:15:12.077761
tiktok,Easiest Business Ideas #trending #business #businessideas #motivation #rajshamani,12864,9112.0,90.0,652.0,positive,https://www.tiktok.com/@_businex/video/7559516817241148679,2026-06-08 23:14:47.896709
tiktok,"TVA due vs crédit de TVA 💡

👉 TVA due : collectée > déductible → tu paies 💸
👉 Crédit de TVA : déductible > collectée → tu récupères 💰

🎧 Version complète sur Spotify, YouTube et Apple Music — Compta V",10483,5847.0,21.0,3838.0,neutral,https://www.tiktok.com/@compta.vibes.musi/video/7619637927626444034,2026-06-08 23:14:48.261685
