platform,content,engagement,likes,comments,shares,sentiment,url,date
linkedin,"𝗧𝗵𝗲 𝗕𝗮𝗰𝗸𝗯𝗼𝗻𝗲 𝗼𝗳 𝗧𝗵𝗶𝘀 𝗘𝗰𝗼𝗻𝗼𝗺𝘆

When global oil prices rise, when supply chains are disrupted, and when costs increase, the impact is not felt first by large corporations or multinationals.

It is felt ",1405,1253.0,46.0,106.0,neutral,https://www.linkedin.com/posts/anwaribrahimofficial_malaysiamadani-ekonomimadani-activity-7447297306443382784-ZU8e,2026-04-07 15:00:41.949000+00:00
linkedin,"Malaysia just got a massive RM1.898 Billion boost for industrial transformation in Budget 2026! 🚀🇲🇾

This allocation is key to raising our economic ""ceiling"" through high-quality investments and expor",642,606.0,7.0,29.0,positive,https://www.linkedin.com/posts/tengku-zafrul-aziz-31a86840_tza-mitimalaysia-thisiswhereglobalstarts-activity-7383335681579782144-b5Se,2025-10-13 03:00:02.232000+00:00
linkedin,"Malaysia’s deep tech founders don’t leave for Singapore because they love the food ... they leave because our financial system starves them.

We keep saying Malaysia wants to be an “Innovation Nation.",636,466.0,118.0,52.0,neutral,https://www.linkedin.com/posts/ainolrazman_malaysias-deep-tech-founders-dont-leave-activity-7364506438813044739-VxxP,2025-08-22 03:59:20.926000+00:00
linkedin,"2025 Reflection: Grit, Growth, and the Path Ahead

What an incredible year it's been for GXS Group! As 2025 closes, we celebrated a significant achievement: booking our final tranche of collaterised l",469,451.0,17.0,1.0,positive,https://www.linkedin.com/posts/pei-si-lai-82768354_gxs-gxb-digitalbank-activity-7412754186016088064-LI5I,2026-01-02 07:18:40.259000+00:00
linkedin,"Some of the most impactful government programs are the ones we don’t hear much about.

Last week we launched RM50 billion in loan guarantees through Skim Jaminan Pembiayaan Perniagaan (SJPP) and Skim ",438,412.0,8.0,18.0,neutral,https://www.linkedin.com/posts/amir-hamzah-azizan-05990b42_some-of-the-most-impactful-government-programs-activity-7421356206369464320-R4Zc,2026-01-26 01:00:01.729000+00:00
linkedin,"What's strategic direction of Maybank vs CIMB?⁠
⁠
Maybank’s quarter was about resilience, margin expansion, and broad-based franchise strength. Beyond the RM2.48b net profit, Maybank highlighted bette",405,385.0,1.0,19.0,positive,https://www.linkedin.com/posts/the-financial-coconut_investments-maybank-cimb-activity-7467459051954655232-prIp,2026-06-02 06:16:16.666000+00:00
linkedin,"There’s a certain tragic comedy in watching Malaysia roll out its largest budget ever. For 2026, RM421 billion is on the table, with billions earmarked for Bumiputera empowerment; RM2.5 billion in mic",385,274.0,87.0,24.0,neutral,https://www.linkedin.com/posts/ainolrazman_theres-a-certain-tragic-comedy-in-watching-activity-7442423016636100608-uknC,2026-03-25 04:12:00.699000+00:00
linkedin,"Digital Banks in Malaysia are Losing Money…..

Losses of RM200m–RM600m across Malaysia’s digital banks are often waved away as “startup costs.” Some losses are inevitable. Sloppy ones aren’t.

The iss",348,303.0,12.0,33.0,negative,https://www.linkedin.com/posts/datuk-dr-h-c-michael-lor-71b81149_digital-banks-in-malaysia-are-losing-money-activity-7425163853434515457-EhMA,2026-02-05 13:10:15.532000+00:00
linkedin,"#132 🇲🇾 MALAYSIA’S E-WALLET WAR

Generated by Habib AI using ChatGPT.


Malaysia’s cashless economy is booming — and a handful of e-wallets are fighting to control how money moves daily.


1. 🥇 TOUCH ",318,288.0,2.0,28.0,neutral,https://www.linkedin.com/posts/habibaishow_habibai-touchngo-shopeepay-activity-7455664524642230272-528t,2026-04-30 17:09:02.223000+00:00
linkedin,"Monee just pulled off what most #banks dream of.

In just 12 months, their #loanbook has almost doubled. From $3.5B in Q2 2024 to $6.9B in Q2 2025. At the same time, the #NPL 90+ ratio dropped to 1%. ",232,215.0,3.0,14.0,positive,https://www.linkedin.com/posts/davidjimenezmaireles_banks-loanbook-npl-activity-7366631865815855106-hfg0,2025-08-28 00:45:02.212000+00:00
