platform,content,engagement,likes,comments,shares,sentiment,url,date
x,"Elu:
1) Gaji tiap bulan dipotong pajak,
2) THR juga kena pajak,
3) Dapet bonus kena pajak juga,
4) Beli barang mahal kena pajak barang mewah,
5) Rumah kena pajak bumi dan bangunan,
6) Motor harus baya",88191,37152.0,533.0,16198.0,negative,https://x.com/ardisatriawan/status/1830466907021177026,2024-09-02 04:44:53+00:00
x,ngucapin “kami hadir dalam keberkahan” langsung kena timpa bendera god is literally telling them “berkah” yang sedang mereka nikmati tuh ga beneran berkah 😂,82638,52883.0,297.0,15098.0,negative,https://x.com/villifai/status/1930564565961675181,2025-06-05 09:57:15+00:00
x,"Jangan normalise kan budaya indon bawak ke Malaysia. Pergi ziarah orang mati kena tutup aurat untuk Muslim dan berpakaian sopan untuk bukan Muslim. Bukan pakai macam nak g pasaraya.
Sebab tu Malaysia ",69408,10733.0,1215.0,2203.0,negative,https://x.com/dahfollowbelum/status/2030568519193276478,2026-03-08 08:57:15+00:00
x,"Ada Zionis di Tel Aviv bercerita:
""Di waktu serangan Iran kayak begini, tiap hari saya ajak keluarga saya makan di restoran. Setelah makan, kami tetap duduk sambil nunggu ada suara sirene darurat roke",56689,33713.0,264.0,4004.0,neutral,https://x.com/erlanishere/status/1935881951308923262,2025-06-20 02:06:38+00:00
x,"Kesian Malaysia

Dah lebih setahun 
1. Masih tak boleh rentas negeri
2. Tak boleh balik raya
3. Bisnes masih kena tutup by 12am
4. Brg tetap mahal
5. Gaji tetap murah
6. Vaksin lembap tp salahkan nega",48542,23515.0,58.0,24969.0,negative,https://x.com/ans47/status/1382651789934174216,2021-04-15 11:07:29+00:00
x,"It's not only about the profit.
It's also about food safety reasons, we never know what customers carry inside their tumbler.

Udh banyak contoh lahh restoran kena rujak krn customer nya bawa makanan ",41025,18191.0,233.0,2771.0,negative,https://x.com/ameriken0__/status/2004791184091144633,2025-12-27 05:47:20+00:00
x,"Saya percaya, kenangan tersimpan di hati, bukan di sebuah bangunan restoran siap saji. Jangan sampai kapitalisme diromantisisasi, lalu ujungnya pada kena sanksi",39714,35434.0,276.0,4004.0,neutral,https://x.com/FiersaBesari/status/1259647180333252608,2020-05-11 00:51:05+00:00
x,"Bayangin elu:
1) Gaji tiap bulan dipotong pajak penghasilan,
2) Belanja kebutuhan sehari-hari kena pajak pertambahan nilai,
3) Beli barang dari luar negeri kena pajak impor,
4) Kendaraan elu dipajakin",38200,19943.0,359.0,7024.0,negative,https://x.com/ardisatriawan/status/1792133083204132947,2024-05-19 09:59:57+00:00
tiktok,"Usahawan, Khairul Aming menerima pujian netizen selepas mengumumkan restorannya, Rembayung akan ditutup selama enam hari bagi memberi peluang kepada para pekerja pulang beraya di kampung.

Restoran it",33557,26900.0,353.0,827.0,positive,https://www.tiktok.com/@ohmedia/video/7613774280492453127,2026-06-09 09:55:38.999783
x,"Inilah dia Rembayung, restoran pertama Khairulaming. Selepas berbulan-bulan buat persediaan, akhirnya kita bersedia untuk membuka tirai. 

Berpuluh jenis juadah kampung dan minuman disediakan. Kuih mu",31083,14343.0,168.0,5578.0,positive,https://x.com/khairulaming/status/2007061981652832526,2026-01-02 12:10:40+00:00
x,"Semalam terbaca makcik yg patutnya kuarantin tapi pi enjoy makan kat luar tu positive Covid19. So kat sini dia menyusahkan ramai org :

1. Owner kena tutup kedai makan
2. KKM kena contact tracing
3. O",29994,12852.0,58.0,17084.0,negative,https://x.com/mieja_ibrahim/status/1285736200221884417,2020-07-22 00:39:32+00:00
x,"Bagaimana pendapatan kalian?
.
.
India “menyembunyikan” wilayah kumuh di negaranya ketika menjadi tuan rumah Konferensi Tingkat Tinggi (KTT) G20 pekan lalu dengan cara memasang kain warna hijau untuk ",23708,6678.0,484.0,509.0,negative,https://x.com/sosmedkeras/status/1703771574254584260,2023-09-18 14:02:52+00:00
x,Wow ada VIP kena hon orang ramai sebab buat orang jem jalan kena tutup kejap nak bagi dia lalu. https://t.co/eE3CfWu277,20616,12202.0,274.0,8140.0,positive,https://x.com/datukhensem/status/1542547247342428160,2022-06-30 16:34:57+00:00
tiktok,"Tutup Permanen Restoran Pangeran mudo, , ntah makanannya terlalu mahal atau tempat nya kurang startegis, #restoran #pangeranmudorestoandcafe #pangeranmudo #cikarang",7185,2916.0,691.0,1356.0,neutral,https://www.tiktok.com/@toro_storeid/video/7630460352874138887,2026-06-09 09:55:41.568236
x,"Bukan semua peniaga nak diviralkan.

Minggu lepas saya pergi makan di kedai kegemaran saya dan keluarga. Kedai di Medan Makan berhampiran. Kami memang suka.

Cuma tiba-tiba hari itu orang terlalu rama",6743,2554.0,23.0,1396.0,negative,https://x.com/HilalAsyraf/status/1690290877330321408,2023-08-12 09:15:23+00:00
x,"Bukan hanya Sritex yang kena imbas dari Permendag No 8 Tahun 2024, namun lebih dari 60 perusahan tekstil lainnya tutup dan mengurangi karyawan.

Kalian saja yang gelap, kami baik-baik saja, kata dia.
",6349,3509.0,88.0,1703.0,neutral,https://x.com/AnakLolina2/status/1896389466421710933,2025-03-03 02:37:36+00:00
x,"Sekarang tak boleh dine-in di restoran. Maksudnya tiada orang kecuali take away customers yang tunggu di luar.

Jadi, apa logik restoran kena tutup pukul 8pm tapi kilang boleh beroperasi 24 jam? Kalau",6029,2800.0,36.0,3193.0,negative,https://x.com/SyedAkramin/status/1408610193127006208,2021-06-26 02:16:55+00:00
x,"Satu karyawan terjerat pinjol, X, dan sempat kena serangan nyeri dada hebat saat kena teror telepon kemarin, shg hari ini nda masuk kerja

Telpon berdering, diangkat salah satu karyawan

Karyawan : Ha",6016,2456.0,178.0,812.0,negative,https://x.com/DrEvaChaniago/status/1808502023106806164,2024-07-03 14:04:17+00:00
x,"Kalau ikut cara Anwar, gari tangan bagi duduk, tutup mata, tumbuk; tak bagi pergi hospital. 

Ini sekejap ulser, sekejap salah ubat last last bagi alasan kena fisioterapi. Facebook dok update ok. Anak",5251,3152.0,16.0,2083.0,negative,https://x.com/bumilangit/status/1572909189126819841,2022-09-22 11:22:28+00:00
x,Tolong tenangin gw karna just found out RAMEN TERENAK buat gw udah TUTUP alias menya musashi di kokas 💔💔💔💔 menurut gw ini bukan putus lg tapi PERCERAIAN 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,4468,1296.0,43.0,38.0,positive,https://x.com/skipberat/status/2062025367104450804,2026-06-03 04:15:32+00:00
x,"????????????????????????????????????

#skynani https://t.co/BoYKpCHlbu",3791,2714.0,1.0,537.0,neutral,nan,NaT
x,"BERATUR

Perkara ini tidak berlaku pada tahun 90an. Ketika itu nak naik bas mini kena berebut.

Ini bermakna otak rakyat Malaysia perlu 20-30 tahun untuk berevolusi.

Agaknya, berapa tahun lagi kita p",2446,644.0,47.0,148.0,negative,https://x.com/SyedAkramin/status/2063101857921438017,2026-06-06 03:33:08+00:00
tiktok,"BANGI, Khamis – Dasar Fried Chicken (DFC) menafikan dakwaan kononnya restoran makanan segera itu ditutup seperti yang tular di media sosial semalam.
 
Dalam satu kenyataan di akaun Facebook rasminya s",1754,1149.0,262.0,38.0,neutral,https://www.tiktok.com/@beritapertiwi/video/7413641060225797394,2026-06-09 09:55:40.169092
x,"Hello @StarbucksMY, you are so unprofessional for this. Cakap till 10pm tapi pukul 7.30 pm dah tutup, alasan customer dah penuh kat dalam? 

And your staff cakap “takkan kami nak kerja pakai pukul 12”",1685,957.0,17.0,711.0,negative,https://x.com/nabilfikran10/status/1575455679116062720,2022-09-29 12:01:19+00:00
