platform,content,sentiment_score,engagement,url,date
tiktok,"SA KE MQNKSS PERINGKAT KEBANGSAAN LAGI 🤲🏼

Alhamdulillah, pada 9 Mei 2026 telah berlangsungnya MQNKSS Peringkat Negeri Melaka dan dengan izin dan redhaNya, SA dinobatkan sebagai Johan sekaligus mewaki",0.9994129896163939,4490,https://www.tiktok.com/@soutulazim/video/7638053492455689492,2026-06-10 21:36:40.159340
x,"𝗝𝗘𝗟𝗔𝗝𝗔𝗛 𝗞𝗔𝗡𝗖𝗜𝗟 𝗞𝗘 𝗡𝗘𝗚𝗘𝗥𝗜 𝗦𝗘𝗠𝗕𝗜𝗟𝗔𝗡 𝗛𝗔𝗥𝗜 𝗦𝗔𝗕𝗧𝗨 𝗗𝗔𝗡 𝗣𝗘𝗥𝗔𝗞 𝗛𝗔𝗥𝗜 𝗔𝗛𝗔𝗗

Terima kasih kepada orang ramai yang hadir ke permulaan Jelajah Kancil di Johor dan bersambung di Melaka.

Kedua-dua jelajah dihadiri ",0.9994118630886077,600,https://x.com/rafiziramli/status/2064203145287504250,2026-06-09 04:29:15+00:00
x,"‘Cara terbaik selesai kemelut di Negeri Sembilan melalui rundingan, bukan mahkamah’ - Zahid 

#BHnasional Semua pihak juga perlu menghormati institusi kedaulatan Dewan Keadilan Undang (DKU) 

https://",0.999409931898117,12,https://x.com/bharianmy/status/2063128188511801850,2026-06-06 05:17:45+00:00
facebook,Semoga niat baik DS TITM dan semua mendapat redha Allah dan membuka pintu hati Melayu-Islam untuk bersatu untuk memenangkan PAS,0.9994079291820526,33,nan,2026-06-03 13:44:42+00:00
tiktok,"Dari tahun 2018 sampai kini, saya berpeluang berjalan, bertemu dan mendengar sendiri suara rakyat di seluruh pelusuk Negeri Sembilan.

Ada yang saya ziarah ketika susah, ada yang saya raikan ketika se",0.9994077682495117,1884,https://www.tiktok.com/@mbnogori9/video/7647850797924945172,2026-06-10 21:36:32.282594
x,"Mesyuarat Khas Jawatankuasa Badan Perhubungan UMNO Negeri Johor yang dipengerusikan oleh YAB Presiden UMNO, Dato’ Seri Dr. Ahmad Zahid Hamidi telah diadakan hari ini bersama barisan kepimpinan UMNO Jo",0.9994075536727904,29,https://x.com/KhaledNordin/status/2063603867980644526,2026-06-07 12:47:56+00:00
instagram,Pemimpin yang baik Allah akan jaga dia dengan baik buat rakyat,0.9994065880775451,0,nan,2026-05-19 00:55:03+00:00
facebook,"Apakah Muafakat Nasional akan bertaut semula UMPAS?
Jika terjadi aku bersyukur sangat!
Jika bermula di Johor sudah pasti di Melaka dan Negeri Sembilan akan menyusul dan akan berkembang seluruh semenan",0.9994058370590209,0,https://www.facebook.com/hassnurrulramadhan.hassan/posts/pfbid0NYbm3oHPQyLeZsZhUweoJRN2B4YRwcsYRV8HKMmZWMx59bSFeWpjBjdrDjChEaRWl,NaT
x,"Setelah 22 tahun diperjuangkan, akhirnya RUU Perlindungan Pekerja Rumah Tangga (PPRT) disahkan.

Kami bersyukur dapat menjadi bagian dari perjuangan panjang ini bersama JALA PRT &amp; berbagai elemen ",0.9994054794311522,0,https://x.com/NasDem/status/2064698780692475942,2026-06-10 13:18:44+00:00
instagram,"Alhamdulillah, Kelab Belia Dinamik Paloh telah diberi amanah untuk bersama-sama menjayakan Majlis Sambutan Hari Raya Bangsa Johor anjuran Ahli Majlis Zon Paloh A, En. Atan.

Setinggi-tinggi penghargaa",0.9994028866291045,10,https://www.instagram.com/p/DXnj8giATB-/,2026-04-27 02:21:14+00:00
facebook,"KENYATAAN MEDIA ADUN ADUN PERIKATAN NASIONAL NEGERI SEMBILAN

Bersama kita doakan kemelut NS segera pulih,stabil dan Kerajaan Negeri dapat menumpukan kepada kesejahteraan rakyat..

Muafakat membawa be",0.9994027435779571,0,https://www.facebook.com/AnnuarMusa/posts/pfbid02DVJHiykNN81RRJrbXhRuTJNspfczRovHBsEg2TLQmZTGtFe2KL4UXskzjukyasUtl,NaT
