platform,post_content,comment_content,engagement,sentiment,date
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:11.410290
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:11.726346
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:12.043260
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:12.361484
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:12.688331
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:13.004898
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:13.565546
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:13.878259
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:14.199244
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:14.526792
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:14.844747
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:15.160773
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:15.501143
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:15.847324
tiktok,,biarlah PAS bergerak sendirian..ramai pemimpin2 dalam PAS yg berkaliber,1560,neutral,2026-06-11T15:59:16.163420
