platform,content,sentiment_score,engagement,url,date
x,User: GRSSabah not found,0.0,0,,2026-06-11T17:48:07.530295
x,User: AbangJohari not found,0.0,0,,2026-06-11T17:48:07.530549
x,User: bersatu_OFFICIAL not found,0.0,0,,2026-06-11T17:48:07.530663
x,"KENYATAAN MEDIA

Mesyuarat Majlis Kerja Tertinggi UMNO Malaysia yang berlangsung pada 10 Jun 2026 bersamaan 24 Zulhijah 1447H telah membincangkan dan membuat beberapa ketetapan berikut:

1. UMNO akan ",0.0,217,https://x.com/DrZahidHamidi/status/2064717242596737061,Wed Jun 10 14:32:05 +0000 2026
x,"𝐒𝐞𝐬𝐢 𝐊𝐮𝐧𝐣𝐮𝐧𝐠𝐚𝐧 𝐇𝐨𝐫𝐦𝐚𝐭 𝐁𝐞𝐫𝐬𝐚𝐦𝐚 𝐊𝐞𝐭𝐮𝐚-𝐤𝐞𝐭𝐮𝐚 𝐏𝐞𝐫𝐰𝐚𝐤𝐢𝐥𝐚𝐧 𝐃𝐢𝐩𝐥𝐨𝐦𝐚𝐭𝐢𝐤 𝐌𝐚𝐥𝐚𝐲𝐬𝐢𝐚

Saya telah menerima kunjungan hormat daripada 13 Ketua Perwakilan Diplomatik Malaysia ke luar negara yang baharu sebelum merek",0.0,91,https://x.com/DrZahidHamidi/status/2064618664310304834,Wed Jun 10 08:00:22 +0000 2026
x,"𝐈𝐧𝐯𝐞𝐬𝐭 𝐌𝐚𝐥𝐚𝐲𝐬𝐢𝐚 𝟐𝟎𝟐𝟔: 𝐁𝐮𝐢𝐥𝐝𝐢𝐧𝐠 𝐕𝐚𝐥𝐮𝐞, 𝐒𝐡𝐚𝐩𝐢𝐧𝐠 𝐭𝐡𝐞 𝐅𝐮𝐭𝐮𝐫𝐞

Today, I attended Invest Malaysia 2026, a premier platform that brings together investors, industry leaders and capital market participants fr",0.0,61,https://x.com/DrZahidHamidi/status/2064331788936483217,Tue Jun 09 13:00:26 +0000 2026
x,"Dah puas merayau dekat Bagan Datuk Helmy? Saya dengar dah habis pusing satu Parlimen. Orang Duyong tak rindu ke? 

Alhamdulilah. Terima kasih sudi menyantuni orang-orang Bagan Datuk. Maaf tak dapat be",0.0,75,https://x.com/DrZahidHamidi/status/2064317169132024014,Tue Jun 09 12:02:20 +0000 2026
x,"𝐏𝐞𝐧𝐝𝐢𝐝𝐢𝐤 𝐊𝐄𝐌𝐀𝐒: 𝟓𝟓 𝐓𝐚𝐡𝐮𝐧 𝐌𝐞𝐧𝐜𝐞𝐫𝐝𝐚𝐬𝐤𝐚𝐧 𝐀𝐧𝐚𝐤 𝐁𝐚𝐧𝐠𝐬𝐚

Tiga tahun lalu, kita membawa satu hasrat besar untuk melihat anak-anak KEMAS bukan sahaja mengenal huruf dan angka, tetapi turut dibimbing dengan as",0.0,60,https://x.com/DrZahidHamidi/status/2064249204021895457,Tue Jun 09 07:32:16 +0000 2026
x,"Di pejabat sebentar tadi, saya menerima kiriman cenderamata berupa key chain #HTN2026 hasil kreativiti pelajar-pelajar Jabatan Kejuruteraan Elektrik, Politeknik Ungku Omar (PUO), Ipoh.

Terima kasih k",0.0,74,https://x.com/DrZahidHamidi/status/2063946879294185700,Mon Jun 08 11:30:56 +0000 2026
x,"𝐓𝐞𝐫𝐢𝐦𝐚 𝐊𝐚𝐬𝐢𝐡 𝐌𝐞𝐧𝐣𝐚𝐝𝐢 𝐒𝐞𝐛𝐚𝐡𝐚𝐠𝐢𝐚𝐧 𝐃𝐚𝐫𝐢𝐩𝐚𝐝𝐚 𝐒𝐞𝐣𝐚𝐫𝐚𝐡 𝐇𝐚𝐫𝐢 𝐓𝐕𝐄𝐓 𝐍𝐞𝐠𝐚𝐫𝐚 𝟐𝟎𝟐𝟔

Alhamdulillah, Sambutan Hari TVET Negara 2026 telah melabuhkan tirainya semalam.

Saya amat teruja apabila menerima makluman bah",0.0,57,https://x.com/DrZahidHamidi/status/2063931759134400578,Mon Jun 08 10:30:52 +0000 2026
