platform,post_content,comment_content,engagement,sentiment,date
facebook,,"Panjangnya karangan haha
Macam ni jerlah Eloklah berpisah...
PAS akan bergabung dengan UMNO me bentuk Muafakat National Original",190,neutral,2026-05-24T11:15:18.000Z
facebook,,Keluarlah dari pakatan ini wahai Pas..Biarkan mereka dengan cara mereka..Kembali berjuang Secara Solo..,161,neutral,2026-05-24T11:11:03.000Z
facebook,,"Dia kata Bersatu terima beratus2 permohonan ahli baru SETIAP HARI. Satu jer nak tanya. Datanya mana? Kalau tak membohong tak boleh kot, walaupun tau yg MEMBOHONG ADALAH SATU DOSA BESAR! 
Korang ni seb",118,neutral,2026-05-24T11:22:42.000Z
facebook,,Lps ni Kedah Kelantan trengganu... Tak payah ada PN... Biar PAS solid... Bahaya jugak... Tiba² ADUN bersatu kena pecat boleh gugat kerajaan negeri,111,neutral,2026-05-24T11:27:23.000Z
facebook,,Saya setuju 100% kenyataan Tn Presiden PAS. Semuanya betul. Bersatu memang bermasalah.,97,neutral,2026-05-24T11:13:09.000Z
facebook,,"Inilah parti syok sendiri.. Di Perlis kata junjung perintah Raja Perlis.. Kalau kata jenih orang setiakawan, Dia akan berbincang sama2 dalam parti dan kemudia baru kemuka kepada Raja.. Ni dak, terus b",91,neutral,2026-05-24T11:52:49.000Z
facebook,,"Cuba try solo, in Shaa ALLAH kena yakin 👍",67,neutral,2026-05-24T11:11:15.000Z
facebook,,"Keluar je lah dari PN tu..
Bersatu ni pun Indah khabar dari rupa 
Tunjuk kan yg Bersatu boleh menang TANPA Pas...baru nama kuat 
Ada berani...",67,neutral,2026-05-24T11:11:06.000Z
facebook,,Panjangnya helah politik ni,41,neutral,2026-05-24T11:02:06.000Z
facebook,,"DSRR xjawab pun kita dah sedia maklum xdak sapa pun bantu parti baru BERSAMA.. Tapi utk senyapkan kebisingan fitnah ceplos, terpaksa jwb jgk bagi jelas.. Kesian mereka xdak modal nak attack sosok DSRR",11,neutral,2026-06-11T09:36:43.000Z
facebook,,lets the battle begin !,9,neutral,2026-05-24T11:32:40.000Z
facebook,,InsyaAllah saya hadir n support 💪,5,neutral,2026-06-11T09:30:17.000Z
facebook,,Bersatu akan bersama PH? 🤭,5,neutral,2026-05-24T00:52:54.000Z
facebook,,"Sembang kari ayam...
Bagi bubar parlimen biar rakyat yang tentukan kedudukan kamu semua memang bungkus habis c penjilat semua",4,neutral,2026-06-11T09:22:58.000Z
facebook,,asal buat pengumuman je tak ada apa berita baik yg boleh meringankan rakyat.,4,neutral,2026-06-11T09:21:47.000Z
facebook,,"I speak on behalf of all Malaysian when I say Anwar is the best PM after Mahathir. During these difficult times, he is making tough yet necessary decisions for the greater good. Thank you so much Anwa",4,neutral,2026-06-11T07:00:37.000Z
facebook,,"Alhamdulillah🤲
Terbaik YAB DSDAI PMX & Kerajaan Madani 
❤🌹❤
#MalaysiaMADANI
#MADANIBekerja
#RancakkanMADANI",4,neutral,2026-06-11T07:04:00.000Z
facebook,,"We should reduce wastage during pre-election campaigns and elections, channel the savings back to society, and lower our carbon footprint through more sustainable practices.",3,neutral,2026-06-11T09:28:43.000Z
facebook,,"Untuk keselamatan org Islam, Bersatu sewajarnya keluar dari #PerikatanNasional dan terus bersama #Brother Anwar Bin Ibrahim. Jln terbaik",3,neutral,2026-05-24T02:57:30.000Z
facebook,,"Tahniah menteri,, keadaan negara kita paling balik dia asia!",2,neutral,2026-06-11T09:24:23.000Z
facebook,,Hadir Support!,2,neutral,2026-06-11T09:42:08.000Z
facebook,,"𝗜𝗻𝗶𝗹𝗮𝗵 𝗸𝗲𝗸𝘂𝗮𝘁𝗮𝗻 𝘀𝗲𝗯𝗲𝗻𝗮𝗿 𝗕𝗘𝗥𝗦𝗔𝗠𝗔..
𝗗𝗶𝗯𝗶𝗻𝗮 𝗼𝗹𝗲𝗵 𝗿𝗮𝗸𝘆𝗮𝘁, 𝗱𝗶𝗯𝗶𝗮𝘆𝗮𝗶 𝗿𝗮𝗸𝘆𝗮𝘁 𝗱𝗮𝗻 𝘂𝗻𝘁𝘂𝗸 𝗿𝗮𝗸𝘆𝗮𝘁.",2,neutral,2026-06-11T10:11:22.000Z
facebook,,bubar jela bersatu ni...memalukan..jentera pun xde....calon nak..tahikkk,2,neutral,2026-05-29T12:36:58.000Z
facebook,,"Saya ikut pelancaran Jentera pilihanraya Bersatu di Melaka melalui siaran langsung di platform YouTube. dan saya sedar sesuatu yg mungkin boleh ditambah baik.

Visual terlalu jauh dari penceramah. Muk",2,neutral,2026-05-30T15:39:12.000Z
facebook,,💩,1,neutral,2026-06-11T09:47:34.000Z
facebook,,👍,1,neutral,2026-06-11T07:02:01.000Z
facebook,,Thank you PMX. We are proud of you!!,1,neutral,2026-06-11T07:15:40.000Z
facebook,,Terbaikkkk PMX,1,neutral,2026-06-11T07:33:11.000Z
facebook,,"Johor and N9 are BERSAMA's Testbeds for GE16.🙏🙏🙏
   Let the Just , Fair-minded and Unbiased Lead.🙏🙏🙏 The Candidates Screening Committee should be able to Assess Suitability of Candidates from Various ",1,neutral,2026-06-11T09:55:41.000Z
facebook,,Kami penyokong PAS mengharapkan kerjasama ditamatkan dgn segera....sekian TQ saya ulanggg.....,1,neutral,2026-05-24T07:16:19.000Z
facebook,,"Berita paling lawak abad ini ""Bersatu ada jentera"" 🤣🤣🤣🤣 .. Kalau tak ada program tabur dedak ( makan free ) jangan mimpilah nak tengok Bersatu berhimpun ramai ramai .. Inilah jadinya bila berjuang dem",1,neutral,2026-05-24T06:26:09.000Z
facebook,,谈及任何地球大课题解决模式，总离不开一个国策的主方向。在原始时代至现今电子时代，人脑不间断进步着。当人类开始一个首领世纪时，许多拥有人类超前思维左右着地球上一切大自然与人造物品生存在宇宙的合理性质。我们在不同国度环境之下，觉得什么是合理，什么是严重问题已出现在社会。当您的浅意识告诉大家，这个最深重课题已破坏了自己的舒适感觉时，您才会唤起国人关注与立刻彻底断绝其源源不息的恶循环。在马来西亚，我国最高,0,neutral,2026-06-11T10:12:17.000Z
facebook,,masalah utama sekarang isu rohingya n nurse dari indon. tolong ye tuan kalau nak jadi pm lagi,0,neutral,2026-06-11T10:22:15.000Z
facebook,,Selesai masalh roghinya tu tuan..da menjadi2 perangai puak2 tu..kasi hantar pulang puak2 tu..,0,neutral,2026-06-11T10:19:58.000Z
facebook,,sembang kosong,0,neutral,2026-06-11T10:11:13.000Z
facebook,,kasi selesai dulu tu isu Rohingya bah...,0,neutral,2026-06-11T10:00:06.000Z
facebook,,Apa yg cuba disampaikan?,0,neutral,2026-06-11T09:23:04.000Z
facebook,,Hello Sir,0,neutral,2026-06-11T10:30:24.000Z
facebook,,Terbaik PMX.Malaysia Bangkit,0,neutral,2026-06-11T08:10:43.000Z
facebook,,Terbaik PMX,0,neutral,2026-06-11T10:20:19.000Z
facebook,,Pendatang #rohingya ni jangan lupa selesaikan..,0,neutral,2026-06-11T08:37:33.000Z
facebook,,เรียนเชิญท่าน ไปด้วยกันครับ อาเซี่ยนด้วยกัน,0,neutral,2026-06-11T06:59:20.000Z
facebook,,Right approach 🙌 bravo,0,neutral,2026-06-11T09:57:20.000Z
facebook,,,0,neutral,2026-06-11T09:43:25.000Z
facebook,,Terbaik,0,neutral,2026-06-11T09:48:15.000Z
facebook,,Bersamamu neymah 😂,0,neutral,2026-06-11T10:13:51.000Z
facebook,,Yoko?,0,neutral,2026-05-29T14:23:47.000Z
facebook,,Dengar kata Ada perumpaan DEKAT tokyo,0,neutral,2026-05-29T14:13:44.000Z
facebook,,Bersatu dh nak bersepai,0,neutral,2026-06-01T00:39:17.000Z
facebook,,Sekupang tak percaya cakap puak bersatu ni,0,neutral,2026-05-29T08:48:33.000Z
facebook,,Azmin ni bermasalah betul,0,neutral,2026-05-29T06:24:17.000Z
facebook,,hahahha padang muker,0,neutral,2026-05-29T13:48:12.000Z
facebook,,Parti perosak undi melayu,0,neutral,2026-05-29T23:44:20.000Z
facebook,,"BERSATU ❎
BERENAM ✅",0,neutral,2026-06-10T12:02:18.000Z
facebook,,👍👍👍👍👍👍,0,neutral,2026-05-24T04:08:11.000Z
facebook,,itulah realitinya..!,0,neutral,2026-05-24T07:53:14.000Z
facebook,,"BERALASAN TUNGGANG-LANGGANG.

BERSATU tolak Hamzah alasan Hamzah nak kerjasama dgn Umno.

Tapi negeri 9 boleh pula BERSATU kerjasama UMNO submit SD & bila UMNO U turn BERSATU U TURN.

PAS memang nak s",0,neutral,2026-05-30T22:42:09.000Z
facebook,,Ketua ceplos bersuara lg....hahaha....sedarlah diri tu. Diam lebih baik.,0,neutral,2026-05-24T15:20:41.000Z
facebook,,Cap ayam!!,0,neutral,2026-05-24T13:15:09.000Z
facebook,,"BOLEH tutup keDAI ....
 ABAHCOW SOLO DAH !!!!
🤣🤣🤣🤣🤣",0,neutral,2026-05-24T05:30:47.000Z
