platform,post_content,comment_content,engagement,sentiment,date
instagram,,TAK HABIS2 LAGI,0,neutral,2026-06-11T04:13:34+00:00
instagram,,sbb pas gila kuasa gila jawatan saja.. pas xpernah berfungsi utk rakyat pun 😂😂,0,neutral,2026-06-10T12:37:06+00:00
instagram,,Lakunn je tu. Lepas pilihn royo kawin balik,0,neutral,2026-06-10T08:38:17+00:00
instagram,,Sbb PAS laki bini pun ada yg bercerai,0,neutral,2026-06-10T07:17:45+00:00
instagram,,Parti melayu lemah gila kuasa,0,neutral,2026-06-10T07:08:07+00:00
instagram,,bgitulah pas 😂,0,neutral,2026-06-10T07:02:34+00:00
instagram,,"hari hari meratib buruk pembangkang, buruk PH-DAP semua akhbar membisu😂",0,neutral,2026-06-10T06:47:38+00:00
instagram,,"PAS adalah Ular Hijau Yang Sama Di Lubang Yang Sama 
🐍🐍🐍🐍🐍🐍
..
SEJARAH NIKAH CERAI PAS
Bukan kisah Setia Kawan,
Tapi Nikah Kontrak Politik,
Kahwin Atas Nama ""Tahaluf"",
Cerai Bila Kuasa Tak Seiring,
Ru",0,neutral,2026-06-10T06:45:16+00:00
instagram,,oh mcm tu tapi saya tetap undi pas😂,0,neutral,2026-06-10T05:56:46+00:00
instagram,,lbb nyaaaakk,0,neutral,2026-06-11T01:16:02+00:00
instagram,,lb yuk,0,neutral,2026-06-10T13:25:27+00:00
instagram,,lb Endu,0,neutral,2026-06-10T02:26:56+00:00
instagram,,"ib duu, mangattt ya 🔥",0,neutral,2026-06-09T19:44:07+00:00
instagram,,Ib yukkk,0,neutral,2026-06-09T15:52:19+00:00
instagram,,lb dongg,0,neutral,2026-06-09T14:24:22+00:00
instagram,,Lb cung,0,neutral,2026-06-09T13:34:34+00:00
instagram,,lb yu,0,neutral,2026-06-09T13:25:06+00:00
instagram,,Ib dongk🙌🔥,0,neutral,2026-06-09T12:11:58+00:00
instagram,,❤️❤️❤️,0,neutral,2026-06-11T09:46:26+00:00
instagram,,Kena kerja kuat lagi min....😂👏,0,neutral,2026-06-11T07:53:38+00:00
instagram,,Kepala hotak ko tikam belakang yang tikam belakang tu bos ko,0,neutral,2026-06-11T07:51:34+00:00
instagram,,Nmpk sgt busuk hati dgn islam dan melayu..setakt ni yg dgr komunis je melawan raja2 melayu dn trlalu masuk cmpur hal ehwal islam.. Tkda pulak islam pi hina tokong kapir.,0,neutral,2026-06-11T07:44:21+00:00
instagram,,Kalau berani suruhlah ROS haramkan Pas. 😂😂😂😂😂 Setakat sembang dlm ni dapat apa😂😂😂 penakut,0,neutral,2026-06-11T03:42:37+00:00
instagram,,Pas ni boleh dikatakan macam PELACUR politik la kan,0,neutral,2026-06-11T03:11:29+00:00
instagram,,Jika begitu banyaklah parti kapir kannn,0,neutral,2026-06-11T02:05:56+00:00
instagram,,"Chief ceplos ni , dana tengah banyak ..up la sikit harga ..dari RM 2 ke RM 5 ke …dalam tempoh kempen PRN nti up ke RM 10 lak yo @jasonyew 😂😂",0,neutral,2026-06-11T00:51:29+00:00
instagram,,Barua dap🤣,0,neutral,2026-06-11T00:36:49+00:00
instagram,,Kihkih ...zman 80an blh la main naratif ni.... Org dh cerdik la @jasonyew_ ...😂😂😂😂...,0,neutral,2026-06-10T23:44:07+00:00
instagram,,PAS tikam  belakang or ditikam belakang. Spin selagi boleh spin. Tetap teguh dibawah pimpinan ULAMA’. Inshallah,0,neutral,2026-06-10T23:24:30+00:00
instagram,,Beria ia mamat nie serang Pas … kalau ph kalah pru nanti apa laaa nasib dia 🤣,0,neutral,2026-06-10T22:39:26+00:00
instagram,,bukan fan PAS tapi boleh nampak dia parti yg kuat dalam senyap....semua parti sekarang serang PAS😂,0,neutral,2026-06-10T21:30:50+00:00
instagram,,Sembang la kau walanon benak,0,neutral,2026-06-10T16:07:13+00:00
instagram,,"Lupakan BN,tinggalkan PN,hentikan sarkas PH ramai2 PRU16.Sambutan hangat dan meriah sekali beri bayangan BERSAMA boleh cipta gegaran dan kejutan di PRN,PRU16.Jangan bazir undi2 anda pada BN,PN,PH lagi",0,neutral,2026-06-10T11:23:52+00:00
instagram,,Klik pautan di IG Story atau layari www.buletintv3.my untuk berita penuh.,0,neutral,2026-06-09T23:30:13+00:00
instagram,,tok li takut hilang jawatan lah tu?,0,neutral,2026-06-11T08:07:01+00:00
