platform,content,engagement,likes,comments,shares,sentiment,url,date
instagram,"Pasukan pengkaji yang dilantik oleh kerajaan negeri untuk menyelidik dokumen berkaitan hubungan Kedah dan Pulau Pinang akan membentangkan hasil kajian pada bulan depan.

Menteri Besar Kedah, Datuk Ser",6326,5440.0,886.0,0,neutral,https://www.instagram.com/p/DC6KQgkPOFz/,2024-11-28T08:43:05+00:00
instagram,"Menteri Besar Kedah, Datuk Seri Muhammad Sanusi Md Nor menunjukkan bakatnya dalam persembahan seni kebudayaan Chingay, bersama masyarakat Cina di Dewan Undangan Negeri (DUN) Ayer Kuning.

📷 Facebook M",4348,4112.0,236.0,0,neutral,https://www.instagram.com/p/DI21ERkTIMy/,2025-04-25T04:48:32+00:00
instagram,"❌pendaftaran peserta sudah kita tutup❌

Tour 9 Gua Maria - Per Mariam Ad Jesum - 17 Mei 2026.

Perjumpaan kita rayakan
Touring bersama kita ulang
Bulan Maria mari bersukacita

Kami mengajakan teman2 s",3724,3538.0,186.0,0,neutral,https://www.instagram.com/p/DYBlhj2k2qT/,2026-05-07T04:55:17+00:00
instagram,"Kedah kini berada di fasa akhir memuktamadkan pelantikan pasukan guaman bagi memulakan tindakan perundangan berhubung isu kedudukan negeri itu dengan Pulau Pinang.

Menteri Besarnya, Datuk Seri Muhamm",2286,1963.0,323.0,0,neutral,https://www.instagram.com/p/DQ3y67ijE8Z/,2025-11-10T10:00:11+00:00
instagram,"MAHKAMAH | Mahkamah Tinggi di Alor Setar, hari ini mendapati Menteri Dalam Negeri, Datuk Seri Saifuddin Nasution Ismail, bersalah memfitnah Menteri Besar Kedah, Datuk Seri Muhammad Sanusi Md Nor, pada",1979,1873.0,106.0,0,neutral,https://www.instagram.com/p/DNuVapJWgWs/,2025-08-24T04:15:04+00:00
instagram,"Menteri Besar Kedah, Datuk Seri Muhammad Sanusi Md Nor mendakwa terdapat plot yang dicipta untuk menggagalkan pelaburan swasta di negeri ini.

Beliau mendakwa, syarikat yang melabur di Kedah diberikan",1849,1611.0,238.0,0,neutral,https://www.instagram.com/p/DCyI_ciO6Qj/,2024-11-25T05:58:05+00:00
instagram,"Presiden Pas, Tan Sri Abdul Hadi Awang menegaskan beliau tidak layak menjadi Perdana Menteri kerana faktor usia dan kesihatan.

Beliau berkata, berpandukan rujukan al-Quran, pemimpin perlu dipilih ber",1631,1402.0,229.0,0,neutral,https://www.instagram.com/p/DOnme8ZDSyi/,2025-09-15T10:00:52+00:00
instagram,"Agak-agak, esok keluar berita apa pulak? 

#politikmalaysia #muhyiddin #umno #bersatu #kerajaanperpaduan",1441,1431.0,10.0,0,neutral,https://www.instagram.com/p/DTMQ1OHk6xD/,2026-01-07T01:49:09+00:00
instagram,"Menteri Besar Kedah, Datuk Seri Muhammad Sanusi Md Nor tidak berhasrat untuk mendedahkan lebih lanjut butiran berkaitan wujudnya komplot atau ‘perancangan besar’ untuk menggagalkan pelaburan swasta di",1391,1231.0,160.0,0,neutral,https://www.instagram.com/p/DC6Bz8FtCSJ/,2024-11-28T07:29:16+00:00
instagram,"Peruntukan RM1 bilion yang diumumkan Perdana Menteri untuk sektor tanaman padi di negeri ini bukan pampasan kepada kerajaan negeri atas pengorbanan mengekalkan kawasan jelapang padi.

Menteri Besar Ke",1255,1154.0,101.0,0,neutral,https://www.instagram.com/p/DIyQgGRPtPK/,2025-04-23T10:12:04+00:00
instagram,"Menteri Dalam Negeri, Datuk Seri Saifuddin Nasution Ismail akan memfailkan rayuan terhadap keputusan Mahkamah Tinggi Alor Setar hari ini yang memihak kepada Menteri Besar Kedah, Datuk Seri Muhammad Sa",1172,888.0,284.0,0,neutral,https://www.instagram.com/p/DNul6rKwrG7/,2025-08-24T06:39:12+00:00
instagram,"PAS president Abdul Hadi Awang has warned against liberal and progressive interpretations of Islam, saying such ideas are misguided and disconnected from the Quran and sunnah.

“There are ‘haddathah’ ",920,714.0,206.0,0,neutral,https://www.instagram.com/p/DOnYqgEkcsZ/,2025-09-15T08:00:07+00:00
instagram,"SAMAN FITNAH | Menteri Dalam Negeri, Datuk Seri Saifuddin Nasution Ismail akan memfailkan rayuan di Mahkamah Rayuan berhubung keputusan Mahkamah Tinggi Alor Setar hari ini dalam kes saman difailkan Me",877,762.0,115.0,0,neutral,https://www.instagram.com/p/DNuk3oyXNh5/,2025-08-24T06:30:06+00:00
instagram,"Menteri Besar Kedah, Datuk Seri Muhammad Sanusi Md Nor menegaskan beliau tidak gentar biarpun terpaksa berdepan laluan berliku untuk membawa isu pajakan Pulau Pinang ke mahkamah.

Dalam masa sama, bel",876,721.0,155.0,0,neutral,https://www.instagram.com/p/DRBPKvdjQLh/,2025-11-14T02:00:11+00:00
instagram,"Datuk Seri Muhammad Sanusi Md Nor perlu mendedahkan dalang yang terlibat dalam menggagalkan pelaburan swasta di Kedah seperti dakwaannya.

Setiausaha Politik Menteri Kewangan, Muhammad Kamil Abdul Mun",794,621.0,173.0,0,neutral,https://www.instagram.com/p/DC0TT77PVrS/,2024-11-26T02:06:45+00:00
instagram,"Kerajaan Negeri Kedah mengumumkan pemberian bantuan khas kewangan berjumlah RM2,000 kepada 4,941 penjawat awam dan anggota pentadbiran negeri sebagai menghargai jasa dan pengorbanan mereka.

Menteri B",780,761.0,19.0,0,neutral,https://www.instagram.com/p/DQ3aE1gCVFV/,2025-11-10T06:23:05+00:00
instagram,"PAS yakin kemenangan parti itu bersama Perikatan Nasional (PN) dalam PRU akan datang bakal menyaksikan mereka menawan Pahang, Perak dan Selangor, selain mempertahankan empat negeri sedia ada.

Preside",708,467.0,241.0,0,neutral,https://www.instagram.com/p/DOnGK09EX2s/,2025-09-15T05:18:30+00:00
instagram,"RAKAN BEKAM DI TEMOYONG

Petang tadi saya singgah rasmi Bekam D’SPA di Kampung Temoyong, Langkawi. Pusat rawatan milik Tuan Syukur Bin Zaini ni dah masuk 19 tahun beroperasi di pelbagai lokasi. Lama t",681,677.0,4.0,0,neutral,https://www.instagram.com/p/DJ__4H6JKyk/,2025-05-23T14:47:49+00:00
instagram,"Menteri Besar Kedah, Datuk Seri Muhammad Sanusi Md Nor dilepaskan dan dibebaskan (DAA) oleh Mahkamah Tinggi Shah Alam pada Selasa, berhubung satu kes menghasut yang menyentuh Sultan Selangor, Sultan S",567,548.0,19.0,0,neutral,https://www.instagram.com/p/DDYZ6VJyomw/,2024-12-10T02:37:05+00:00
instagram,"SiswaPAS mengucapkan Sanah Helwah buat murabbi ummah yang tiada henti memperjuangkan agama dengan pena yang tidak pernah kering menyampaikan kebenaran.

𝙈𝙚𝙧𝙚𝙠𝙖 𝙮𝙖𝙣𝙜 𝙩𝙚𝙡𝙖𝙝 𝙢𝙚𝙣𝙜𝙖𝙠𝙝𝙞𝙧𝙞 𝙝𝙖𝙮𝙖𝙩 𝙥𝙚𝙧𝙟𝙪𝙖𝙣𝙜𝙖𝙣, ",405,400.0,5.0,0,neutral,https://www.instagram.com/p/DQB-ughkdA2/,2025-10-20T12:24:21+00:00
instagram,"Banyak yang masih tukar-tukar antara legalisasi dan legalisir, padahal beda banget fungsi hukumnya!

#legalisasi #legalisir #notaris #perjanjian #perikatan #hukumperikatan",398,390.0,8.0,0,neutral,https://www.instagram.com/p/DQ7yeXVEuvw/,2025-11-11T23:13:15+00:00
instagram,"Presiden BERSATU, Tan Sri Muhyiddin Yassin mengumumkan pengunduran diri sebagai Pengerusi Perikatan Nasional (PN) malam tadi.

Peletakan itu turut disahkan Setiausaha Agung BERSATU, Datuk Seri Mohamed",371,356.0,15.0,0,neutral,https://www.instagram.com/p/DS3kFakE5xm/,2025-12-30T00:53:20+00:00
instagram,"Parti Pribumi Bersatu Malaysia (Bersatu) didesak agar segera keluar atau dikeluarkan daripada gabungan Perikatan Nasional (PN).

Kenyataan bersama 13 Ahli Parlimen Bersatu yang berdepan tindakan lemba",356,338.0,18.0,0,neutral,https://www.instagram.com/p/DZZ8mvNGtCK/,2026-06-10T12:30:09+00:00
instagram,"Timbalan Setiausaha Agung Perikatan Nasional (PN), Datuk Seri Takiyuddin Hassan mengesahkan Presiden Pas, Tan Sri Abdul Hadi Awang tidak dinamakan sebagai calon Pengerusi Perikatan Nasional.

Takiyudd",341,295.0,46.0,0,neutral,https://www.instagram.com/p/DT-HjZigJ7i/,2026-01-26T10:30:06+00:00
