platform,content,engagement,likes,comments,shares,sentiment,url,date
x,"RT @CMShehbaz: Following intensive talks, we are pleased to announce that the Peace Deal between the United States of America and Islamic R…",201293,56377.0,6326.0,16005.0,positive,https://x.com/anwaribrahim/status/2066290747406704646,2026-06-14 22:44:38+00:00
x,"RT @RussiasPivot: Direct Kazan-Malaysia Flights Being Discussed
https://t.co/NbC0nQhrvW
Direct flights between Kazan and Malaysia are being…",12017,460.0,20.0,101.0,neutral,https://x.com/anwaribrahim/status/2068019004854153583,2026-06-19 17:12:07+00:00
facebook,"🔥 PH Negeri Sembilan Bersedia Pertahan Mandat Rakyat! 🔥

Pelancaran Jentera Pakatan Harapan Negeri Sembilan berlangsung penuh semangat dengan kehadiran ribuan penyokong dan rakyat daripada pelbagai la",10873,7704.0,1562.0,341.0,positive,https://www.facebook.com/reel/27154117597607107/,2026-06-18 04:23:24+00:00
facebook,"Ramai tanya kenapa Shuttle Selatan guna tren diesel. 

Bila projek landasan berkembar elektrik Gemas–JB siap, ETS elektrik ambil alih laluan tersebut. 

Tren diesel yang sebelum ini berkhidmat di sana",8457,5865.0,1155.0,278.0,negative,https://www.facebook.com/reel/1517693123470703/,2026-06-20 02:03:43+00:00
tiktok,3 sebab kenapa Orang Nismilan tolak Pakatan Harapan #PrnN9 #UMNO #kitagerakbersama,7429,4379.0,1436.0,827.0,neutral,https://www.tiktok.com/@umno_ns/video/7652649088818662674,2026-06-21 02:35:29.048182+00:00
x,"Trend belek buku ambik gambar & post kat social media ni, sebaiknya dikurangkan.

Sama macam dulu2 trend angkut buku rujukan SPM ke mana2 tapi tak baca sangat/soalan dalam tu tak buat sangat pun, last",3272,1068.0,168.0,281.0,negative,https://x.com/rafiziramli/status/2068181634307015139,2026-06-20 03:58:21+00:00
x,"I welcome the understanding reached between the United States and Iran towards ending hostilities, and the announcement that a memorandum of understanding will be signed in the coming days. I commend ",3190,1967.0,30.0,471.0,positive,https://x.com/anwaribrahim/status/2066509168992026719,2026-06-15 13:12:34+00:00
facebook,"Tengahari tadi berjumpa dengan semua kepimpinan Parti2 Komponen BN Negeri Sembilan serta Pengerusi2 BN peringkat Parlimen.

Berbincang berkenaan susunan gerak kerja BN NS untuk menghadapi PRN Ns yang ",2868,2451.0,309.0,108.0,negative,https://www.facebook.com/TokMatHasanN9/posts/pfbid027FP9CdWfVtJCuRosQnboXem31gAs2stACiHYzhRrNMKGNeFVzG8yAC59tH6cuyx4l,2026-06-18 11:39:27+00:00
x,"Punyalah cepat dari satu Jumaat ke satu Jumaat.

Sama ada:

a) Kita banyak sangat kerja & jadual kerja penuh sepanjang hari

b) Hidup kita kosong & masa berlalu begitu saja

c) Ada konspirasi besar so",2672,833.0,71.0,151.0,positive,https://x.com/rafiziramli/status/2067786032666574878,2026-06-19 01:46:22+00:00
x,"RT @RT_com: War on Iran has had GLOBAL RAMIFICATIONS — Malaysia's PM Anwar Ibrahim speaks to RT's Donald Courter at ASEAN summit

'I've pub…",2593,650.0,6.0,148.0,neutral,https://x.com/anwaribrahim/status/2067511449644400958,2026-06-18 07:35:16+00:00
tiktok,"POV: Member ajak ride RXZ, tapi PRN dah panggil 😭🏍️📢

“Maaf bro, kali ni kami pilih untuk benamkan PH. RXZ kita jumpa lepas menang.” 🔥💪

Motor ada minyak.
Jentera pun kena ada semangat. ⚔️

#RXZLife #",2081,1568.0,88.0,161.0,positive,https://www.tiktok.com/@umno_ns/video/7653050439700663559,2026-06-21 02:35:28.594347+00:00
facebook,🔴 CERAMAH PERDANA JOHOR KE DEPAN UNDI HARAPAN,2056,1019.0,291.0,61.0,neutral,https://www.facebook.com/DAPMalaysia/videos/893253243815344/,2026-06-20 14:02:33+00:00
x,"Dalam pertemuan bersama Presiden Putin, saya sekali lagi singkap kisah tiga takhta di Dewan Agung St. Andrew yang pernah menjadi bahan jenaka antara kami.

Rupa-rupanya cerita itu bukan sahaja kekal d",1862,1016.0,26.0,185.0,positive,https://x.com/anwaribrahim/status/2067508443892572458,2026-06-18 07:23:20+00:00
