platform,content,engagement,likes,comments,shares,sentiment,url,date
facebook,"KERAJAAN JOHOR KOMITED MEMBELA WARGA FELDA, MAJLIS PENYERAHAN HAK MILIK 210 PENEROKA TETAP DITERUSKAN

1. Susulan episod arahan pembatalan Sambutan Hari Peneroka FELDA Negeri Johor baru-baru ini, saya",3696,3253.0,304.0,139.0,positive,https://www.facebook.com/datozaharisarip/posts/pfbid02w9FUnTJyfounKBo9DVEw6pWTQLTsybPzWadZbKVNv2EaDmUtBvXS62aBw1k8vyBcl,2026-06-20 13:58:04+00:00
facebook,"Menjunjung Kasih Kebawah Duli Yang Maha Mulia Seri Paduka Baginda Yang di-Pertuan Agong Sultan Ibrahim, Sultan Yang Dipertuan bagi Negeri dan Jajahan Takluk Johor Darul Ta’zim serta Duli Yang Amat Mul",2264,1947.0,257.0,60.0,positive,https://www.facebook.com/HairiMadShah/posts/pfbid02jG8mHcw5f8bKix5cXUZwff2qe4hUf39EJ6fM9uaW6M7TfYngqXHQqB6RFvt1CPLVl,2026-06-20 07:47:19+00:00
facebook,"SIAPA SOSOK KEPIMPINAN PH JOHOR?

BN Johor telah menampilkan Dato’ Onn Hafiz Ghazi sebagai poster boy menghadapi PRN Johor. Malah beliau sendiri pernah menyatakan bahawa jawatan Menteri Besar bukan se",2153,1801.0,323.0,29.0,negative,https://www.facebook.com/MohdFaredKhalid/posts/pfbid0oTTPePP7VrhusmhXwmk3azYAhoirWmzikGEMCSc18ZDnLSBi6LXKGtrWSvbwGTCRl,2026-06-20 09:53:26+00:00
facebook,"今天早上，民主行动党秘书长和州主席来到避兰东新村宣布地南和柔佛再也希盟候选人。

N40 希盟地南准候选人- 颜丽丽 

N42 希盟柔佛再也准候选人- 李汶颖

李汶颖— 我的特别助理，也是避兰东安哥安娣、柔佛再也居民都熟悉的一个身影。无论是州议员办公室、每月服务柜台、大街小巷处理民生问题，她都与我一起出现。

今天，选择在避兰东新村公布候选人，因为避兰东与火箭有很深的情感。除了服务办公室，火箭",2027,1767.0,191.0,69.0,negative,https://www.facebook.com/caitung4johorjaya/posts/pfbid077jnSRwW79foup9bMADrGsKXVP1tfBe69ShCZapAnjMkew1rE16Ev6FZ8oTfqNh8l,2026-06-20 09:20:25+00:00
facebook,"Patik merafakkan setinggi-tinggi sembah menjunjung kasih ke hadapan Kebawah Duli Yang Maha Mulia Seri Paduka Baginda Yang di-Pertuan Agong Sultan Ibrahim, Sultan Yang Dipertuan bagi Negeri dan Jajahan",1626,1301.0,277.0,48.0,positive,https://www.facebook.com/mfazli86/posts/pfbid02rhJ8bkdJrovGjvqVB6oju542TiuvQfW9mHuWt6y4gNnyB8GCgWCVdgF45SRkLYZAl,2026-06-20 09:27:06+00:00
facebook,"JOHOR BAHRU, 21 Jun – Pemangku Sultan Johor, Tunku Mahkota Ismail membalas kenyataan Perdana Menteri, Dato’ Seri Anwar Ibrahim yang menyifatkan Johor sebagai negeri kaya namun berdepan pelbagai ketiri",1518,915.0,253.0,212.0,negative,https://www.facebook.com/reel/2927933437413764/,2026-06-21 01:26:22+00:00
facebook,"KENYATAAN PEMANGKU SULTAN JOHOR WUJUDKAN HARAPAN UNTUK MASA DEPAN JOHOR

Kenyataan Pemangku Sultan Johor ( PSJ ) hari ini wajar dilihat dari sudut yang positif, iaitu sebagai suara yang membawa aspira",1327,953.0,84.0,87.0,positive,https://www.facebook.com/reel/4452228731717182/,2026-06-20 14:54:29+00:00
facebook,Semua kaum diraikan hubungan kaum dirapatkan. Resepi kejayaan pentadbiran Barisan Nasional.,1217,990.0,67.0,24.0,neutral,https://www.facebook.com/reel/1590119732832840/,2026-06-18 09:03:25+00:00
facebook,"Shuttle Selatan kini sudah mula beroperasi sejak 16 Jun 2026!

南部通勤列车于六月十六日开跑了！

Tak semestinya perlu lagi memandu untuk berulang-alik antara Pasir Gudang – Kempas Baru – JB Sentral, atau Kulai – JB S",1211,716.0,16.0,172.0,neutral,https://www.facebook.com/reel/1440994081399014/,2026-06-20 12:13:01+00:00
facebook,Setinggi-tinggi sembah takzim dan junjungan kasih dirafakkan ke hadapan Kebawah Duli Yang Maha Mulia Seri Paduka Baginda Yang di-Pertuan Agong Sultan Ibrahim serta Duli Yang Amat Mulia Tunku Mahkota I,1161,911.0,218.0,32.0,positive,https://www.facebook.com/RavenKumarKrishnasamy/posts/pfbid0yyB9qt4rax6VoHggqcKLYVkeXfiBtkjxGmNauCTKDivQFoLcM4RbWB2TK9QserVGl,2026-06-20 12:44:37+00:00
facebook,"Perdana Menteri Santuni Himpunan Pertubuhan Lima Generasi Malaysia di Seremban

SEREMBAN: Perdana Menteri, Anwar Ibrahim menghadiri Majlis Makan Malam Himpunan Pertubuhan Lima Generasi Malaysia yang b",1081,876.0,189.0,16.0,neutral,https://www.facebook.com/negeriSembilainfokini/posts/pfbid02dSEntZnPHRAifTkoJ7LSx1cn168ZbxLFmeiPwwKQ6EGiFMq9BECxRruLMXGYdkSyl,2026-06-20 15:13:16+00:00
facebook,"汶颖用心，希望前行！

N42 Bakal Calon PH DUN Johor Jaya
N42 柔佛再也希盟准候选人

Johor Ke Depan，Undi HARAPAN",828,726.0,85.0,17.0,neutral,https://www.facebook.com/caitung4johorjaya/posts/pfbid02cGRGAi6LmDU6f4VWj8bMWHhvcHPeLYKAqZU7R7u3xYm6vypKgefsxRW71FxdWHZsl,2026-06-20 05:28:06+00:00
