platform,content,sentiment_score,engagement,url,date
facebook,"Rumah produksi SPR, SPRM dan PDRM sekali lagi kamu diberikan peluang untuk menterjemahkan penguatkuasaan yang seimbang dan berpaksi. Penonton pasti akan ada babak dan aksi melampaui sempadan SOP semas",0.9994118988513946,0,nan,2026-06-08 10:37:45+00:00
facebook,"MasyaAllah Tabarakallah! Syukur Tuan Syed Aminuddin diberikan kekuatan utk teruskan perjuangan bisnes ayahanda. 

Dari awal, saya terkejut tiba2 tuan buka Machamee-Dinasour Sandwich. Makanan memang se",0.9994117915630341,9,nan,2026-06-20 23:56:14+00:00
tiktok,"🔥 PH Negeri Sembilan Bersedia Pertahan Mandat Rakyat! 🔥

Pelancaran Jentera Pakatan Harapan Negeri Sembilan berlangsung penuh semangat dengan kehadiran ribuan penyokong dan rakyat daripada pelbagai la",0.9994112551212311,1332,https://www.tiktok.com/@anthonyloke/video/7652573612649630994,2026-06-22 16:00:03.681490+00:00
facebook,"Mantap Tuan Syed! Satu perkongsian yang sangat mahal. Kadang-kadang kita sibuk pusing satu dunia cari peluang baru, rupa-rupanya rezeki dan amanah yang paling berkat dah ada depan mata, tinggal nak gi",0.9994085371494292,6,nan,2026-06-21 05:20:00+00:00
facebook,"Alhamdulillah Itulah yang sebaiknya.
Mantap dan terbaik.
Kekal berprinsip demi penyatuan ummah ke arah lebih baik dan segar bersama mereka yang ikhlas berjuang dan jujur.
Hanya PAS Harapan Rakyat Mala",0.9994084656238555,0,nan,2026-06-09 01:31:48+00:00
facebook,BN + PAS  yg terbaik,0.9994080007076263,1,nan,2026-06-07 09:47:20+00:00
facebook,insyaallah rakyat n9 akan ajar pilihanraya ini secukupnya,0.9994074821472168,30,nan,2026-06-06 10:10:52+00:00
x,"Alhamdulillah 

Malam ni sangat meriah 

Terima kasih PMX @anwaribrahim kerana meniupkan semangat kepada jentera pilihanraya PRN negeri sembilan 👍✅ https://t.co/PI9q0M41jc",0.9994036555290222,439,https://x.com/adamyusuf88/status/2065468692994134126,2026-06-12 16:18:05+00:00
x,"Alhamdulillah 

Malam ni sangat meriah 

Terima kasih PMX @anwaribrahim kerana meniupkan semangat kepada jentera pilihanraya PRN negeri sembilan 👍✅ https://t.co/PI9q0M41jc",0.9994036555290222,439,https://x.com/adamyusuf88/status/2065468692994134126,2026-06-12 16:18:05+00:00
x,"@adamyusuf88 @NgaKorMing @anwaribrahim Semuanya berharap kepada sisa populariti PMX yang seumpama api lilin yang membakar batang lilin cair yang sudah tinggal sisa lilin yang sedikit, hampir terpadam ",0.9994032084941864,1,nan,2026-06-12 23:57:20+00:00
