platform,post_content,comment_content,engagement,sentiment,date
youtube,,Ada cubaan menghapuskan sistem Raja Berperlembagaan.. jgn smpi nasi jadi bubur baru nk bertindak,1812929,negative,2026-06-09 00:00:00+00:00
youtube,,"Explain kat polis, macam ler dia paham dan peduli sangat. Dia angguk jer, tapi still ikut arahan bos dia.😂",1613030,negative,2026-06-09 00:00:00+00:00
youtube,,Ini yang dimahukan oleh mereka yang ingin menghakis sistem beraja di 🇲🇾,1262323,positive,2026-06-09 00:00:00+00:00
youtube,,Kita bukan orang negeri sembilan yang tak faham adat diorang baik takyah komen😊,1051717,negative,2026-06-09 00:00:00+00:00
youtube,,Kecoh sbb kerana gila kuasa ! Itu ajo,811010,neutral,2026-06-09 00:00:00+00:00
youtube,,Sistem pelantikan raja kat Negeri Sembilan ni paling unik sebab dia tak pakai sistem warisan mutlak automatik macam negeri lain dan tak panggil pemimpin mereka Sultan tapi Yang di-Pertuan Besar. Kuasa,801313,negative,2026-06-09 00:00:00+00:00
youtube,,Geng2 rais inilah yg wujudkan cerita2 dongeng dlm negara ni,772020,neutral,2026-06-10 00:00:00+00:00
youtube,,"Rakyat tengah susah, diorang sibuk rebut kuasa.",331414,neutral,2026-06-09 00:00:00+00:00
tiktok,,I’m chilly can you turn it off,157895,neutral,2026-06-18 12:30:06+00:00
tiktok,,el escoge los outfits de Georgina?,142321,neutral,2026-06-11 19:38:05+00:00
tiktok,,"kalau udh di publish, biasa sbntr lagi nikah nih",140263,negative,2026-06-21 02:59:58+00:00
tiktok,,"arsip bg, ini akun khusus matematika",51702,positive,2026-06-21 09:42:26+00:00
tiktok,,ternyata dia cuma mau disayang sama kita guys😭😭,48065,neutral,2026-05-31 03:42:21+00:00
tiktok,,[Sticker] Ariana coming in after casa😂,19483,neutral,2026-06-18 21:10:38+00:00
tiktok,,"[Sticker] Uhm guys.. apa ni, aku tertinggal bas ke",18465,neutral,2026-06-06 18:47:34+00:00
tiktok,,[Sticker] to love is to let go mijo,18160,neutral,2026-06-17 19:05:21+00:00
youtube,,gila kuasa punya cerita......hahahahhahahah,10288,neutral,2026-06-09 00:00:00+00:00
tiktok,,[Sticker] el bicho/bichota,10052,neutral,2026-06-15 23:47:16+00:00
tiktok,,[Sticker] Am i the only one who actually like her nails?..,8643,positive,2026-06-05 10:56:21+00:00
