platform,content,sentiment_score,engagement,url,date
facebook,"Sokong sangat, moga Allah permudahkan",0.9994116127490997,2,nan,2026-07-03 12:22:18+00:00
facebook,A demi agama perpaduan bangsa dan kestabilan negara tercinta,0.9994111835956573,0,nan,2026-07-03 12:03:44+00:00
facebook,Kalau UMNO dan PAS bersama Alhamdulillah syukur... pasti kuat pati melayu Islam.setuju sangat,0.9994076967239379,2,nan,2026-07-03 13:09:49+00:00
facebook,Alhamdulillah kalau jadi dan berharap ianya jadi kenyataan,0.9994068026542663,1,nan,2026-07-03 12:26:00+00:00
facebook,Sokong dan setuju 100%,0.9993948936462402,0,nan,2026-07-03 13:02:11+00:00
facebook,Ros Ana ya terbaik MN kembali..,0.9993723988533019,0,nan,2026-07-03 09:54:45+00:00
facebook,Setuju... PAS n BN tlg menolong...w/ pun dulunya dicadangkan utk membentuk muafakat...sygnya sya tk mengundi di N9...,0.9993259608745575,0,nan,2026-07-03 13:41:50+00:00
facebook,"bersatulah wahai bangsaku,demi negara kita untuk kedamaian, kemakmuran dn kestabilan.",0.9988193094730377,0,nan,2026-07-03 09:59:05+00:00
facebook,"SATU PENYAMUN SATU LAGI PENUNGANG AGAMA UMNO MENCURI PAS HALAL KAN DUIT HARAM TU, BUKA HADIS YANG BOLEH MENUTUP KEMUNGKARAN MEREKA PARTI INI NAK SOKONG JADI KERAJAAN MEMANG TIDAK LAH PARTI PENYAMUN DA",0.9927148342132568,0,nan,2026-07-03 13:35:29+00:00
facebook,A+++++,0.9919074244797229,0,nan,2026-07-03 14:52:26+00:00
facebook,A untuk kesejahteraan negara,0.9900662243366241,0,nan,2026-07-03 12:12:43+00:00
facebook,Hadi nak pendana Menteri itu. Sebab itu berbaik bersama Zahid Hamidi,0.9853816390037535,6,nan,2026-07-03 09:06:47+00:00
facebook,terbaik gtu.....,0.9850945889949798,0,nan,2026-07-03 12:08:24+00:00
facebook,Aku sokong pas dan bn,0.9729701638221739,0,nan,2026-07-03 12:16:54+00:00
facebook,BN terbaikkkkkkk,0.9707500994205474,0,nan,2026-07-03 09:24:42+00:00
facebook,A+++,0.9672401294112205,0,nan,2026-07-03 12:53:28+00:00
facebook,A+++,0.9672401294112205,0,nan,2026-07-03 22:03:12+00:00
facebook,AA sokong 100 x100,0.9526515789330006,0,nan,2026-07-04 06:56:46+00:00
facebook,Saya sampai manpoih sokong  harapan.,0.9514982849359512,0,nan,2026-07-03 12:47:28+00:00
facebook,Aku X sokong geng sakau rasuah dan gila,0.9493952497839927,0,nan,2026-07-03 10:10:21+00:00
facebook,A yg terbaik,0.9492746531963348,0,nan,2026-07-03 14:59:24+00:00
facebook,A semua Allah berikan kemenangan buat BN dan pn,0.9491915270686149,0,nan,2026-07-03 13:31:01+00:00
facebook,Alhamdulilah pastinya A,0.9314593851566314,1,nan,2026-07-03 12:11:06+00:00
facebook,💪💪sokong ..in sha allah kebaikan dipenghujungnya,0.9265378266572952,1,nan,2026-07-03 13:32:38+00:00
facebook,"Apa sahaja, yg penting kerajaan tanpa bangsa DAP! 
Mulakan negeri2
Pusat coming soon",0.921588771045208,41,nan,2026-07-03 09:10:53+00:00
facebook,"SOKONG asal melayu bersatu tolak phDAP Kasi bungkus, PRN Sabah blh PRN N9 pasti blh💪💪💪💪💪",0.9133267760276794,0,nan,2026-07-03 12:23:30+00:00
facebook,"Sokong AAAA 100,%",0.9110967069864273,1,nan,2026-07-03 13:24:28+00:00
facebook,Assalamualaikum sokong untuk perpaduan umah,0.908704999089241,0,nan,2026-07-03 12:02:38+00:00
facebook,Insyallah sokong.Kita nak penyatuan Bangsa Melayu.Ketuanan Melayu dan bkn D4P serta Pakatan Harapan.,0.9083913639187813,0,nan,2026-07-03 11:35:01+00:00
facebook,"Sokong
Satu kan bahasa Melayu dan Islam",0.9031371623277664,0,nan,2026-07-04 06:36:34+00:00
facebook,A terbaikkk,0.9024718403816223,0,nan,2026-07-03 13:54:19+00:00
facebook,Alhamdulillah Islam bersatu,0.8998650193214416,0,nan,2026-07-03 13:26:32+00:00
facebook,Sokong UMNO+PAS,0.899621059000492,0,nan,2026-07-03 09:05:52+00:00
facebook,"A, bersatu lah bangsa ku",0.8976665914058685,2,nan,2026-07-03 09:26:41+00:00
facebook,Yes,0.8828582137823104,1,nan,2026-07-03 12:30:09+00:00
facebook,Sokong 100 peratus,0.8775374487042427,0,nan,2026-07-03 10:14:38+00:00
facebook,"BRMULA DGN JOHOR KITA TOLAK DAPIQ, LEPAS TU N9,BN AKAN DOMINAND KEDUA2 NEGERI👍🏻👍🏻",0.8757518708705901,0,nan,2026-07-03 12:21:11+00:00
facebook,"Sokong,",0.8748469829559326,0,nan,2026-07-03 12:20:58+00:00
facebook,Aaa,0.872499781847,0,nan,2026-07-04 03:30:05+00:00
facebook,AAA,0.872499781847,0,nan,2026-07-04 04:29:03+00:00
facebook,BBBBB,0.8717386245727539,0,nan,2026-07-03 10:20:04+00:00
facebook,👍,0.8714138269424438,0,nan,2026-07-04 06:01:45+00:00
facebook,👍,0.8714138269424438,0,nan,2026-07-03 11:50:11+00:00
facebook,👍👍👍💪💪🤲🤲🤲,0.8714138269424438,0,nan,2026-07-03 13:30:37+00:00
facebook,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0.8714138269424438,0,nan,2026-07-03 12:42:18+00:00
facebook,👍,0.8714138269424438,0,nan,2026-07-03 09:37:24+00:00
facebook,Sokong👍🏻👍🏻👍🏻,0.8714138269424438,0,nan,2026-07-03 12:19:37+00:00
facebook,Oo tdk,0.8708533078432082,0,nan,2026-07-03 13:39:37+00:00
facebook,x d mkm sumpah,0.8701901540160178,0,nan,2026-07-03 12:17:12+00:00
facebook,A.. Demi negaraku Malaysia,0.8667574003338814,1,nan,2026-07-03 13:04:57+00:00
