platform,content,sentiment_score,engagement,url,date
news,'Saya bertenaga kerana makan ginseng Tibet' - Anwar. Kulai: Datuk Seri Anwar Ibrahim hari ini secara berseloroh kekuatannya yang mampu menghadiri lebih empat program pada Sabtu dan Ahad disebabkan tin,0.00048059821128842994,0,https://www.hmetro.com.my/mutakhir/2026/07/1379342/saya-bertenaga-kerana-makan-ginseng-tibet-anwar,2026-07-04 17:34:32+00:00
news,"Jangan laung ketuanan Melayu jika tanah rizab terlepas, kata Anwar. Perdana menteri menegaskan pembelaan terhadap orang Melayu sepatutnya dibuktikan melalui tindakan dan dasar yang telus, tanpa perlu ",0.0004806339740753285,0,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/07/04/jangan-laung-ketuanan-melayu-jika-tanah-rizab-terlepas-kata-anwar,2026-07-04 12:54:34+00:00
facebook,Mohd Khairil Hisham apo nak dikato boss eh da kobar an.. lu kalau mau gaji ini bulan kasi kirja kuat2 nampak bingai pun tada apa punya,0.0004806697368621715,2,nan,2026-06-07 16:06:12+00:00
facebook,UMNO selalu berada di belakang krisis raja dan sultan.,0.00048070549964907006,72,nan,2026-06-05 11:01:47+00:00
news,"Apa kena mengena PRN Johor dengan pengampunan Najib, soal Muhyiddin. Presiden bersatu itu berkata Najib Razak sudah didapati bersalah dan dipenjarakan.",0.00048081278800965466,0,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/07/05/apa-kena-mengena-prn-johor-dengan-pengampunan-najib-soal-muhyiddin,2026-07-04 16:09:33+00:00
facebook,"Saya pun pelik apa berlaku di Negeri Sembilan.
Allah dah pesan jangan berpecah belah.
Tapi manusia sering terlupa ,
Allahu...🥺",0.00048088431358339623,14,nan,2026-06-05 15:51:53+00:00
facebook,"Tanpa moyang2 pendatang, korang akan dijajah lebih lama lagi, tengoklah Brunei, bila mrk diberi kemerdekaan pun dah tau.",0.00048088431358339623,0,nan,2026-06-06 08:52:47+00:00
news,"Rakyat Malaysia ditahan, masuk Singapura untuk keluar wang hasil scam. Kuala Lumpur: Seorang rakyat Malaysia ditahan sebaik memasuki Singapura selepas disyaki diarah sindiket penipuan untuk membuat pe",0.00048088431358339623,0,https://www.hmetro.com.my/mutakhir/2026/07/1379344/rakyat-malaysia-ditahan-masuk-singapura-untuk-keluar-wang-hasil-scam,2026-07-04 17:52:22+00:00
news,Anwar dedah kerajaan tanggung hutang FELDA hampir RM1 bilion setahun. Johor Bahru: Kerajaan Persekutuan terpaksa menanggung bebanan hutang Lembaga Kemajuan Tanah Persekutuan (FELDA) yang mencecah hamp,0.00048113465309140846,0,https://www.hmetro.com.my/mutakhir/2026/07/1379422/anwar-dedah-kerajaan-tanggung-hutang-felda-hampir-rm1-bilion-setahun,2026-07-04 23:50:02+00:00
news,"Tunku Nadzaruddin proclaimed as N Sembilan ruler, doubts raised on state assembly's dissolution. Tunku Nadzaruddin proclaimed as N Sembilan ruler, doubts raised on state assembly's dissolution&nbsp;&n",0.0004812777042388916,0,https://news.google.com/rss/articles/CBMiUkFVX3lxTE5JVUIyWVJaYl9ZV0pRekt2NXNqbUd6UnVVb3RqLUUwczdhbUVSVzZBTW01VzFYTFN0UkhpZ3hvaGREMUc1YWR2OWtsNER3SWxPaHc?oc=5,2026-06-05 07:00:00+00:00
