platform,content,sentiment_score,engagement,url,date
facebook,Dah PRN pilih yg terbaik,0.9994103968143462,0,nan,2026-06-16 03:14:09+00:00
facebook,"Adat ini lebih banyak yg tersirat dari yg tersurat. DKU adalah yg tersurat, yg mengamalkannya adalah yg tersirat. Dia semcm Al Quran yg tersurat, pengamalnya iaitu Rasullullah saw yg betul2 faham apa ",0.9994092881679535,0,nan,2026-06-07 16:25:12+00:00
facebook,"Eina Md Mustapa Alhamdulillah ,dengan segala hormatnya, saya yang lahir pada tahun 1993 ni sangat berterima kasih atas segala penerangan yang Cik/Puan sampaikan. 

Sekarang, baru saya faham apa yang b",0.9994090020656585,10,nan,2026-06-12 22:05:12+00:00
facebook,pH MEMANG party KEPARAT perosak ABATA n BUMI JAWI MELAYU semoga ALLAH binasakn party pH n pemimpin2 mereka kunnfayakunn,0.9994067311286925,1,nan,2026-06-06 12:18:08+00:00
facebook,Terima kasih Dato' Eric..penjelasan yang jelas dan terperinci. Baru kami faham kedudukan yang sebenarnya.,0.9994022071361541,34,nan,2026-06-05 23:59:26+00:00
facebook,raja atau sultan harus baik akhlak dan agamanya...maka pilihlah yg terbaik....,0.9993996322154999,17,nan,2026-06-12 15:14:24+00:00
facebook,Setuju. Hal terbaik adalah laksanakan Sidang DKU & selesaikanlah di situ.,0.9993994176387786,0,https://www.facebook.com/tuanbatu/posts/pfbid02pdPe7TSadC9J6GnaEMEd1ET7vaaiyhaMiZuoKnJAYmeUQaUDeFvXHCa2aWGp3nTql,2026-06-07 08:21:37+00:00
facebook,Syed Tanjung Bila YamTuan telah dilantik baginda tertakluk juga kepada perlembagaan negara dimana pihak yang mahu turunkan takhta baginda perlu dibawa k mahkamah khas.,0.9993956446647643,5,nan,2026-06-13 08:00:12+00:00
facebook,Eina Md Mustapa penerangan yg amat jelas terima kasih atas perkongsian ilmu... Ringkas dan padat,0.9993911921977996,6,nan,2026-06-12 22:39:37+00:00
facebook,"Alhamdulillah. 

Undang Luak Rembau dan Undang Luak Sungai Ujong dah selesai. 

Insyaallah. 

Seterusnya Undang Luak Jelebu dan Undang Luak Johol pula. 

#Daulat Tunku Mukhriz
#Daulat Negeri Sembilan
",0.9993812680244445,0,https://www.facebook.com/permalink.php?story_fbid=pfbid02W3GZ4ihTm4G79MVb2BvoFUgU3xKMb8BmF6Nq52vLncsYKiF64XuAjQArHKC6zxKrl&id=61583454096722,2026-06-29 19:30:25+00:00
news,"Ronaldo ubati duka mangsa gempa. London: Cristiano Ronaldo menghantar mesej penuh sokongan kepada seorang kanak-kanak Venezuela yang kehilangan segalanya dalam gempa bumi dahsyat baru-baru ini, selain",0.9993710398674011,0,https://www.hmetro.com.my/arena/bola-sepak/2026/07/1379389/ronaldo-ubati-duka-mangsa-gempa,2026-07-04 20:19:56+00:00
facebook,"Kami Viral yg naikkan PMX BEKAS BANDUAN MELIWAT DAN SALAH GUNA KUASA SERTA KLUSTER MAHKAMAH SERANGAN SEKSUAL XDA PLAK KO PERTIKAI MASA TU.. 
TPM DENGAN 47 KES SAKAU XDA PLAK WALANON PERTIKAI.. 
ANAK D",0.999284029006958,0,nan,2026-06-09 01:08:15+00:00
facebook,"Alhamdulillah 
Tahu tak apa bila Undang sungai ujong dipecat oleh luaknya dan disahkan oleh DKU 

Begitu juga undang Jelebu telah dipecat oleh luaknya dan tunggu mesyuarat DKU 

Manakala undang Rembau",0.9992556333541869,4,nan,2026-06-16 04:36:22+00:00
facebook,"Aizley Shahar “Sesungguhnya Allah tidak melihat kepada rupa dan harta kamu, tetapi Allah melihat kepada hati dan amalan kamu.” (HR. Muslim)

Awak tolak hadis ini?",0.9992525219917296,0,nan,2026-06-16 01:52:54+00:00
facebook,"Dalam ADAT, menjaga AIB & ADAB lebih diutamakan berbanding DIWAR2KAN untuk jadi pendebatan UMUM.",0.9991153001785278,17,nan,2026-06-07 03:51:24+00:00
