platform,content,sentiment_score,engagement,url,date
facebook,"Kita lantik semula undang mengikut kaedah yg beradat, beradab dan bersendikan syarak.. Buang semua undang yg dipertikaikan lantikan mereka..lantik dr calon yg berpendidikan tinggi, mahir bab agama dan",0.9994126319885253,0,nan,2026-06-25 01:35:23+00:00
facebook,"Alhamdulillah
Orang kg sey jadi Undang....tak banyak mulut....segak Dan tampan.....memang layak....isteri dia pun orang kg Gadong.,....BERSUKU..",0.9994121134281158,51,nan,2026-06-27 11:20:38+00:00
facebook,Dah PRN pilih yg terbaik,0.9994103968143462,0,nan,2026-06-16 03:14:09+00:00
facebook,Jane Molina kalau dlm N9 track record DAP antara yg terbaik..semua YB DAP function abis,0.9994103252887725,0,nan,2026-06-11 18:16:51+00:00
facebook,"Saya d lahir kp, mak ayah dna kp , besar sekolah d kbharu, bertugas 40 tahun selangor , bersara menetap d melaka, sangat sedih dgn kemelut d n9. Tiada apa yg boleh d bangga lagi.",0.9994090020656585,34,nan,2026-06-27 10:46:04+00:00
facebook,"Eina Md Mustapa Alhamdulillah ,dengan segala hormatnya, saya yang lahir pada tahun 1993 ni sangat berterima kasih atas segala penerangan yang Cik/Puan sampaikan. 

Sekarang, baru saya faham apa yang b",0.9994090020656585,10,nan,2026-06-12 22:05:12+00:00
facebook,Terima kasih Dato' Eric..penjelasan yang jelas dan terperinci. Baru kami faham kedudukan yang sebenarnya.,0.9994022071361541,34,nan,2026-06-05 23:59:26+00:00
news,FIFPRO desak tindakan tegas lindungi pemain. MIAMI: Persekutuan Pemain Bolasepak Profesional Dunia (FIFPRO) menyuarakan kebimbangan terhadap peningkatan kes penderaan yang dihadapi pemain pada kempen ,0.9994013845920562,0,https://www.bharian.com.my/sukan/bola/2026/07/1582697/fifpro-desak-tindakan-tegas-lindungi-pemain,2026-07-04 23:26:54+00:00
news,"Menaruh hati pada wanita sama, pemuzik jalanan maut ditikam rakan. Bekasi: Seorang pemuzik jalanan maut selepas ditikam rakannya dalam pergaduhan di sebuah rumah sewa di Cikarang Barat, Kabupaten Beka",0.9994002401828765,0,https://www.hmetro.com.my/global/asia/2026/07/1379401/menaruh-hati-pada-wanita-sama-pemuzik-jalanan-maut-ditikam-rakan,2026-07-04 21:00:23+00:00
facebook,raja atau sultan harus baik akhlak dan agamanya...maka pilihlah yg terbaik....,0.9993996322154999,17,nan,2026-06-12 15:14:24+00:00
facebook,Syed Tanjung Bila YamTuan telah dilantik baginda tertakluk juga kepada perlembagaan negara dimana pihak yang mahu turunkan takhta baginda perlu dibawa k mahkamah khas.,0.9993956446647643,5,nan,2026-06-13 08:00:12+00:00
facebook,Alhamdulillah Terbaik DAP Nismilan,0.9993944644927978,73,nan,2026-06-08 10:34:11+00:00
facebook,keris yg dipakai dlm majlis adalah keris pusaka luak rembau.....maka dah terjawab alhamdulillah tahniah undang rembau yg 22,0.9993922293186187,43,nan,2026-06-27 11:18:46+00:00
facebook,Eina Md Mustapa penerangan yg amat jelas terima kasih atas perkongsian ilmu... Ringkas dan padat,0.9993911921977996,6,nan,2026-06-12 22:39:37+00:00
facebook,"Jasmi Renjer Allah selamatkan Negeri Sembilan.
Dengan Yamtuan ke 12 ini, semoga dapat dibetulkan semua.
Hak orang Melayu dan Islam dimuliakan.",0.9993875980377196,17,nan,2026-06-05 20:10:11+00:00
news,"Kepimpinan di semua peringkat perlu amal pendekatan adil dengan komuniti - Anwar. JOHOR BAHRU: Perdana Menteri, Datuk Seri Anwar Ibrahim, hari ini menggesa kepimpinan di peringkat Persekutuan, negeri ",0.9993871688842773,0,https://www.bharian.com.my/berita/nasional/2026/07/1582636/kepimpinan-di-semua-peringkat-perlu-amal-pendekatan-adil-dengan,2026-07-04 19:13:21+00:00
facebook,"Jika benar mengikut adat, ikutlah semua adat. Jangan pilih pilih adat yg mahu diikuti. Adat yang melantik dan memecat mesti di ikuti oleh semua pihak. Adakah kata dan keputusan Ibu Soko diikuti?",0.99938285946846,2,nan,2026-06-06 03:47:46+00:00
facebook,Al Fath AdDin iya dikk 😊😊😊...moga dikk dipanjangkan umur dan dimurahkan rezeki...🤲🤲🤲,0.9993812680244445,0,nan,2026-07-02 02:23:56+00:00
facebook,"Day 1 | Glamping Warga Kota 🏕️✨

Bila sebut Negeri Sembilan, ramai yang terus fikir tempat singgah je. Padahal negeri ni penuh dengan sejarah, budaya dan port healing yang best!

#VisitMalaysia2026
#C",0.9993790864944457,0,https://www.facebook.com/reel/1293475139239694/,2026-07-01 08:29:31+00:00
facebook,pendapat yang dangkal. syok sendiri.,0.9993723273277282,1,nan,2026-06-09 14:58:51+00:00
facebook,Lan Joseh Alhamdulillah sah. Adat dizahirkan dgn penuh adab dan tata susila,0.9993581831455229,17,nan,2026-06-27 11:45:49+00:00
facebook,Mrmark Autopart Mark Alhamdulillah sah. Adat dizahirkan dgn penuh adab dan tata susila,0.9992723524570464,2,nan,2026-06-27 11:46:09+00:00
news,BN perlu mandat baharu jayakan agenda Maju Johor 2030 - Asyraf Wajdi. JOHOR BAHRU: Barisan Nasional (BN) Johor memerlukan mandat baharu yang kukuh dan stabil untuk terus memimpin negeri ini agar dapat,0.9992400765419005,0,https://www.bharian.com.my/berita/nasional/2026/07/1582707/bn-perlu-mandat-baharu-jayakan-agenda-maju-johor-2030-asyraf-wajdi,2026-07-05 00:21:02+00:00
facebook,Mohd Fadzil itu lah yg membimbang tapi saya yakin peguam-2 YTM Undang Yang Empat sudah fikirkan perkara ni.. Moga dipermudahkan..,0.9992107152938843,1,nan,2026-07-02 00:22:17+00:00
facebook,Bekas Parlimen DAP sudah ramalkan in syaa Allah.  Allah  akan khaburkan BN  menang 53 kerusi in syaa Allah,0.9991933345794677,1,nan,2026-07-04 02:36:50+00:00
facebook,Nasruddin Din  sabah lain N9 lain x bleh disamakn. Sabah bnyk pilihn tpi di semenanjung DAP memng terbaik.,0.9991748631000519,18,nan,2026-06-09 16:00:28+00:00
facebook,Terus bersemangat DAP demi Malaysia dan rakyat hidup aman berbilang kaum,0.9988362610340118,290,nan,2026-06-09 00:28:34+00:00
news,"Anwar mahu dikenang sebagai pemimpin penuh kasih dan sayang. JOHOR BAHRU: Perdana Menteri, Datuk Seri Anwar Ibrahim mahu dikenang sebagai seorang pemimpin yang mempunyai perasaan kasih dan sayang terh",0.9988246023654936,0,https://www.utusan.com.my/terkini/2026/07/anwar-mahu-dikenang-sebagai-pemimpin-penuh-kasih-dan-sayang/?utm_source=rss&utm_medium=rss&utm_campaign=anwar-mahu-dikenang-sebagai-pemimpin-penuh-kasih-dan-sayang,2026-07-04 13:45:21+00:00
facebook,terbaik la Negeri Sembilan Darul Kelakar..kelakar dikerjakan puak komunis🤭,0.9985814869403838,27,nan,2026-06-27 05:47:36+00:00
facebook,"keciankan..lama hidup di lingkungan bangsanya, bila dapat sikit manfaat yg terdiri dari racun tersembunyi adat yg diagungkan selama ini dihina dikhalayak tanpa sedar dek kerana ade sedikit riak dan ba",0.9985307931900024,31,nan,2026-06-15 07:44:36+00:00
facebook,"Kisah harini di Istana Besar Sri Menanti
———

Yang di-Pertuan Besar Negeri Sembilan, Tuanku Muhriz Tuanku Munawir berkenan menzahirkan Muhammad Faris Johari sebagai Dato' Klana Petra Undang Luak Sunge",0.9985188663005828,199,https://www.facebook.com/groups/925453278347475/posts/2130426934516764/,2026-06-27 04:46:19+00:00
news,"'BN Johor perlu mandat baru jayakan Agenda Maju Johor 2030, bubar awal bukan isu'. Johor Bahru: Barisan Nasional (BN) Johor memerlukan mandat kepimpinan baru yang kukuh dan stabil bagi membolehkan age",0.9984686195850372,0,https://www.hmetro.com.my/mutakhir/2026/07/1379420/bn-johor-perlu-mandat-baru-jayakan-agenda-maju-johor-2030-bubar-awal-bukan,2026-07-04 23:28:39+00:00
facebook,"Jasmi Renjer Alhamdulillah dah faham...Tuan kena dalami lagi adat perpatih ini ...hari ini 4 Luak UNDANG NS sedang bertindak untuk selamatkan institusi raja, Sultan dan Adat Istiadat Melayu...",0.9981454312801361,17,nan,2026-06-05 23:41:13+00:00
facebook,"saya pun fikir yang fakta awak itu lah yang betul....lepas saya baca beberapa komen dalam ruang komen ini, saya pun rasa yang saya telah tersilap memahami konsep gelaran warisan ....",0.9977158665657042,21,nan,2026-06-11 10:40:51+00:00
news,"PSM persoal pengumuman hospital baharu Bandar Enstek. PETALING JAYA: Parti Sosialis Malaysia (PSM) mempersoal tindakan Menteri Kesihatan, Datuk Seri Dr. Dzulkefly Ahmad mengumumkan pembinaan hospital ",0.997702795267105,0,https://www.utusan.com.my/nasional/2026/07/psm-persoal-pengumuman-hospital-baharu-bandar-enstek/?utm_source=rss&utm_medium=rss&utm_campaign=psm-persoal-pengumuman-hospital-baharu-bandar-enstek,2026-07-04 10:26:09+00:00
facebook,"Akan Berkati Sekalian Yang Setia.
Musuhnya Habis Binasa

DAULAT TUANKU MUHRIZ",0.9976424098014831,27,nan,2026-06-05 10:00:17+00:00
facebook,"KaLzuan Zain yeke dia lebih Arif Bab adat??
Kalau dye Arif dye mesti adakan pelantikan dalam sidang DKU untuk bermuafakat sebulat kata ...bukan pelantikan sendiri tanpa persetujuan tok lembaga Dan und",0.9973740637302397,0,nan,2026-06-29 00:29:18+00:00
facebook,"Festival Rentak Negeri 2026 perkukuh identiti budaya masyarakat Negeri Sembilan

PORT DICKSON - Festival Rentak Negeri 2026 dilihat dapat memperkukuhkan identiti  budaya serta keseniaan dan tradisi ma",0.9972301542758941,1,https://www.facebook.com/reel/2533006823830185/,2026-06-30 06:09:08+00:00
facebook,"Ramli Mohamad 
ITU SEMUA  ORG YG TERLIBAT DLM INSTITUSI NI FAHAM!
TERTANYA2 JUGA PEMECATAN TOK UNDANG SG UJONG IKUT PROSEDUR OR IKUT UNDANG2 YG SEDIADA X? 
TERTANYA2 JUGA KENAPA YE ANTHONY LOKE N LAIN",0.9972224831581116,0,nan,2026-06-11 00:09:49+00:00
facebook,"AWAK INGAT AWAK BOLEH MAJU KALAU TAK ADA ORANG2 CHINA BANGSA AWAK BANYAK JADI KULI2 BURUH BAWA LORI KJA KEDAI2 ORANG CHINA MENGAPA OTAK AWAK TAK TERFIKIR NAK MAJU ,,BAIK AWAK TINGGAL DI KLANTAN ,, AWA",0.9972127199172973,0,nan,2026-06-10 23:43:33+00:00
facebook,Zack Hamdan ni yang baru yg di lantik melalui adat di telaga luak,0.9971622765064239,0,nan,2026-06-14 10:35:22+00:00
facebook,Steady Wan.. Abg bukan org N9.. Tp sentiasa dekat dgn adat pepatih.. Nie gambar kenangan lampau dgn Undang Luak Jelebu.. Tok Maarof ketika mula2 di lantik sbg Undang Luak Jelebu.. Sebelah abg tue Tan ,0.997141408920288,27,nan,2026-06-05 05:50:19+00:00
facebook,Ruby Ruby Tak faham apa yang diperkatakan. Saya cuma dengar podcast Keluar Sekejap episode 202. Cuba fahami.,0.9966387271881103,1,nan,2026-06-13 10:33:24+00:00
news,"England, Mexico lega FIFA kekal waktu sepak mula. Mexico City: Masa sepak mula aksi pusingan 16 terbaik Piala Dunia antara England dan Mexico akhirnya disahkan kekal mengikut jadual asal selepas timbu",0.9963642120361327,0,https://www.hmetro.com.my/arena/bola-sepak/2026/07/1379356/england-mexico-lega-fifa-kekal-waktu-sepak-mula,2026-07-04 18:07:46+00:00
facebook,"Khutbah Jumaat Masjid Jelebu Doakan 
'Yamtuan Besar' Tunku Nadzaruddin

Permaidani kuning dibentangkan bagi menyambut ketibaan Tunku Nadzaruddin Tuanku Jaafar ketika dia berangkat menunaikan solat Jum",0.9963349044322967,384,https://www.facebook.com/permalink.php?story_fbid=pfbid0325cAL5jrxxMBEMTmp9qmdsrz2p9qcKLtDkaNWyuyVBxepAVGQwnKTeJCx8hoWSpkl&id=61578875992858,2026-06-20 02:04:50+00:00
facebook,"KAT A FAMOSA RESORT TU MAJLIS ""PERMASYHURAN"" BKNNYA MAJLIS PERTABALAN!
UPACARA NI DAH DIATUR N AKN BERLANSUNG DI BALAI KEDIAMAN RASMI YTM TUNKU BESAR TAMPIN TP KENAPA POLIS HALANG TOK2 UNDANG NAK JLNK",0.9961595594882964,178,nan,2026-06-11 14:09:14+00:00
facebook,"Zack Hamdan 
EH... NI LA YG MEREKA AMALKAN! NAK UBAH2 AMENDENYA? PROSEDUR N LAW DAH ADA. CUMA NAK FOLLOW KE X? SELAMA KINI X ADA KECOH PUN. BKNNYA X PERNAH BERLAKU ISU PECAT MEMECAT NI! BILA X IKUT ""S",0.9960063159465788,4,nan,2026-06-11 16:42:14+00:00
facebook,Anbalagan Ramasamy so sudah hebat Adat Perpatih ke? Asal dari Minangkabau ke🤣,0.9956587731838226,2,nan,2026-06-06 12:54:47+00:00
facebook,"Siti Salikin 

PRN bermula di Johor akan menangkan UMNO Onn Hafiz kembali balik sebagai MB seterusnya N9 kmdn Melaka dan seterusnya PRU16 hanya takdir Allah swt manusia merancang Malaysia melangkah se",0.9955029189586639,0,nan,2026-06-24 02:42:02+00:00
facebook,"Nano Trako sy setuju pandangan tu..
Cumo dlm proses yg berkaitan itu.. Kono lalui pengesahan dku.. Itu yg ditulis dlm uutns..

Atau blh cross jonuutns ni",0.9952854812145233,0,nan,2026-07-02 08:17:22+00:00
