platform,content,engagement,likes,comments,shares,sentiment,url,date
x,DPR Sahkan RUU Polri jadi Undang-undang https://t.co/I66eMFn9IO,78729,20248.0,2260.0,6346.0,negative,https://x.com/tempodotco/status/2064256188787949838,2026-06-09 08:00:02+00:00
x,DPR Sahkan RUU Polri jadi Undang-undang https://t.co/I66eMFn9IO,78729,20248.0,2260.0,6346.0,negative,https://x.com/tempodotco/status/2064256188787949838,2026-06-09 08:00:02+00:00
x,"Habis tau siapa bapaknya, I went… “oh, ini ya pentingnya menjadi ortu yang pintar…” 

(Membuka buku untuk kembali belajar)",9047,7588.0,43.0,665.0,positive,nan,2026-07-04 13:03:37+00:00
x,"@tempodotco Ribut mslh Buna, APBN vs Dana Pribadi, Dubes, IHSG, Rupiah vs Dollar, MBG, Imigrasi. Tiba2 ada yg ngebut sahkan UU di DPR 🤣",6156,4987.0,17.0,559.0,negative,nan,2026-06-09 08:05:16+00:00
x,"Menurut Aminuddin, guru PPPK Paruh Waktu hanya datang ke sekolah pada jam ajarnya saja. 

Silahkan terangkan temen-temen guru PPPK Paruh waktu 🙏 https://t.co/Rpuswy9SV5",5521,2923.0,316.0,625.0,negative,https://x.com/zanatul_91/status/2068495169910153512,2026-06-21 00:44:13+00:00
x,"Menurut Aminuddin, guru PPPK Paruh Waktu hanya datang ke sekolah pada jam ajarnya saja. 

Silahkan terangkan temen-temen guru PPPK Paruh waktu 🙏 https://t.co/Rpuswy9SV5",5521,2923.0,316.0,625.0,negative,https://x.com/zanatul_91/status/2068495169910153512,2026-06-21 00:44:13+00:00
x,"@tempodotco Pembahasan revisi UU Polri tanpa melibatkan partisipasi publik

Pengesahan revisi UU Polri sengaja diumumkan bareng dengan kenaikan IHSG, meredam kritik dan amarah rakyat

Selamat voters 0",5130,3830.0,8.0,638.0,negative,nan,2026-06-09 09:03:39+00:00
facebook,"Veteran DAP, Datuk Teng Chang Khim menyifatkan tindakan mengisytiharkan Yang di-Pertuan Besar Negeri Sembilan baharu sebagai satu tindakan yang bercanggah dengan Perlembagaan Negeri dan tradisi Adat P",2743,0,2743.0,0,negative,https://www.facebook.com/demirakyatch/posts/pfbid02d3rkgVDVvDDW2Q4wKTEzdXsx4ZqbLj5ZprrSb5xak8cAbqyL7gTx3vTin3XVs3M1l,2026-06-06 04:15:04+00:00
x,"@tempodotco DPR paling cepat
kalau UU-nya
untuk komplotan mereka sendiri",2173,1875.0,6.0,140.0,negative,nan,2026-06-09 08:08:38+00:00
facebook,"Sdr Anthony Loke, Pengerusi DAP Negeri Sembilan telah mengumumkan bahawa beliau akan memimpin DAP Negeri Sembilan untuk mempertahankan kesemua 11 kerusi dalam Pilihan Raya Negeri akan datang.

Pilihan",2146,0,2146.0,0,negative,https://www.facebook.com/nicoleleekoontan/posts/pfbid02KQ84qSh3YJi3wjoAQHnaFpjYDNSsBDKsxvttrer27tFWExh2ee2urR8DdaATwvWal,2026-06-08 05:48:08+00:00
facebook,"Veteran DAP Anggap Pengisytiharan Hari Ini Bertentangan Adat Perpatih

 Oleh Mynewshub 

KUALA LUMPUR - Veteran DAP, Datuk Teng Chang Khim mendakwa tindakan mengisytiharkan Yang di-Pertuan Besar Neger",2088,0,2088.0,0,negative,https://www.facebook.com/mynewshubplus/posts/pfbid03iBgn391oNbzYfeV4RTMsxreYKzpU5AXiPQmTdpYSD3g9huicSqTRqKBN6u9Bt6hl,2026-06-05 12:43:33+00:00
facebook,"Bismillahirrahmanirrahim
Assalamualaikum Warahmatullahi Wabarakatuh.
Salam Sejahtera dan Salam Maju Johor.
 
1. Saya menafikan sekeras-kerasnya dakwaan Datuk Dr Mohd Puad Zarkashi bahawa saya pernah m",1743,0,1743.0,0,negative,https://www.facebook.com/onnhafizghazi/posts/pfbid0JSkhDuwUHsMzL8ErNYppy7PMMQsNNbNTrPFCyxRVWWHXz8VZ9AfWadrr1srsvQFtl,2026-06-25 01:48:20+00:00
facebook,"Setiausaha Akhbar kepada Menteri Besar Negeri Sembilan, Ahmad Shahir Mohd Shah hari ini tampil memohon maaf kepada Undang Yang Empat susulan tindakannya memetik gelaran Institusi Undang ketika Majlis ",1407,0,1407.0,0,negative,https://www.facebook.com/permalink.php?story_fbid=pfbid0WgHuJeTDuYjhXYVy7TBa4ZGtaoARXQpkbiYJNej6jnZEi4RQvfxrUiNL8tacanBil&id=100063497500680,2026-06-15 07:16:28+00:00
x,@tempodotco Udah hancur-hancuran ini bre. Saling dukung sesama warga ini mah bisanya. Negara udah gak tertolong.,1378,1247.0,7.0,55.0,negative,nan,2026-06-09 08:01:20+00:00
x,"Orang Malaysia ni mmg baik sgt la to foreigners. It’s too dangerous.

Kalau kita ke Thailand, Indonesia atau Vietnam, kita mesti ada one fear where we should never trigger the locals there kan? Kalau ",1136,553.0,15.0,269.0,negative,nan,2026-07-04 00:25:50+00:00
