platform,content,sentiment_score,engagement,url,date
tiktok,"🏮CHINESE NEW YEAR: ""Perpaduan Dalam Kepelbagaian""🏮

Bagaimana sambutan Tahun Baru Cina bukan sekadar perayaan, tetapi menjadi simbol keharmonian dalam masyarakat majmuk Malaysia?

Tidak kiralah sama a",0.9994128108024596,67,https://www.tiktok.com/@hasnizanharun/video/7606548901172219144,2026-07-07 12:01:23.196407+00:00
news,NCM pastikan pelaburan industri automotif bina keupayaan tempatan - Johari Abdul Ghani. RAWANG: Kerajaan sedang memperhalusi Mekanisme Insentif Tersuai Baharu (NCM) bagi memastikan pelaburan dalam ind,0.9993908345699309,0,https://www.bharian.com.my/bisnes/lain-lain/2026/07/1584128/ncm-pastikan-pelaburan-industri-automotif-bina-keupayaan-tempatan,2026-07-07 16:56:18+00:00
x,@UTDEve Semoga dpt yg kali ini. Berapapun harganya harus. Kalo bisa sama Tchou tp akan jd hal yg hampir mustahil,0.9993807315826415,3,nan,2026-07-04 08:41:35+00:00
x,"150 PAS BERMUSIM ULTIMATE XI KINI TERJUAL! 💯🔥

Setakat hari ini, sebanyak 150 unit Pas Bermusim Ultimate XI bagi musim 26/27 telah pun mempunyai pemilik. Terima kasih atas kesetiaan dan kebersamaan an",0.9993802666664122,21,https://x.com/nsfc1923/status/2073372762631262718,2026-07-04 11:46:02+00:00
x,"@insidefolkative Wajar sih pernah di fase itu. Semua anak gamer pasti pernah ""ngepush rank lupa waktu""
Yg penting sekarang udah sadar dan lebih dewasa.
Bangga sama Njan yg mau cerita jujur 🤍",0.9993605613708496,1,nan,2026-07-07 07:27:12+00:00
x,"PAS tidak akan membentangkan manifesto secara menyeluruh pada Pilihan Raya Negeri (PRN) Johor, sebaliknya hanya menawarkan beberapa inisiatif dan tawaran khusus di kawasan yang ditandingi.

Berita pen",0.9992564022541046,34,https://x.com/harakahdailyHD/status/2073717003614138749,2026-07-05 10:33:56+00:00
x,"PAS tidak akan membentangkan manifesto secara menyeluruh pada Pilihan Raya Negeri (PRN) Johor, sebaliknya hanya menawarkan beberapa inisiatif dan tawaran khusus di kawasan yang ditandingi.

Berita pen",0.9992564022541046,34,https://x.com/harakahdailyHD/status/2073717003614138749,2026-07-05 10:33:56+00:00
x,"𝐌𝐄𝐍𝐘𝐄𝐌𝐀𝐈 𝐈𝐋𝐌𝐔, 𝐌𝐄𝐌𝐁𝐈𝐍𝐀 𝐌𝐔𝐀𝐅𝐀𝐊𝐀𝐓, 𝐌𝐄𝐌𝐏𝐄𝐑𝐊𝐔𝐊𝐔𝐇 𝐇𝐀𝐍𝐑𝐔𝐇

Alhamdulillah, hari ini berpeluang menyempurnakan Majlis Penutupan sempena Program Ilmu dan Muafakat (PIKAT) di Masjid Al-Faizin, Felda Air Tawar 2",0.9989931344985961,12,https://x.com/KhaledNordin/status/2073728395427664123,2026-07-05 11:19:12+00:00
x,"Saya sempat dilema ketika dulu dpt offer barengan dari Efishery dan Flip, dua tempat yg sy pengen bgt masuk. Waktu itu posisi sama-sama series B dan nilai offernya hampir sama.

Akhirnya pilih Flip ka",0.9989544212818144,876,https://x.com/didikz/status/2072993114856591858,2026-07-03 10:37:27+00:00
x,"@abdulhadiawang Skrip yg sama setiap hari lebih2 lagi setiap pilihanraya. BERSATU juga ummah.

Definisi ummah bagi PAS adalah org yg ikut telunjuk PAS",0.9984069824218749,0,nan,2026-07-04 02:22:52+00:00
x,"PRN Negeri Sembilan: BN mungkin tidak kekalkan kerusi tradisi - Mohamad Hassan

#BHNasional BN perlu berani membuat perubahan bagi memastikan kemenangan

https://t.co/j4h4CEwZ9f",0.9981608629226684,25,https://x.com/bharianmy/status/2073649319136428139,2026-07-05 06:04:58+00:00
