platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,"According to New Straits Times, Jairo suffered a concussion and received multiple stitches to his lip at a local hospital in Jeddah.   
Captain Natxo was reportedly booked for breaching protocol after",3900400,2800000.0,12200.0,131200.0,negative,https://www.tiktok.com/@mothershipsg/video/7630332986247908628,2026-07-08 10:56:21.870990+00:00
tiktok,HEHEHEHEHE udaahh yaa sesuai janjii!!!🫶🫶🫶 #diluarnurul,347375,310500.0,1075.0,10800.0,positive,https://www.tiktok.com/@nayshiiie.2/video/7650873648550710535,2026-07-08 10:56:15.450352+00:00
tiktok,"MIRIS, PEJABAT BADAN GIZI NASIONAL KORUPSI 1 MILYAR PER HARI, SEMENTARA ITU MASIH BANYAK MASYARAKAT INDONESIA YANG SUSAH CARI UANG TIAP HARINYA (Source: Kompas TV) #mbg #bgn #sppg #makanbergizigratis ",140647,99400.0,8747.0,20500.0,neutral,https://www.tiktok.com/@fharidbahtiar/video/7647354067274009876,2026-07-08 10:56:29.887350+00:00
tiktok,"Menteri Pertanian Andi Amran Sulaiman memberikan tanggapan terkait usulan seorang dosen Universitas Negeri Makassar (UNM) yang meminta agar harga beras diturunkan menjadi Rp13.000 per kilogram.

Mente",107062,84600.0,2040.0,5422.0,neutral,https://www.tiktok.com/@pembasmii.kehaluan.reall/video/7650735718473403656,2026-07-08 10:56:34.045696+00:00
tiktok,"— #DUANGWITHYOU — || I love serious Duang sm ㅜㅜ ||

━━━➳༻❀✿❀༺➳━━━
★ My tg channel: saphiredd

★ Boosty: saphired (link in bio!)

★ Scp: blvnscenes
━━━➳༻❀✿❀༺➳━━━
Tags: #duangwithyouseries #duangwithyou",87486,77000.0,417.0,4744.0,positive,https://www.tiktok.com/@saphired_/video/7624150530134232337,2026-07-08 10:56:28.927307+00:00
tiktok,"ditempatku ngebel lebih terkenal dengan pemandian air panas belerang yg bisa mengobati segala penyakit kulit.
#telaga #ngebel #ponorogo #madiun #jawatimur",71069,36800.0,2441.0,4828.0,neutral,https://www.tiktok.com/@xotox_allakhazaam/video/7592476587077979412,2026-07-08 10:56:20.664518+00:00
tiktok,𝜗𝜚 i tried editing guys 😓 also this is a joke video so don’t take it to the heart!  ──⟡ #fyp #slimerant #danganropa #strawberryshortcake #satire,60566,54700.0,461.0,487.0,negative,https://www.tiktok.com/@kittyuko_/video/7592223358888971551,2026-07-08 10:56:20.960460+00:00
tiktok,"GEMPA 7.4 SL sebab kan Tsunami Rusia Hari Ini, jepang dan Indonesia Waspada#sorotan",58555,26100.0,1371.0,5084.0,neutral,https://www.tiktok.com/@porohnews4.id/video/7532774258330832146,2026-07-08 10:56:14.837391+00:00
tiktok,"Peraturan baru masuk ke INDONESIA. Wajib punya dokumen ini yaaa
#tutorial #allindonesia #traveling #imigrasiindonesia #tips",57202,30000.0,1202.0,15000.0,neutral,https://www.tiktok.com/@mandetexplorer/video/7574367757744049429,2026-07-08 10:56:14.533006+00:00
tiktok,"Kalo lu penasaran kenapa banyak negara ketar ketir dengan wacana kebijakan ekspor via satu pintu, sini gue jelasin secara cepat & simple.",55634,48200.0,712.0,2556.0,negative,https://www.tiktok.com/@elson.lo/video/7650822073182391559,2026-07-08 10:56:33.434048+00:00
tiktok,Kapann...????🫩#fyp #za🧋 #airlines #luarnegeri #indonesia,53477,36100.0,1010.0,7684.0,neutral,https://www.tiktok.com/@zania99.9/video/7537569770422504712,2026-07-08 10:56:32.205114+00:00
tiktok,"Mukbang 2 porsi mie kari… mau kering mau kuah sama ya rasanya cm kering lebih lekoh aja. 
🍜 Seporsi Mie Kari
🍀9.4/10
📍City Walk, Sudirman.
#joannafoodie #miekari #seporsimiekari #mukbangmie #kulinerjk",41211,33100.0,160.0,1905.0,neutral,https://www.tiktok.com/@joanna.foodie1/video/7652999003784695060,2026-07-08 10:56:24.638123+00:00
tiktok,"Tolong untuk pemerintah kota medan hapuskan pungli itu 
Agak ngeri ngeri sedap awak liatnya.
Kalok disini kan aman tentram
#salamdarimedan🙏🙏🙏🙏😁🤗🤗 
#salamanakrantau🙏🙏🕊️🇮🇩 
#cakapmedankita",40902,33100.0,365.0,495.0,positive,https://www.tiktok.com/@aldifkrnsyh/video/7645651146979314965,2026-07-08 10:56:30.978485+00:00
tiktok,"🔹PRABOWO: GA USAH KE LUAR NEGERI (2025)🔹

Presiden Prabowo Subianto menginstruksikan kepada pejabat dan pegawai kementerian agar tak perlu ke luar negeri selama apabila tidak ada agenda penting demi p",36114,24800.0,1703.0,4870.0,positive,https://www.tiktok.com/@mastaka.files/video/7645978174999891207,2026-07-08 10:56:23.399018+00:00
tiktok,"Heboh perseteruan antara dosen UIN Malang vs Sahara rental sampai diusir RT setempat!

#dosenuin #malang #viral #beritaterkini #fyppppppppppppppppppppppp",35153,15800.0,1559.0,794.0,negative,https://www.tiktok.com/@sebut.berita/video/7555404980744686860,2026-07-08 10:56:13.602063+00:00
tiktok,"LAMA LAMA GAK JELAS HUKUM DI KONONA ya ges???
#nadiem #kerry #otm #pertamina #fypシ゚",34995,26800.0,169.0,596.0,neutral,https://www.tiktok.com/@tangkikonoha/video/7627530849751190804,2026-07-08 10:56:24.939091+00:00
tiktok,"Kedaden tenan ndue omah sing ra berisik, kebak katresnan, kebak kasih lan sayang 🥰 punya sendiri kecil gapapa kan ?

#sinarengan #rumahminimalis #bellabonita #dennycaknan #cundamani #fyppppppppppppppp",31527,27400.0,65.0,1051.0,neutral,https://www.tiktok.com/@mama.dhaif/video/7484228306988977463,2026-07-08 10:56:13.293436+00:00
tiktok,"🇲🇾🇮🇩
 #anakrantau #pejuangdevisa #fyppppppppppppppppppppppp",26986,21600.0,618.0,2079.0,neutral,https://www.tiktok.com/@lumoher3/video/7641837361067789576,2026-07-08 10:56:44.345141+00:00
tiktok,jalan alternatif telaga ngebel ponorogo #fyp #CapCut #ponorogo24jam,26828,18000.0,415.0,4762.0,neutral,https://www.tiktok.com/@infohealingmu/video/7646218329249844498,2026-07-08 10:56:41.628623+00:00
tiktok,ghost and lottery real cctv in Thailand. #house #ghost #lottery #horror #scary #real #cctv #record #video #thailand #thailand🇹🇭,22367,16900.0,123.0,70.0,neutral,https://www.tiktok.com/@theghostmax/video/7115648194381401370,2026-07-08 10:56:31.569385+00:00
tiktok,berterimakasih she said😩 Nonton episode 6 only di Vidio! #diluarnurulseries #gabrielharungiroux #nayladennypurnama #seriesindonesia #fyp @nayla purnama @Gabriel,19685,17100.0,182.0,577.0,neutral,https://www.tiktok.com/@bekasians/video/7658119958634810631,2026-07-08 10:56:47.206474+00:00
tiktok,"PRN Johor kali ini, aku tertarik dengan seorang calon PN (PAS).

Seorang guru.
Seorang aktivis masyarakat.
Dan seorang pejuang yang sudah lama berada di medan politik.

Beliau ialah Normala Binti Sudi",18732,15700.0,434.0,389.0,negative,https://www.tiktok.com/@amirulasraf1987/video/7656682067010391314,2026-07-08 10:56:16.367004+00:00
tiktok,"Jakarta punya warna-warnanya sendiri sebelum semua berubah menjadi aplikasi.

Kuning ngejreng President Taxi yang mendominasi jalanan era 70–80an — begitu ikonik sampai Jakarta punya Yellow Cab-nya se",18657,15100.0,339.0,615.0,negative,https://www.tiktok.com/@musee.id/video/7649699973029776656,2026-07-08 10:56:27.397910+00:00
