platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,"PRN Johor kali ini, aku tertarik dengan seorang calon PN (PAS).

Seorang guru.
Seorang aktivis masyarakat.
Dan seorang pejuang yang sudah lama berada di medan politik.

Beliau ialah Normala Binti Sudi",18738,15700.0,437.0,390.0,negative,https://www.tiktok.com/@amirulasraf1987/video/7656682067010391314,2026-07-08 14:57:23.477897+00:00
tiktok,"PRN Johor kali ini, aku tertarik dengan seorang calon PN (PAS).

Seorang guru.
Seorang aktivis masyarakat.
Dan seorang pejuang yang sudah lama berada di medan politik.

Beliau ialah Normala Binti Sudi",8823,7785.0,210.0,272.0,negative,https://www.tiktok.com/@pemudaperikatannasional7/video/7656779611556138248,2026-07-08 14:57:22.906226+00:00
tiktok,Dari seorang guru ke medan politik. Ayuh Bangsa Johor N.05 Tenang & N.35 Pasir Raja. PERIKATAN NASIONAL PAS/PN Pilihan Utama Anda. #tolakumdap,1012,823.0,81.0,56.0,neutral,https://www.tiktok.com/@pintasan_n8/video/7655956140781538578,2026-07-08 14:57:26.811688+00:00
tiktok,semoga Allah berikan kemenangan kepada Calon PAS/PN. cikgu Normala 🥰,560,538.0,11.0,0,positive,https://www.tiktok.com/@amirulasraf1987/video/7656682067010391314,2026-06-29 12:42:12+00:00
tiktok,semoga Allah berikan kemenangan kepada Calon PAS/PN. cikgu Normala 🥰,538,538.0,0,0,positive,nan,2026-07-08 22:57:22.905934+00:00
tiktok,semoga Allah berikan kemenangan kepada Calon PAS/PN. cikgu Normala 🥰,538,538.0,0,0,positive,nan,2026-07-08 22:57:23.477439+00:00
tiktok,semoga Allah berikan kemenangan kepada Calon PAS/PN. cikgu Normala 🥰,538,538.0,0,0,positive,nan,2026-07-08 22:57:23.793708+00:00
tiktok,semoga Allah berikan kemenangan kepada Calon PAS/PN. cikgu Normala 🥰,538,538.0,0,0,positive,nan,2026-07-08 22:57:24.131482+00:00
tiktok,semoga Allah berikan kemenangan kepada Calon PAS/PN. cikgu Normala 🥰,538,538.0,0,0,positive,nan,2026-07-08 22:57:24.469632+00:00
tiktok,semoga Allah berikan kemenangan kepada Calon PAS/PN. cikgu Normala 🥰,538,538.0,0,0,positive,nan,2026-07-08 22:57:24.808814+00:00
tiktok,semoga Allah berikan kemenangan kepada Calon PAS/PN. cikgu Normala 🥰,538,538.0,0,0,positive,nan,2026-07-08 22:57:25.151114+00:00
tiktok,semoga Allah berikan kemenangan kepada Calon PAS/PN. cikgu Normala 🥰,538,538.0,0,0,positive,nan,2026-07-08 22:57:25.469990+00:00
