platform,content,engagement,likes,comments,shares,sentiment,url,date
tiktok,"🍍🌿 Hari ini memang special! - Siri 1

Jom ikut Awang melawat kebun sendiri. Di sinilah masa terluang dimanfaatkan untuk mengusahakan tanaman nenas dan betik.

Berkebun mengajar erti sabar, usaha dan s",6398,3984.0,91.0,437.0,positive,https://www.tiktok.com/@awanganakjeram/video/7658633285496524040,2026-07-08 18:33:09.241414+00:00
tiktok,"🤝 Berbeza parti, tetap saling menghormati.

Hari ini berpeluang bertemu dengan calon Parti MUDA. Sebelum ini, selalu juga terserempak dengan calon daripada BN dan PH ketika berkempen.

Alhamdulillah, ",2101,1774.0,29.0,71.0,positive,https://www.tiktok.com/@awanganakjeram/video/7659817740299177234,2026-07-08 18:33:03.984625+00:00
tiktok,"🍽️🤝 Walkabout di Medan Selera Jalan Pesta Baru 1

Alhamdulillah, saya berpeluang menyantuni para peniaga dan pengunjung di Medan Selera Jalan Pesta Baru 1.

Berjalan dari satu meja ke satu meja, berta",1596,1374.0,69.0,34.0,positive,https://www.tiktok.com/@awanganakjeram/video/7659061698665532692,2026-07-08 18:33:07.543529+00:00
tiktok,"🐔🍍 ""Eh Awang... sekarang tanam nenas pula? Tak supply ayam dah ke?"" 😄

Soalan ini banyak juga orang tanya dan ada muncul di ruangan komen.

Sebenarnya macam mana? Masih dalam bidang ayam atau sudah be",1025,869.0,24.0,16.0,negative,https://www.tiktok.com/@awanganakjeram/video/7659382026923003154,2026-07-08 18:33:06.507200+00:00
tiktok,"🤔 ""Macam mana Awang boleh jadi calon?""

Soalan ini memang selalu ditanya sepanjang kempen.

Adakah Awang menawarkan diri? Atau dipilih oleh parti? Bagaimana prosesnya?

Daripada terus membuat andaian,",993,821.0,44.0,22.0,negative,https://www.tiktok.com/@awanganakjeram/video/7657909148192984328,2026-07-08 18:33:15.990806+00:00
tiktok,"🍍🌿 Hari ini memang special! - Siri 2

Jom ikut Awang melawat kebun sendiri. Di sinilah masa terluang dimanfaatkan untuk mengusahakan tanaman nenas dan betik.

Berkebun mengajar erti sabar, usaha dan s",939,716.0,21.0,23.0,positive,https://www.tiktok.com/@awanganakjeram/video/7658647944526040327,2026-07-08 18:33:08.911796+00:00
tiktok,"☕😊 ""Siapa Awang ni sebenarnya?""

Sambil ngeteh santai di warung, ada yang bertanya...

""Siapa Awang ni?""

Daripada orang lain bercerita, lebih baik dengar sendiri jawapannya daripada mulut Awang sendi",913,763.0,32.0,26.0,positive,https://www.tiktok.com/@awanganakjeram/video/7657910657345424648,2026-07-08 18:33:14.872358+00:00
tiktok,"🛍️ Pagi Jumaat di Pasar Tani Sungai Abong.

Alhamdulillah, pagi ini berkesempatan menyantuni para peniaga dan pengunjung di Pasar Tani Kg. Kenangan Tun Dr. Ismail 2, Sungai Abong.

Suasana cukup meria",886,740.0,29.0,30.0,positive,https://www.tiktok.com/@awanganakjeram/video/7658257594145852679,2026-07-08 18:33:11.764052+00:00
tiktok,"🏮🤝 ""Wǒ shì Awang!"" (我是 Awang) 😄

Alhamdulillah, petang semalam saya berpeluang menyantuni para peniaga dan pengunjung di Pasar Malam Cina, Taman Marin.

Seronok dapat bertegur sapa, bertanya khabar da",848,641.0,28.0,22.0,positive,https://www.tiktok.com/@awanganakjeram/video/7658535620956015890,2026-07-08 18:33:09.594731+00:00
tiktok,"💚 Terima kasih Tan Sri Annuar Musa atas sokongan dan doa.

Saya merakamkan setinggi-tinggi penghargaan kepada Tan Sri Annuar Musa atas ucapan dan seruan kepada warga N13 Simpang Jeram untuk memberikan",775,587.0,39.0,83.0,positive,https://www.tiktok.com/@awanganakjeram/video/7658095376389524744,2026-07-08 18:33:13.828479+00:00
tiktok,"🤲 Ziarah Kasih yang menyentuh hati.

Alhamdulillah, hari ini berkesempatan menziarahi Ustazah Jaminah, bekas guru agama Sekolah Agama Parit Kadi, Muar. Kini beliau terlantar akibat sakit tua dan dijag",764,614.0,20.0,37.0,positive,https://www.tiktok.com/@awanganakjeram/video/7657911495677725959,2026-07-08 18:33:14.498977+00:00
tiktok,"💚 Di sebalik kempen, ada insan-insan luar biasa.

Siang dan malam mereka bertungkus-lumus di Bilik Operasi Jentera Pilihan Raya PN, mengorbankan masa, tenaga bahkan waktu bersama keluarga demi memasti",601,484.0,16.0,70.0,positive,https://www.tiktok.com/@awanganakjeram/video/7659748354905181461,2026-07-08 18:33:04.400127+00:00
tiktok,"🍍🤝 Nenas Yankee dapat pujian!

Alhamdulillah, hari ini dikunjungi sahabat lama, Ustaz Muhammad Asri bin Yunus dari Maahad Tahfiz Vokasional Aman Bistari, Puchong, yang singgah ke BO untuk menikmati ne",472,397.0,15.0,23.0,positive,https://www.tiktok.com/@awanganakjeram/video/7659317591319530770,2026-07-08 18:33:07.211478+00:00
tiktok,"TAWARAN PERIKATAN NASIONAL
A.W.A.N.G
Agenda Membangun Simpang Jeram

Setiap kawasan memerlukan hala tuju yang jelas.

Setiap keluarga mengimpikan kehidupan yang lebih baik.

Dan setiap anak muda berha",468,358.0,13.0,67.0,positive,https://www.tiktok.com/@awanganakjeram/video/7659047771680410887,2026-07-08 18:32:59.595069+00:00
tiktok,"🍍🤝 Nenas Yankee dapat pujian! - Siri 2

Alhamdulillah, hari ini dikunjungi sahabat lama, Ustaz Muhammad Asri bin Yunus dari Maahad Tahfiz Vokasional Aman Bistari, Puchong, yang singgah ke BO untuk men",465,362.0,15.0,10.0,positive,https://www.tiktok.com/@awanganakjeram/video/7659353270586068231,2026-07-08 18:33:06.867379+00:00
tiktok,"""Saya yakin dan percaya kalau hari ini kemenangan itu berlaku kerana manusia nak realiti. Orang yang mereka kenal. Orang yang tidak berselindung dengan kemewahan. Awang berpijak pada bumi yang nyata. ",414,341.0,9.0,29.0,positive,https://www.tiktok.com/@awanganakjeram/video/7659014205470772487,2026-07-08 18:32:59.023892+00:00
tiktok,"💚 Anak-anak ialah amanah, bukan sekadar harapan.

Dalam ucapan sempena Program Fun Walk PASTI Bakri pagi tadi, saya menekankan bahawa anak-anak perlu dibesarkan bukan sahaja dengan ilmu dunia, tetapi ",332,267.0,10.0,14.0,positive,https://www.tiktok.com/@awanganakjeram/video/7658690991116864776,2026-07-08 18:32:54.540211+00:00
tiktok,"""Awang semua orang kenal dia""....... kata salah seorang pengunjung Pasar Tani pagi ini, terharu rasanya. Semuanya dari Allah Taala. 

Awang meneruskan rutin kempen pagi ini Walkabout di Pasar Tani Sun",311,270.0,10.0,2.0,negative,https://www.tiktok.com/@awanganakjeram/video/7658157076606094610,2026-07-08 18:33:12.104203+00:00
tiktok,"🌧️☕ Hujan turun, rezeki pun singgah.

Sedang berjalan menyantuni peniaga dan pengunjung di Pasar Tani, tiba-tiba hujan mencurah. Alhamdulillah, kami singgah di Warung Wak Senon untuk bersarapan sambil",294,242.0,15.0,7.0,positive,https://www.tiktok.com/@awanganakjeram/video/7658299424568970503,2026-07-08 18:33:10.977763+00:00
tiktok,"🍍🌿 Hari ini memang special! - Siri 3

Jom ikut Awang melawat kebun sendiri. Di sinilah masa terluang dimanfaatkan untuk mengusahakan tanaman nenas dan betik.

Berkebun mengajar erti sabar, usaha dan s",288,218.0,6.0,20.0,positive,https://www.tiktok.com/@awanganakjeram/video/7658648853775731986,2026-07-08 18:32:56.205711+00:00
tiktok,"🕌🍈 Singgah Asar, berkongsi rezeki. - Siri 2

Di tengah kesibukan berkempen, sempat singgah menunaikan solat Asar di Surau Parit Ulu sebelum menikmati minum petang bersama para jemaah.

Istimewanya, bu",279,222.0,13.0,7.0,positive,https://www.tiktok.com/@awanganakjeram/video/7658674071508471048,2026-07-08 18:32:55.389733+00:00
tiktok,"Jom join live sekarang ! 💪🏻🔥

#AwangAnakJeram
#OrangKitaAnakSimpangJeram
#SimpangJeramPilihOrangKita
#PerikatanNasional
#CalonNo4",276,243.0,5.0,5.0,positive,https://www.tiktok.com/@awanganakjeram/video/7660149988957211912,2026-07-08 18:33:00.212365+00:00
tiktok,"Jom Masuk Live Funwalk PASTI 
Kawasan Bakri Sekarang! 

#AwangAnakJeram
#JomJagaJohor",273,221.0,11.0,10.0,neutral,https://www.tiktok.com/@awanganakjeram/video/7658469328936848647,2026-07-08 18:33:10.654963+00:00
tiktok,"Jom Meriahkan Grand Finale PRN Johor 2026! 💙

Ayuh bersama kita hadir memeriahkan Grand Finale PRN Johor 2026 sebagai tanda sokongan kepada perjuangan demi masa depan Johor yang lebih baik.

Insya-All",249,210.0,5.0,16.0,positive,https://www.tiktok.com/@awanganakjeram/video/7660038609566747922,2026-07-08 18:33:02.624189+00:00
tiktok,"🎤 ""Kalau saya pengundi Simpang Jeram, memang saya undi dia lah.""

Terima kasih kepada Isham Jalil atas kesudian hadir dan menyampaikan ucapan dalam Ceramah Mega PRN DUN Simpang Jeram semalam.

Kata-ka",243,196.0,14.0,9.0,positive,https://www.tiktok.com/@awanganakjeram/video/7658993359855389960,2026-07-08 18:33:08.593806+00:00
