Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,2064112320146776177,"After a few years getting it going @StarStripesSeed will be closing June 30th. The related domains and handles will be available if anyone wants them. We considered switching to other types of seeds, but we've decided to focus on @Sementis420, EU/UK.
Blowout sale of what remains! https://t.co/p5o2fqHICD",https://x.com/breeder_steve/status/2064112320146776177,,,neutral,Mon Jun 08 22:28:21 +0000 2026,7,1,1,312,0.0,12,12.312,,
x,comment,2064118672126513232,"Stateside breeders (who are capable of export with phytosanitary paperwork), are welcome to list on https://t.co/3F01oXOXEP. We're just integrating the payment processing this week, by the fall we should have the site in full swing. We've really been wholesale-focused until now.",,https://x.com/breeder_steve/status/2064112320146776177,2064112320146776177,neutral,1780959215000,0,0,0,0,0.0,0,,Breeder Steve,0.0
x,post,2063083377117511827,"LAST DAY!!! Olive young summer sale 🙌

Close order hari ini jam 20.00 wib yaa",https://x.com/dypsell_kr/status/2063083377117511827,,,neutral,Sat Jun 06 02:19:41 +0000 2026,0,0,0,306,0.0,3,0.306,,
x,post,1831281892567695501,Intinya niatannya untuk menyudahi cekcok ngga berujung antara keduanya. Alhamdulillah setelah adegan ini semua clear kok. Kita semua sudah bersalam-salaman dan lanjut ke segmen terakhir dengan closing statement masing2.,https://x.com/chicohakim/status/1831281892567695501,,,neutral,Wed Sep 04 10:43:21 +0000 2024,4727,602,594,852121,0.0,14444,8565.121,,
x,comment,1831303949602935137,"@chicohakim ente juga kepancing, Bang...
sama dong berarti kelasnya sama si silfester kampungan ituh. 

contoh dong RG.
tetep kalem.

menunjukkan levelnya diatas si silfester kampungan ituh.",,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725451860000,38,3,29,0,0.0,131,,dedy,0.0
x,comment,1831284178236928087,"@chicohakim Tapi emang perlu dibuat berimbang seperti itu bang, biar selanjutnya bukan hanya dia yang berani main kasar. 

Jika dibiarkan orang macam itu gak akan tahu kalau sikap arogan seperti itu gak seharusnya dibawa di arena debat. Apalagi ditonton orang se negara. 

🙏",,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725447146000,271,5,13,0,0.0,320,,M u l a n,0.0
x,comment,1831290136950345902,@chicohakim Bang Chico sudah memberi contoh yang sebaik-baiknya dan melawan dengan sehormat-hormatnya,,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725448567000,0,0,0,0,0.0,0,,Rio Rama Baskara,0.0
x,comment,1831295958401032488,"@chicohakim Belain Mulyono sampe segitunya … 

ck ck ck (geleng2 kepala)",,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725449954000,128,0,9,0,0.0,155,,Preciosa Kanti,0.0
x,comment,1831289610359681357,@chicohakim Tak selayaknya kalah argumen malah nyolot dan bikin ribut. Iyain aja deh sipaling anak hukum banget wkwk,,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725448441000,85,0,11,0,0.0,118,,Rian Mangkunegoro,0.0
x,comment,1831322488359522408,"@chicohakim Belain mulyono sampe segitunya, heran… tahun depan diayam ayamin itu mulyono sama prabowo",,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725456280000,73,1,11,0,0.0,108,,Kim Jong Il Sung,0.0
x,comment,1831292922219868399,"@chicohakim Keren lo bang, salute.. dia tau org model RG gak bakal mau ngeladrnin fisik, jadinya digazz. Untung ada bang chico, blm tau dia... keren bang.",,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725449231000,47,1,1,0,0.0,52,,B 1 L L Y,0.0
x,comment,1831286997388058831,"@chicohakim Si silfester asli banget bang, dia mempertontonkan kebodohannya dan di tonton netizen lagi🤣🤣 GEBER AJA BANG",,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725447818000,38,0,0,0,0.0,38,,🇲🇨who am I🇯🇴,0.0
x,comment,1831286943700938972,"@chicohakim Makasih bang, sudah ikut bungkam tuh si sok jago. gak bisa adu argument sama Rocky malah ngumpet2 doang. Dikiranya dia doang yg bs ala preman. Lagian yg disebut Rocky kan kata ""narasumber"" (bisa banyak, siapa aja bs) eh dia malah mengakui sendiri. merasa kali ya 😂",,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725447805000,36,0,0,0,0.0,36,,°Knight | Free Palestine 🇵🇸,0.0
x,comment,1831293341843263782,"@chicohakim Ada sebab, ada akibat

Sebabnya Abang marah, akibat tingkah tengil narasumber yang memang sering ngaco itu. 

Jangan dipikirin Bang, maju terus untuk Indonesia 💪🇮🇩💪. Hal2 buruk setahun belakangan ini, memang bikin gemes.",,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725449331000,24,1,1,0,0.0,29,,AnakAyam,0.0
x,comment,1831285648596291756,@chicohakim Ah chicco kenapa tak kau hantam aja dia,,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725447496000,23,1,0,0,0.0,25,,inisisri,0.0
x,comment,1831307763311575477,@chicohakim Kasih paham bang,,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725452769000,14,0,1,0,0.0,17,,Pemburu Voucher Belanja Promo,0.0
x,comment,1831312011197559035,@chicohakim Klarifikasi Chico Hakim Soal Emosi Lihat Silfester Matutina di Balik Layar TV: Niatnya Menyudahi Cekcok https://t.co/5Oo5mRwdlg,,https://x.com/chicohakim/status/1831281892567695501,1831281892567695501,neutral,1725453782000,10,0,0,0,0.0,10,,Kilat.com,0.0
