Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,ywVniuXHTPk,"#rafiziramli , #rafizi , #datoserianwaribrahim, #anwaribrahim, #zahidhamidi , #dsai ,#perikatannasional​, #muhyiddinyassin​​​​​​​ ​​​​​​​, #zahaidhamidi , #tundrmahathirmohamad​​​​, #tunmahathirmohamad​​​​​​​, #muhyiddinyassin​​​​​​​​​​​​​​ , #mahathirmohamad​​​​​​​​​​​​​​​​​ , #tunm​​​​​​​​​​​​​​​​​,  #muhyiddinyassin​​​​​​​​​​​​​​​​​​  , #tansrimuhyiddinyassin​​​​​​​​​​​​​​​​​ , ​​#pm8​​​​​​​​​​​​​​​​​​​ , #datoserianwarterkini​​​​​​​​​​​​​​​​​​​​​ , #pkr​​​​​​​​​​​​​​​​​​​​ , #dsai​​​​​​​​​​​​​​​​​​​​, #zahidhamidi​​​​​​​​​​​​​​​​​​​​​​ , #azminali​​​​​​​​​​​​​​​​​​​​​​​​​ , #datoseriazminali​​​​​​​​​​​​​​​​​​​​​​​​  , #zahidhamidi​​​​​​​​​​​​​​​​​​​​​​​​​​​ ,#annuarmusa​​​​​​​​​​​​​​​​​​​​​​​​​​ , #anwaribrahim​​​​​​​​​​​​​​​​​​​​​​​​​​ , #tansrimuhyiddinyassin​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #tunm​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #muhyiddinyassin​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #datoserianwaribrahim​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #saifuddinnasution​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #azminali​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ . #datoseriazminali​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #pm9​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #tansrimuhyiddinyassin​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #zahidhamidi​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #ahmadzahid​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #tundrmahathir​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #tunm​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #mahathirmohamad​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #zaharinmohdyassin​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #najibrazak​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #bossku​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #datoserinajibrazak​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #azminalimahathir​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #tunm​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #anwaribrahim​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #iswardymorni​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #hwagorchannel​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #nazilinunity​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #dsai​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #iswardymorniterkini​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #muhyiddinyassin​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #beritaterkini​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ , #anwaribrahim​​​​​​​​​​​​​​​​​​​​​​ ,

Komen Pembaca
Segala komen yang dilontarkan oleh pembaca melalui akaun masing-masing adalah pandangan peribadi mereka sendiri. Segala risiko dan akibat yang terhasil melalui komen tersebut adalah tanggungan dan bebanan mereka sendiri.

Jangan Lupa Tekan SUBSCRIBE. Terima Kasih !
@Sofi Wahab Channel",https://www.youtube.com/watch?v=ywVniuXHTPk,,,neutral,2023-09-16T23:01:28+00:00,88,0,77,5074,0.0,215,324.074,,
youtube,post,ZlK0WycaL5M,Ceramah PAS Kawasan Pengkalan Chepa,https://www.youtube.com/watch?v=ZlK0WycaL5M,,,neutral,2022-11-08T04:24:36+00:00,74,0,27,4436,0.0,145,159.436,,
youtube,comment,Ugyca9jdQWjb_VwmmZh4AaABAg,minum milo duluuuu sblm meroyan..nnti tersasur xtntu arah..,,https://www.youtube.com/watch?v=ZlK0WycaL5M,ZlK0WycaL5M,neutral,3 years ago,3,0,0,0,0.0,300,,"{'id': 'UCN1r6qJHhCa6T0KfrPKjihw', 'name': '@Fadhil-mu3hj', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_ls0vhWs4kqy-095ZwSEOKuRHtVtFFeSy6EKZThk5nR5Rjjb1uecFchqRpuGMVIzmHYcw=s88-c-k-c0x00ffffff-no-rj'}",0.0
youtube,comment,UgwHSK1Ei9kt8XuqaCt4AaABAg,Tolak pengkhianat katak dan sekutunya.,,https://www.youtube.com/watch?v=ZlK0WycaL5M,ZlK0WycaL5M,neutral,3 years ago,1,0,0,0,0.0,100,,"{'id': 'UCF_NNTT9vr6aCQYwFQunhvQ', 'name': '@MdHasan-by6xt', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_kHg757a7IWR5-eoP931QCDUrMFuQjGCigp63pVsn0=s88-c-k-c0x00ffffff-no-rj'}",0.0
youtube,comment,UgxZQwDm8SuSsTHvj3h4AaABAg,Jangan ingat kami rakyat tak tahu,,https://www.youtube.com/watch?v=ZlK0WycaL5M,ZlK0WycaL5M,neutral,3 years ago,2,0,0,0,0.0,200,,"{'id': 'UCiNHzmI0kV6Av25-udA7SvA', 'name': '@atangango1765', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_nsZoYFHalv2yxHOt-HqLUOUcete5EjN5lveJnb8Rc=s88-c-k-c0x00ffffff-no-rj'}",0.0
youtube,post,bNiLMHVuJV0,"Bekas Ketua Pemuda UMNO Bahagian Ketereh, Afiq Amani Annuar menjelaskan tindakannya yang memakai jaket PAS pada majlis ceramah yang dihadirinya malam tadi adalah sebagai tanda sokongan terhadap Perikatan Nasional (PN).

Anak kepada Pengerusi Muafakat Nasional (MN), Tan Sri Annuar Musa itu berkata, setakat ini dia belum memikirkan hala tuju politik.

https://www.hmetro.com.my/mutakhir/2023/08/995715/pakai-jaket-pas-tanda-sokongan-pada-pn-sahaja-afiq-amani
------------------------------------------------------------------------
#HMETRO #METROTV
▪️ Berita terkini di http://www.hmetro.com.my",https://www.youtube.com/watch?v=bNiLMHVuJV0,,,neutral,2023-08-05T02:15:37+00:00,18,0,8,1806,0.0,44,43.806,,
youtube,comment,Ugzk6sGKqQEfbSLfYEF4AaABAg,Kahkahkah...😂😂😂. Ni semua syok sendiri. Bunga taknak kalung ke?,,https://www.youtube.com/watch?v=bNiLMHVuJV0,bNiLMHVuJV0,neutral,2024-06-20T00:00:00Z,3,0,0,0,0.0,300,,"{'id': 'UC7ibIRTr7TGG_KLeAaF4axQ', 'name': '@bosskur4363', 'thumbnails': [{'url': 'https://yt3.ggpht.com/XHhSEdo8Na8XEx9sxgb3I9fv-KKLAWj13q3BSVfScPW3yhwC9gWHjB8ZINLzCZ1AxcEJqRYcTw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgwyYEiPHMuUVW_YKp94AaABAg,Tak d calun terus keluar umno elok lah tu,,https://www.youtube.com/watch?v=bNiLMHVuJV0,bNiLMHVuJV0,neutral,2024-06-20T00:00:00Z,2,0,0,0,0.0,200,,"{'id': 'UC2841RvEg6zPC-8eXIqEVHw', 'name': '@ayrajasmeen1886', 'thumbnails': [{'url': 'https://yt3.ggpht.com/0275s3OeLPaQqS_fiNKcFEhGTuwLsnLGcYTIjMWKpkdBHMNOa8P6XMFpo9Fx-fxt9IepPbVj=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgzHJWJ0ohP2LECbYb54AaABAg,Habis Lah ketereh umno oh umno 😢😊😅,,https://www.youtube.com/watch?v=bNiLMHVuJV0,bNiLMHVuJV0,neutral,2024-06-20T00:00:00Z,0,0,0,0,0.0,000,,"{'id': 'UCNCNn8IWBfTrcDunMoR6-YA', 'name': '@abdamins.a.hajamuddin2415', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lTVYVHckx61muGmTFfEu1IrO0Px96-4A9NJ7TxuV4=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugx_U5M5e8ugxcv_cjx4AaABAg,"Kalau kamu tak berada dalam UMNO, tengoklah nanti, kamu akan terus tenggelam dalam lubuk politik dan tidak ada keistimewaan.",,https://www.youtube.com/watch?v=bNiLMHVuJV0,bNiLMHVuJV0,neutral,2024-06-20T00:00:00Z,1,0,1,0,0.0,111,,"{'id': 'UCOhZwcZXoNNcvLz-x6QiBgg', 'name': '@sagabeji4780', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_naVtQgGqLR2mEJBYsUptJWeahbG_5vnBCPaDOqBcwUdRBL6bJjSCLq-kGRbS6uIBwmZQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
