Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,O2KcyHgHYqE,NEGERI SEMBILAN PORT DICKSON KHAIRUL JAZIMIN,https://www.youtube.com/watch?v=O2KcyHgHYqE,,,neutral,2026-01-16T06:09:51.000Z,1,0,0,47,0.0,1,1.047,,
youtube,post,TYvNsQZxUa4,"Timbalan Presiden Umno, Mohamad Hasan menyatakan mesyuarat malam tadi hanya membincangkan mengenai Muafakat Nasional dan bukan Pakatan Nasional.

""Pakatan Nasional itu apa? Tak tahu pula saya, tak pernah bincang pasal Pakatan Nasional, kita Muafakat Nasional."" 

Bekas menteri besar Negeri Sembilan itu berkata demikian, ketika ditemui selepas mesyuarat Jawatankuasa Induk Perunding Muafakat Nasional di Menara Dato Onn, Kuala Lumpur, lewat malam tadi.

Sementara itu, Umno belum membuat sebarang keputusan berhubung usul menyokong Perdana Menteri Dr Mahathir Mohamad yang akan dibawa PAS pada sidang Parlimen Mac ini.

Bagaimanapun menurut Mohamad Hasan, beliau telah dimaklumkan mengenai perkara itu oleh Timbalan Presiden PAS, Tuan Ibrahim Tuan Man.

Jelasnya lagi, perkara itu akan dibawa kepada pengetahuan parti dan pendirian mengenainya akan dibuat bila tiba masanya.

Turut hadir sama dalam mesyuarat itu adalah Tuan Ibrahim dan Setiausaha Agung Umno, Annuar Musa serta Setiausaha Agung PAS, Takiyuddin Hassan.",https://www.youtube.com/watch?v=TYvNsQZxUa4,,,neutral,2020-02-11T04:38:35.000Z,47,0,22,6118,0.0,130,119.118,,
youtube,comment,UgwtiwGvqICLubIyhZ94AaABAg,Tanya zahid pankat peluk mahatdir  buat letih je😃,,https://www.youtube.com/watch?v=TYvNsQZxUa4,TYvNsQZxUa4,neutral,2020-06-10T00:00:00Z,0,0,0,0,0.0,000,,"{'id': 'UCOoLqlo5mL74SVNSgQfeNAg', 'name': '@ibrahimana7972', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nfUL12T6DmhLjHQrqEAZggJDdBnoIdtML5WkOxMw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugyyl1YCzTAcN-OFtb94AaABAg,"Persoalannya, umnuu masih wujud lagikah? Dan pis masih relevan lagikah? 

Sebenarnya dua parti ni nampak saja macam besar dan gah, sebenarnya mereka sedang kucar kacir dan berantakan juga sesama sendiri, mereka nampak ramai kerana media sosial yang mereka gunakan setiap hari dengan provokasi isu perkauman dan fitnah-fitnah jahat, thats all, 

Sebenarnya takdelah kuat mana pon... 😁",,https://www.youtube.com/watch?v=TYvNsQZxUa4,TYvNsQZxUa4,neutral,2020-06-10T00:00:00Z,0,0,0,0,0.0,000,,"{'id': 'UCHzqw6pWG7RLP9Sw74qGxNw', 'name': '@awakenmind320', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_m6GWkYxQFNWx2KQvuep6S2E1zng5moI1RfafBVxe7F9ZA=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugy2Giiy7Q56P279lLd4AaABAg,"Muafakat sgtlah BN ini nak hapuskan hak undi org cina. Hahahaha.
Kalau korg undi PH PRU 13 kan dah selesai masalah? Malah kebajikan mahasiswa juga terjaga.",,https://www.youtube.com/watch?v=TYvNsQZxUa4,TYvNsQZxUa4,neutral,2020-06-10T00:00:00Z,0,0,0,0,0.0,000,,"{'id': 'UCoZ_p5oK_bK7j70Oe9DGguQ', 'name': '@zerakyuusama3754', 'thumbnails': [{'url': 'https://yt3.ggpht.com/aJ8H-Q7sTnuTItEOfFHme5hqk_Dp1A29ydCORL7igKI-g-7dY-1U_oZ8hvRQvAYeEmAtix36KIE=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugwe9tf8yiAhchfpEw94AaABAg,MuAFarker Najisiol ade lah,,https://www.youtube.com/watch?v=TYvNsQZxUa4,TYvNsQZxUa4,neutral,2020-06-10T00:00:00Z,0,0,0,0,0.0,000,,"{'id': 'UCL049eughZP6MD4hLGMwz-w', 'name': '@jasonmoo4177', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_k0ZgealXrptq6YTEtRebTfegbKp4bDmPZs1s00xhY=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,post,h6zx1nTxf5A,"Perikatan Nasional failed to win a single parliamentary seat in Negeri Sembilan at the 2022 general election. 

Read More: 
https://www.freemalaysiatoday.com/cat... 

Laporan Lanjut: 
https://www.freemalaysiatoday.com/cat...

Free Malaysia Today is an independent, bi-lingual news portal with a focus on Malaysian current affairs.  

Subscribe to our channel - http://bit.ly/2Qo08ry  
------------------------------------------------------------------------------------------------------------------------------------------------------
Check us out at https://www.freemalaysiatoday.com
Follow FMT on Facebook: http://bit.ly/2Rn6xEV
Follow FMT on Dailymotion: https://bit.ly/2WGITHM
Follow FMT on Twitter: http://bit.ly/2OCwH8a 
Follow FMT on Instagram: https://bit.ly/2OKJbc6
Follow FMT on TikTok : https://bit.ly/3cpbWKK
Follow FMT Telegram - https://bit.ly/2VUfOrv
Follow FMT LinkedIn - https://bit.ly/3B1e8lN
Follow FMT Lifestyle on Instagram: https://bit.ly/39dBDbe
------------------------------------------------------------------------------------------------------------------------------------------------------
Download FMT News App:
Google Play – http://bit.ly/2YSuV46
App Store – https://apple.co/2HNH7gZ
Huawei AppGallery - https://bit.ly/2D2OpNP

#FMTNews #EddinSyazleeShith #PerikatanNasional #NegeriSembilan",https://www.youtube.com/watch?v=h6zx1nTxf5A,,,neutral,2023-03-26T04:34:53.000Z,35,0,41,10286,0.0,178,168.286,,
youtube,comment,UgzdHj5sKS71oY2lMF54AaABAg,Rakyat pengkhianat tebuk atap VS rakyat kerajaan perpaduan untuk PRN 😁😁🤣🤣🤣,,https://www.youtube.com/watch?v=h6zx1nTxf5A,h6zx1nTxf5A,neutral,2023-06-10T00:00:00Z,5,0,0,0,0.0,500,,"{'id': 'UC8D3zrrGltbIJ2Lz08MocaA', 'name': '@bikabika4981', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_l6LfiGUOovI1gGphSJuRe0J78AzT4UMRYC_hyCjtiSi8XqkNILzrxpVmBSvC9ns51YqA=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugxf1VBAsQmIhd8byah4AaABAg,Syabas Negeri Sembilan.,,https://www.youtube.com/watch?v=h6zx1nTxf5A,h6zx1nTxf5A,neutral,2023-06-10T00:00:00Z,5,0,0,0,0.0,500,,"{'id': 'UC73jZC6D8daMdCc2N7M_tmA', 'name': '@mohmeegaik6686', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_m0bYVAk2qveuqCzjU0LwGKGuzOH7P2RMe8YNsT0es=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugy32FICs0mRW66RJ-R4AaABAg,Perikatan Nasional kena sedar. Tu kubu Kuat Tok Mat.... mau nak lawan dia tu haha,,https://www.youtube.com/watch?v=h6zx1nTxf5A,h6zx1nTxf5A,neutral,2023-06-10T00:00:00Z,13,0,7,0,0.0,1377,,"{'id': 'UCQEe6cp9K-FA-93tNQRkfrA', 'name': '@hashimmahamerul8857', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nHiVKKx63kgNCXMNGOrlpyqoOareLQYpSjHFXoA_QQCQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
