Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,vP9V3GhJhu0,"Prime Minister Tan Sri Muhyiddin Yassin has called on the public to bear with him and the newly-minted Perikatan Nasional government as they are doing their best to pull the nation through the Covid-10 crisis.

“This government might not be the government that you voted for. But I want all of you to know that this government cares for you.

“And this unprecedented situation, of course, requires unprecedented measures,” he said when announcing an enhanced stimulus package that will pump in billions of ringgit more to boost the economy and support the people.

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline",https://www.youtube.com/watch?v=vP9V3GhJhu0,,,neutral,2020-03-27T12:08:55.000Z,369,0,49,18413,0.0,602,534.413,,
youtube,post,UWOs0AHgGWY,Tan Sri Muhyiddin Yassin closes 4th UMNO International Forum,https://www.youtube.com/watch?v=UWOs0AHgGWY,,,neutral,2013-12-03T07:17:46.000Z,2,0,0,285,0.0,4,2.285,,
youtube,post,_EeOUrUTyco,"Perikatan Nasional chairman Tan Sri Muhyiddin Yassin has denied Tun Dr Mahathir Mohamad’s claims that he had stolen party funds and kept the money at home. 

Muhyiddin, who is also the Bersatu president, said the allegation was based solely on speculation and false information provided by irresponsible parties.

Read more at https://tinyurl.com/mr2774xx

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline",https://www.youtube.com/watch?v=_EeOUrUTyco,,,neutral,2025-12-13T11:48:43.000Z,26,0,16,6488,0.0,106,80.488,,
youtube,post,wbPwcCBuDKY,"Malaysia's opposition coalition is in turmoil, after a wave of resignations led by Muhyiddin Yassin. The former prime minister has said he is stepping down as the chief of Perikatan Nasional on Jan 1. It is unclear who will take over as chairman. PN secretary-general Azmin Ali also announced his resignation, noting that his appointment to the post was under the authority of Mr Muhyiddin as bloc leader. The PN chiefs in the states of Johor, Perak and Negeri Sembilan have made similar announcements. Afifah Ariffin reports from Kuala Lumpur.",https://www.youtube.com/watch?v=wbPwcCBuDKY,,,neutral,2025-12-30T12:51:38.000Z,180,0,89,49043,0.0,759,496.043,,
youtube,comment,UgxbI1EG-DByb2G4m8N4AaABAg,All jokers,,https://www.youtube.com/watch?v=wbPwcCBuDKY,wbPwcCBuDKY,neutral,2026-01-10T00:00:00Z,15,0,0,0,0.0,1500,,"{'id': 'UCsZfr6_1LbPbGS5FZo7jRIA', 'name': '@justiceman2447', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_l8eo8-U6Hq182HvGSivhWsfhg3pOCinNGPXomA3iYdj_2Aq9hR3pP-TUmOw-mA8K_Hzw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgyySliuggWQ9UcUX4F4AaABAg,Good..,,https://www.youtube.com/watch?v=wbPwcCBuDKY,wbPwcCBuDKY,neutral,2026-01-10T00:00:00Z,16,0,0,0,0.0,1600,,"{'id': 'UCcHwHEOFj7nAhYv5npqlZyA', 'name': '@ranjitsinghrandhawa7010', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lMReiIHuoFMCXp6ByLC5UWoBtjuYV4BWE5cCClYDA=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgzVNdHfryDkyMLa8m94AaABAg,All this scammer are treated like a  hero of the world.. what is happening ??,,https://www.youtube.com/watch?v=wbPwcCBuDKY,wbPwcCBuDKY,neutral,2026-01-10T00:00:00Z,11,0,1,0,0.0,1111,,"{'id': 'UC4HIvznZNA7iCn0rE3YDC0A', 'name': '@johnny274-W8n', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_mdrjj-puyucbsLA2eU_Y7W1XlrVWvqgmRe2Eksb5w=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgwZTG1XTlz2LERWx1B4AaABAg,as an outsider watching malaysia politics over the last ten years was an interesting rollercoaster,,https://www.youtube.com/watch?v=wbPwcCBuDKY,wbPwcCBuDKY,neutral,2026-01-10T00:00:00Z,1,0,1,0,0.0,111,,"{'id': 'UCg7sYMojePiPD4A0JRciNBQ', 'name': '@theanalyst2018', 'thumbnails': [{'url': 'https://yt3.ggpht.com/8de5l-bH6XyzI7mvJluDUmS-hJS6UNjPB729Uo571wq1eW2_uhYGRvdNsUPRyxxFq1VEELUCkk4=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugx4rE93tYK-JcpB-HZ4AaABAg,"Resign now, not 1 jan. Did you hope ppl will cry atgentin so you wont resign?",,https://www.youtube.com/watch?v=wbPwcCBuDKY,wbPwcCBuDKY,neutral,2026-01-10T00:00:00Z,6,0,0,0,0.0,600,,"{'id': 'UCBKiKAcZ2k4Ojrx4bb9Y8yA', 'name': '@iibm-l4q', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_kiGH87IvcmVb9X4G_kyyLgCCB8whdL-ygtzi96vIZ9MhkocTDMUGznFoaYjn9fzJ-NRg=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgyPBymnPdNzRASRIKF4AaABAg,"As a Malaysian, I can say that Malaysia political dramas are of the highest quality and standard as a Hollywood movie, if not at least better than Netflix😊",,https://www.youtube.com/watch?v=wbPwcCBuDKY,wbPwcCBuDKY,neutral,2026-01-10T00:00:00Z,1,0,2,0,0.0,122,,"{'id': 'UCDQxNzYfp1YWMR7AhzHONTg', 'name': '@gabriellin1352', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nxD7eTXBA5iUaLZmCQrPDXyKw9eMZ7JKRriegncRoCnn_XRrAEQ7ckpgil4YDZdF1_DQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
