Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,1690013186148212736,"Saya merayu kepada rakyat Kedah, Kelantan dan Terengganu untuk berani buat perubahan dengan mendukung gabungan perpaduan. 

Kepada warga Pulau Pinang, Selangor dan Negeri Sembilan pula mari bersama kita kekalkan kerajaan perpaduan di negeri ini yang jelas telah berikan komitmen terbaik buat rakyat terbanyak.

Beri mandat jelas dan kukuh kepada PH-BN untuk bawa agenda yang lebih baik buat semua kaum di negara ini.

Insya-Allah, mandat yang diberikan akan kami pikul dengan penuh amanah dan tanggungjawab.

#MalaysiaMADANI
#GelombangPerpaduan
#TolakFitnah",https://x.com/anwaribrahim/status/1690013186148212736,,,neutral,2023-08-11T14:51:57+00:00,9272,2816,470,958173,0.0,22139,17272.173,,
x,comment,1690037891081117696,"@anwaribrahim No sir, sorry. 
We are changing Selangor instead.",,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691771407000,336,15,87,0,0.0,627,,دارويش روسلن,0.0
x,comment,1690033486034616320,@anwaribrahim Memang ramai kt Sg Petani malam ni. Org SP malam raya baru keluaq dengaq ceramah. 🤣😀👍 https://t.co/BGVPCRBy3a,,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691770357000,245,22,3,0,0.0,298,,Heisenberg,0.0
x,comment,1690090368405241856,@anwaribrahim Meanwhile at permatang pauh 💪 https://t.co/4zDoo2R0Bd,,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691783918000,201,26,4,0,0.0,265,,D3q Arn ❤️🇵🇸💪,0.0
x,comment,1690023067769327616,"@anwaribrahim Begiltu juga dengan Selangor, Penang Dan Negeri Sembilan, masa utk berubah dari cengkaman DAP",,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691767873000,209,6,40,0,0.0,341,,Amin,0.0
x,comment,1690019332343185408,"@anwaribrahim Semoga Alloh memberi kemenangan kepada PH-BN di semua negeri bertanding esok,aminnn...",,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691766982000,197,6,8,0,0.0,233,,Muhammad,0.0
x,comment,1690027056892100608,@anwaribrahim Selamat mengundi https://t.co/ioQ6Y8JGJ5,,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691768824000,134,16,1,0,0.0,169,,Ibrahim Ujar,0.0
x,comment,1690079703233888256,@anwaribrahim Sokongan di Permatang Pauh pada malam raya ☺️ https://t.co/yrsCwGkoNu,,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691781376000,132,13,7,0,0.0,179,,Madame Nur,0.0
x,comment,1690016350578659328,"@anwaribrahim Kekalkan PAS-PN di Ktan Terengganu dan Kedah sbg imbangan kuasa Federal yg dkuasai PKR Umno DAP. 

SEK KITA JANGE PECOH!",,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691766271000,148,5,13,0,0.0,197,,Shah,0.0
x,comment,1690027949335162880,"@anwaribrahim The one and only rayuan yg aku boleh percaya spjg hidup dlm politik malaysia ni. Sebab apa? Sebab boleh dik. Hahah sebab nmpk pergerakan kepimpinan dan kerja kerja yg mendatangkan hasil. Bukan janji seladar janji. Dgn rangka masa mandat yg diberi, tdk mustahil utk ramal kejayaan",,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691769036000,108,4,6,0,0.0,134,,IcedCoffee,0.0
x,comment,1690047103412924416,@anwaribrahim Jatuh air muka anwar woo kalau gini sambutanya terhadap sanusi. Baru ja 3 tahun memerintah. Macam² pembangunan untuk rakyat dah terlaksana. https://t.co/xWkEhVqMms,,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691773603000,99,6,13,0,0.0,150,,Stay AThome,0.0
x,comment,1690023632473579520,"@anwaribrahim Semoga rakyat Kelantan memberi sokongan utk sama2 seiring sejalan bersama Kerajaan Perpaduan. Ayuh rakyat KELANTAN, kali ini kita ubah menjadikan negeri yang lebih maju dan bermaruah.",,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691768007000,72,13,4,0,0.0,110,,Hantamsajalah Channel,0.0
x,comment,1690036504087998464,"@anwaribrahim Okie fine! Tho the chance for Terengganu winning kinda slim, but I’ll make my vote count thennn!✨😭",,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691771076000,64,1,2,0,0.0,72,,cheeseycheesey 🏴🏴🏴,0.0
x,comment,1690061617910939650,"@anwaribrahim Maaf Dato' sy hanya mengundi brgantung wakil rakyat &amp; ahli2 nya di tmpt sy  dimana dia menjalankan tanggungjawabnya  yg sblum ini... 
kalau seblum ini xde effort nk tolg rakyat tmpt sndiri... bagaimana kami org muda nk menyokong, tp jika wakil rakyat yg dicalon bagus.. insyaallah",,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691777064000,50,6,3,0,0.0,71,,Move On,0.0
x,comment,1690119998298361859,"@anwaribrahim Tudiaaa... Sampai nak kena merayu tuu... Beragak la skit kan.. 8 bulan bukti sudah ada.. takkan nak tambah lagi kan.. cukup² la dengan apa yg dah kami hadap.. Terima kasih DSAI atas 8 bulan yang terseksa.. In Sha Allah, bumi Malaysia akan dipimpin oleh pemimpin yang benar..",,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691790983000,58,1,31,0,0.0,153,,Zaid Adli Zaki,0.0
x,comment,1690024961363378178,"@anwaribrahim @fahmi_fadzil Esok, rakyat di 6 negeri akan mempamerkan kepada dunia &amp; pelabur sama ada mereka memilih perpaduan atau ekstrimism.",,https://x.com/anwaribrahim/status/1690013186148212736,1690013186148212736,neutral,1691768324000,49,4,2,0,0.0,63,,ANTMAN,0.0
