Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,nGncpTW7FdQ,"Kenyataan Menteri Besar Johor,  Onn Hafiz Ghazi yang menolak kerjasama dengan DAP selepas Pilihan Raya Negeri akan datang mengundang reaksi daripada pemimpin DAP Johor.

Naib Pengerusi DAP Johor, Sheikh Umar Baghraib Ali mendakwa kenyataan tersebut bersifat angkuh dan seolah-olah melupakan sejarah kerjasama politik yang pernah berlaku sebelum ini.

Menerusi hantaran di Facebook, Sheikh Umar mengingatkan bahawa Onn Hafiz pernah meminta bantuan jentera DAP ketika Pilihan Raya Kecil Dewan Undangan Negeri Mahkota pada September 2024.",https://www.youtube.com/watch?v=nGncpTW7FdQ,,,neutral,2026-06-08T05:03:28+00:00,141,0,179,16906,0.0,489,694.906,,
youtube,comment,Ugz7DlzJLKrh9nMKSFp4AaABAg,Skrg masih ONN la budak MB Johor tu... Nnti lps PRN Off la UMNO Johor... Berlagak sgt nmpkkkk...,,https://www.youtube.com/watch?v=nGncpTW7FdQ,nGncpTW7FdQ,neutral,12 days ago,18,0,0,0,0.0,1800,,"{'id': 'UCR8vhccsw6LlkSSz-49S0Kw', 'name': '@KcKc-v4d', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_mo-ngw2iXTjilc4X3R9TWfKMVubJaaWmP-E9AYx2N-KkwGfZ7Ck2wgooJGVstqf0wbRw=s88-c-k-c0x00ffffff-no-rj'}",0.0
youtube,comment,UgxGYVlzR7yCxLM7Q1R4AaABAg,Bagai kacang lupakan kulit..,,https://www.youtube.com/watch?v=nGncpTW7FdQ,nGncpTW7FdQ,neutral,12 days ago,10,0,0,0,0.0,1000,,"{'id': 'UCdm_q7RjbS3lMADBY58OpJg', 'name': '@mcmltr', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_nJoaaeaqXmzlNuCW3SLWqQ-yKu31jJKD0_rBwbZ3w=s88-c-k-c0x00ffffff-no-rj'}",0.0
youtube,comment,UgyRCqhYelPP7zczABx4AaABAg,Umno ingat rakyat dah lupa mereka ini la pemusnah Dan perompak berkroni,,https://www.youtube.com/watch?v=nGncpTW7FdQ,nGncpTW7FdQ,neutral,11 days ago,4,0,0,0,0.0,400,,"{'id': 'UCYlZFmypmOmLwyEkg2fZJQA', 'name': '@benlimkimheng7322', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_k72kUK-NdEdKfvEjJEUjhKu5jOpxP8mcXuVAfdnchHTvhLLwVeyihENTDtYpKNM5EVmA=s88-c-k-c0x00ffffff-no-rj'}",0.0
youtube,comment,Ugx8s9POytNudRcZOmt4AaABAg,Bila makan tahi.. Bila berak keluar cirit..,,https://www.youtube.com/watch?v=nGncpTW7FdQ,nGncpTW7FdQ,neutral,11 days ago,2,0,0,0,0.0,200,,"{'id': 'UCHVRgwxch7rKg8xbM9eNhGw', 'name': '@kamarbasah8209', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_kjX2vrg4OyQV2VMOum4fdoMfsRbPV3h0Fcm_Ul72k=s88-c-k-c0x00ffffff-no-rj'}",0.0
youtube,comment,Ugz7FYoisTb0U-HW2tJ4AaABAg,"Patutlah PMX ada gelar seseorang itu budak-budak. Bak pepatah Hokkien, ""Anak burung belum kenal lastik""",,https://www.youtube.com/watch?v=nGncpTW7FdQ,nGncpTW7FdQ,neutral,12 days ago,21,0,11,0,0.0,211111,,"{'id': 'UCeZSP7Ar5Fz1Ee1jClRBglw', 'name': '@inspiredlife9315', 'thumbnails': 'https://yt3.ggpht.com/bIO947mb71ndLcW7RcWeEpm2yYy7dg5eh3wOv-wA6Jr5FaRXNjrvBW9xbyZuBsTggJV1nEQ9aA=s88-c-k-c0x00ffffff-no-rj'}",0.0
youtube,comment,UgyHJgXCSKjmiGZ7Ijd4AaABAg,Tolak DAP?  Ermm.. membongak jor kojor.,,https://www.youtube.com/watch?v=nGncpTW7FdQ,nGncpTW7FdQ,neutral,12 days ago,11,0,0,0,0.0,1100,,"{'id': 'UCzP1rcal6HYuWtxzBDxAASA', 'name': '@badrulzamanmahyuddin4721', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_kuJ-xEhvMbwnaVIhwhpsOtd6kE5-1ISedqfq-30Es=s88-c-k-c0x00ffffff-no-rj'}",0.0
youtube,comment,Ugyh4dZXzVOj2seRKFl4AaABAg,Ni semua hipocrite mementingkan diri.  Talam berpuluh muka.,,https://www.youtube.com/watch?v=nGncpTW7FdQ,nGncpTW7FdQ,neutral,12 days ago,18,0,0,0,0.0,1800,,"{'id': 'UCyNFr0Wzw3raimd5mPJ9POg', 'name': '@kilat1956', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_n_BRxtUol-UDbTXRKj8BCkrSZ1xi9uGyqIFBfS9fyxCgD3G2U9ZA_KFpK5RUgI6u89Jw=s88-c-k-c0x00ffffff-no-rj'}",0.0
youtube,comment,UgwSWptxk5If6iOXO1Z4AaABAg,Klu pasal duit biasa lah tu dalam politik,,https://www.youtube.com/watch?v=nGncpTW7FdQ,nGncpTW7FdQ,neutral,11 days ago,3,0,0,0,0.0,300,,"{'id': 'UCtlsUryrRqzMUEIs-iP6k3Q', 'name': '@AbdLatif-nf5vc', 'thumbnails': 'https://yt3.ggpht.com/ytc/AIdro_lN1r14JyVE1HV827fOA4jwcUpML9JATe2vub3wBZwgdO1_u1mEpcWHSejRd9oj5lcaaA=s88-c-k-c0x00ffffff-no-rj'}",0.0
youtube,post,nTmj9AvUIVU,"SELEPAS ADUN DAP Marina Ibrahim Umum Undur Diri, Begini Reaksi Pengerusi DAP Johor Teo Nie Ching!

DAP Johor mendedahkan parti itu merancang memindahkan Adun Skudai, Marina Ibrahim, ke sebuah kerusi bandar pada PRN Johor akan datang, dengan jawatan pengerusi badan berkanun disediakan sebagai pelan sandaran. Pengerusi DAP Johor, Teo Nie Ching, berkata Marina dilihat sebagai calon paling berpotensi untuk menggalas misi parti meluaskan pengaruh ke kawasan bukan tradisi DAP. Pada masa sama, beliau melahirkan rasa kesal terhadap keputusan Marina untuk bersara daripada politik aktif.




















#dramajor #marinaibrahim #teonieching",https://www.youtube.com/watch?v=nTmj9AvUIVU,,,neutral,2026-06-01T00:58:50+00:00,61,0,101,6972,0.0,231,370.972,,
