Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,author,author_followers,sentiment_label,sentiment_confidence,detected_language,demographic,emotion_primary,emotion_anger,emotion_fear,emotion_happy,emotion_sadness,emotion_love,emotion_surprise
facebook,post,,,https://www.facebook.com/MCAOfficial,,,neutral,2026-06-21 02:31:34.400012+00:00,0,0,0,0,0.5,0,,,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
facebook,post,1310117304622173,"SELAMAT MAJU JAYA KONTINJEN SRITI N9 KE MAIS SRITI MALAYSIA 2026

Selesai Majlis Perlepasan Kontinjen Sekolah Rendah Integrasi Teras Islam - SRITI Negeri Sembilan ke MAIS SRITI Malaysia 2026 di Kedah. Semoga semua peserta beroleh kemenangan dalam setiap acara yang dipertandingkan.

Terima kasih kepada Guru & Ibu bapa yang telah banyak berkorban dan menyumbang dalam setiap latihan yang dijalankan. Semoga semua selamat pergi dan balik. 

InsyaAllah SRITI N9 komited & optimis akan merangkul Johan Keseluruhan pada tahun ini!

#SRITIMalaysia
#SRITINegeriSembilan
#TerusMemimpin
#PemudaPAS",https://www.facebook.com/pemudapasnegeri9/posts/pfbid02gUirwK5HNKKdCmKjAuQuiMm8HK7VRbpxcr5RvTZLUG8ELk8tgn7xNFtUwZCEQqmVl,,,positive,2026-06-20 15:05:54+00:00,5,0,0,0,0.9993887782096862,5,,,positive,0.9979625940322876,malay,Malay/Bumiputera,happy,0.04983258247375488,0.05278230831027031,0.5953717231750488,0.023084701970219612,0.08744429796934128,0.024968663230538368
facebook,post,1309657798001457,"🌟 SELAMAT MAJU JAYA KONTINJEN SRITI NEGERI SEMBILAN 🌟

Seluruh warga SRITI Negeri Sembilan merakamkan setinggi-tinggi ucapan Selamat Maju Jaya kepada para peserta, guru pembimbing dan pengiring yang mewakili negeri dalam Mahrajan Amal Islami SRITI Malaysia (MAIS) Kali Ke-8 Tahun 2026.

Semoga setiap langkah dipermudahkan, setiap usaha diberkati dan setiap pengorbanan membuahkan kejayaan yang membanggakan. Tampilkanlah akhlak yang terbaik, semangat ukhuwah yang tinggi serta kesungguhan yang luar biasa sepanjang pertandingan berlangsung.

🏆 Menang dengan rendah hati, berjuang dengan penuh berani. 🌹 Jadilah duta kecil Islam yang membawa imej cemerlang SRITI Negeri Sembilan di pentas kebangsaan.

🤲 Doa Kami: ""Ya Allah, kurniakanlah kepada anak-anak SRITI Negeri Sembilan ketenangan hati, kekuatan semangat, kecerdasan fikiran dan keyakinan diri. Permudahkan urusan mereka, lapangkan dada mereka dalam menghadapi setiap cabaran serta anugerahkanlah kejayaan yang terbaik di dunia dan akhirat. Aamiin Ya Rabbal ‘Alamin.""

""Berusaha dengan ikhlas, bertanding dengan beradab, pulang membawa kejayaan.""

#SRITINegeriSembilan #MAIS2026 #KontinjenSRITINS #SelamatMajuJaya #GenerasiRabbani #SRITIMalaysia",https://www.facebook.com/pemudapasnegeri9/posts/pfbid027AMkA59vxLz1kBW79Fu2XLp1ZwZmnpZTfHQvuvbjd7cUp1ajWoCBEsoEdDeBB1tZl,,,positive,2026-06-20 01:49:34+00:00,2,1,0,0,0.9994082152843475,3,,,positive,0.9980273842811584,malay,Malay/Bumiputera,happy,0.03482148423790932,0.047551557421684265,0.5659148097038269,0.026562949642539024,0.15399833023548126,0.029220549389719963
facebook,post,1306867041613866,"SALAM MAAL HIJRAH 1448H

“Sesungguhnya Allah tidak akan mengubah nasib sesuatu kaum sehingga mereka mengubah apa yang ada pada diri mereka sendiri.”
(Surah Ar-Ra’d: 11)

Dewan Pemuda PAS Negeri Sembilan mengucapkan Selamat Menyambut Maal Hijrah 1448H kepada seluruh umat Islam.

Hijrah bukan sekadar perpindahan tempat, tetapi perubahan jiwa, fikrah dan perjuangan ke arah yang lebih diredai Allah SWT. Semangat hijrah Rasulullah SAW mengajar kita tentang pengorbanan, kesabaran, kesatuan ummah dan keazaman mempertahankan agama di tengah cabaran zaman.

Marilah kita menjadikan tahun baharu Hijrah ini sebagai titik permulaan untuk memperkukuhkan iman, memperteguh ukhuwwah, memperbanyak amal soleh serta meneruskan perjuangan menegakkan Islam dengan penuh hikmah, istiqamah dan keberanian.

Hijrah Membina Ummah, Istiqamah Memacu Kemenangan.

Dewan Pemuda PAS Negeri Sembilan
Memimpin Anak Muda, Membina Negeri Sejahtera

#SalamMaalHijrah1448H
#PemudaPASNismilan
#PemudaPAS
#TerusMemimpin",https://www.facebook.com/pemudapasnegeri9/posts/pfbid0qDnXLHZwP1ifJu7nT5SSAdvSV7chJkxGsL2kXSMFqbcTcm9ChMa65hNX2nEpRUSBl,,,positive,2026-06-16 14:59:00+00:00,22,1,1,0,0.9993292689323425,24,,,positive,0.9977642297744751,malay,Malay/Bumiputera,love,0.04730398207902908,0.04016164690256119,0.18384979665279388,0.05533107370138168,0.45554986596107483,0.03749838098883629
facebook,comment,Y29tbWVudDoxMzA2ODY3MDQxNjEzODY2XzE0NzI1NjcxMzc4ODYyMjg=,,,https://www.facebook.com/pemudapasnegeri9/posts/pfbid0qDnXLHZwP1ifJu7nT5SSAdvSV7chJkxGsL2kXSMFqbcTcm9ChMa65hNX2nEpRUSBl,pfbid0qDnXLHZwP1ifJu7nT5SSAdvSV7chJkxGsL2kXSMFqbcTcm9ChMa65hNX2nEpRUSBl,neutral,2026-06-16 21:40:56+00:00,0,0,0,0,0.5,0,Ismail Mahat,0.0,neutral,0.0,unknown,Unknown,neutral,0.0,0.0,0.0,0.0,0.0,0.0
facebook,post,1547413820066091,"Tengahari tadi berjumpa dengan semua kepimpinan Parti2 Komponen BN Negeri Sembilan serta Pengerusi2 BN peringkat Parlimen.

Berbincang berkenaan susunan gerak kerja BN NS untuk menghadapi PRN Ns yang akan diadakan tak berapa lama lagi..",https://www.facebook.com/TokMatHasanN9/posts/pfbid027FP9CdWfVtJCuRosQnboXem31gAs2stACiHYzhRrNMKGNeFVzG8yAC59tH6cuyx4l,,,negative,2026-06-18 11:39:27+00:00,2451,108,309,0,0.008116042613983132,2868,,,negative,0.9729465246200562,malay,Malay/Bumiputera,no_clear_emotion,0.01441214419901371,0.033791884779930115,0.03649019077420235,0.012782459147274494,0.028488969430327415,0.14274536073207855
facebook,comment,Y29tbWVudDoxNTQ3NDEzODIwMDY2MDkxXzIwMjI3MDIwNTUwMTAzODE=,Tok mat ambik balik la Nismilan…aminudin x reti tadbir,,https://www.facebook.com/TokMatHasanN9/posts/pfbid027FP9CdWfVtJCuRosQnboXem31gAs2stACiHYzhRrNMKGNeFVzG8yAC59tH6cuyx4l,pfbid027FP9CdWfVtJCuRosQnboXem31gAs2stACiHYzhRrNMKGNeFVzG8yAC59tH6cuyx4l,neutral,2026-06-18 12:26:08+00:00,53,0,35,0,0.5,123,Aliff Imran,0.0,neutral,0.8607809543609619,english,Mixed/Urban,anger,0.31722259521484375,0.2411641925573349,0.0452699214220047,0.04737289994955063,0.20574668049812317,0.05087239667773247
facebook,comment,Y29tbWVudDoxNTQ3NDEzODIwMDY2MDkxXzg2ODgyNzYyMjkzNzIyNA==,Elok je mb negeri sembilan memerintah umno bn Pas bersatu merancang tebuk kapal.maka jatuhkan kerajaan negeri.skg nak minta balik mandat APA lah jenis umno ni Ada kerajaan dimusnahkan.membazirkan duit rakyat,,https://www.facebook.com/TokMatHasanN9/posts/pfbid027FP9CdWfVtJCuRosQnboXem31gAs2stACiHYzhRrNMKGNeFVzG8yAC59tH6cuyx4l,pfbid027FP9CdWfVtJCuRosQnboXem31gAs2stACiHYzhRrNMKGNeFVzG8yAC59tH6cuyx4l,negative,2026-06-18 13:03:44+00:00,29,0,14,0,0.01899817809462545,57,Nordin Ahmad,0.0,negative,0.9366727396845818,multilingual,Unknown,love,0.08322402089834213,0.04895298555493355,0.026266343891620636,0.11859463155269623,0.6529844403266907,0.02759387530386448
facebook,comment,Y29tbWVudDoxNTQ3NDEzODIwMDY2MDkxXzIzNDQ4ODMxMzU5MTc0MjY=,Terbaik Dato’ Seri Utama Haji Mohamad Bin Haji Hasan,,https://www.facebook.com/TokMatHasanN9/posts/pfbid027FP9CdWfVtJCuRosQnboXem31gAs2stACiHYzhRrNMKGNeFVzG8yAC59tH6cuyx4l,pfbid027FP9CdWfVtJCuRosQnboXem31gAs2stACiHYzhRrNMKGNeFVzG8yAC59tH6cuyx4l,neutral,2026-06-18 12:28:49+00:00,14,0,0,0,0.5,14,Luqman Ridzuan,0.0,neutral,0.9976707100868225,malay,Malay/Bumiputera,no_clear_emotion,0.014958998188376427,0.010278316214680672,0.07589378207921982,0.014885496348142624,0.24352462589740753,0.030738484114408493
facebook,comment,Y29tbWVudDoxNTQ3NDEzODIwMDY2MDkxXzEwMzE1NDc2NzkzODg3NDA=,Daulat tuanku mukhriz,,https://www.facebook.com/TokMatHasanN9/posts/pfbid027FP9CdWfVtJCuRosQnboXem31gAs2stACiHYzhRrNMKGNeFVzG8yAC59tH6cuyx4l,pfbid027FP9CdWfVtJCuRosQnboXem31gAs2stACiHYzhRrNMKGNeFVzG8yAC59tH6cuyx4l,neutral,2026-06-18 12:20:34+00:00,17,0,0,0,0.5,17,Hafiz Habisha,0.0,neutral,0.7812891006469727,english,Mixed/Urban,happy,0.04430326446890831,0.04119551181793213,0.4011904001235962,0.01650414615869522,0.3407530188560486,0.030213871970772743
