Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,2053075952679456778,"Jangan nak koncing la... Dan dan je mengaku amal adat perpatih

Kg kau dekat mana?

Sebab kalau semelenggang dkt alor gajah dia tk ckp suku semelenggang

Ko nak kencing walaun boleh, tp dengan aku sorry.🤣 https://t.co/0y2vFTG2lf",https://x.com/apanakdikato/status/2053075952679456778,,,neutral,2026-05-09T11:33:46+00:00,309,61,34,25322,0.0,657,558.322,,
x,comment,2053504965407387667,"@apanakdikato Aku rasa si Buah Naga ni suku Batak merempat melarat kat Alor Gajah, Melaka...",,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778428710000,7,0,1,0,0.0,10,,Zionist is Satan 🇵🇸,0.0
x,comment,2053908997481398367,@apanakdikato dio ni suku Sekolopir den raso,,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778525039000,1,0,1,0,0.0,4,,Arham'Aru'Azmi,0.0
x,comment,2053123060354695273,"@apanakdikato Jangan nak koncing la... Dan dan je mengaku ada bukti

Skrg bukti kau dekat mano?

Sebab kalau ada bukti dah jangan sorok dalm kotak

Ko nak kencing walanon/ceplos boleh, tp dengan aku sorry.🤣 https://t.co/m2zlrm8FXe",,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778337657000,5,1,2,0,0.0,13,,mba trader,0.0
x,comment,2053166144664871352,@apanakdikato Ratu tiga suku,,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778347929000,0,0,0,0,0.0,0,,akubabarock,0.0
x,comment,2053094802724647073,@apanakdikato https://t.co/edWoC58uCV,,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778330920000,2,0,0,0,0.0,2,,Satan In Heaven,0.0
x,comment,2053108480303878393,@apanakdikato First time baco ado suku namo eh suku limau purut. Klau nk membongak pn coghodik la skit.nmpk na bodoh eh.,,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778334181000,15,0,3,0,0.0,24,,Syafiq07,0.0
x,comment,2053125696285999239,"@apanakdikato 🤣🤣🤣 Yang ini kelakau. 
Lawak terjun bondar.
Blogger ""Omak Kau"" pun tak berani mengaku diri dia orang Nogori.
Padahal dia guna nama samaran ""Omak kau""",,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778338285000,12,0,0,0,0.0,12,,Tok Jaks,0.0
x,comment,2053104211362283646,@apanakdikato Ratu Kurap,,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778333163000,11,0,0,0,0.0,11,,StratCommX,0.0
x,comment,2053346945775833215,@apanakdikato Nangka kan tumbuh dimana mana.. ini nangka naga tau,,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778391035000,0,0,0,0,0.0,0,,𝔰𝔞𝔪𝔖 yellowBlue,0.0
x,comment,2053098099363709346,@apanakdikato Aih tak masal nak masuk trend ratu tak laku no 🤣,,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778331706000,8,0,0,0,0.0,8,,EJ,0.0
x,comment,2053082706561700254,@apanakdikato PRO PN..jgn pcaya ratu taik kucing ckap..,,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778328036000,3,0,0,0,0.0,3,,Abg fir,0.0
x,comment,2053149272095555680,"@apanakdikato Limau purut ado ko?
Limau abong tau lah den tp kek behrang bnyk lah",,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778343906000,4,0,0,0,0.0,4,,𝕐𝔹_𝔽𝕆ℝ𝕋𝕐,0.0
x,comment,2053645562701111393,@apanakdikato Mcm kanoha jerk.,,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778462231000,0,0,0,0,0.0,0,,Azurahabdaziz,0.0
x,comment,2053140847689183739,"@apanakdikato Hahaha tetiba ado plak suku limau purut, nak masak tom yam ko",,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778341898000,8,0,0,0,0.0,8,,Laila Lell,0.0
x,comment,2053132192826720554,"@apanakdikato Dia suku limau purut tiga serangkai
Buta perut takda akai",,https://x.com/apanakdikato/status/2053075952679456778,2053075952679456778,neutral,1778339834000,30,1,0,0,0.0,32,,JauhiNarkoba,0.0
x,post,2062796563752337421,"HARI INI DALAM SEJARAH

Adat Perpatih jadi Adat Pengarut!

DYMM Yang di-Pertuan Besar Negeri Sembilan baharu (?) ditabalkan di A’Famosa Golf Resort di Alor Gajah, Melaka bukan jajahan takluk Negeri Sembilan.

Resort yang sama pernah menjadi hos acara pertabalan Sultan Melaka dan Undang Naning yang palsu.",https://x.com/faizalriduan/status/2062796563752337421,,,neutral,2026-06-05T07:20:00+00:00,431,197,21,47500,0.0,1124,935.5,,
x,comment,2062812006370161107,@faizalriduan Sultan Melaka tak dijemput ke untuk meriahkan majlis?,,https://x.com/faizalriduan/status/2062796563752337421,2062796563752337421,neutral,1780647682000,29,3,4,0,0.0,47,,DoubleCyee,0.0
x,comment,2062868009698648083,"@faizalriduan Tabal kat resort jual arak, syabas adat N9🍻",,https://x.com/faizalriduan/status/2062796563752337421,2062796563752337421,neutral,1780661034000,5,1,0,0,0.0,7,,RedZuan@KualaSepetang.,0.0
x,comment,2062878692226003168,"@faizalriduan Ko Jolobak, ko Jolobu
Tuai padi tigo tangkai
Kalau kono komat Jolobu
Tak mati badan menghasai",,https://x.com/faizalriduan/status/2062796563752337421,2062796563752337421,neutral,1780663581000,4,1,0,0,0.0,6,,Razif Abu Huzaifah,0.0
x,comment,2062899431981342801,"@faizalriduan @amvanhuizen Skali skala tabal luar negeri 
Hujan emas 🤣",,https://x.com/faizalriduan/status/2062796563752337421,2062796563752337421,neutral,1780668526000,0,0,0,0,0.0,0,,ahyazid,0.0
x,comment,2062914260951556279,@faizalriduan PD pun banyak resort,,https://x.com/faizalriduan/status/2062796563752337421,2062796563752337421,neutral,1780672061000,0,0,0,0,0.0,0,,parkone,0.0
x,comment,2063243178258641118,@faizalriduan negeri konoha malaysia,,https://x.com/faizalriduan/status/2062796563752337421,2062796563752337421,neutral,1780750481000,1,0,0,0,0.0,1,,tobizz,0.0
x,comment,2063130126095982754,"@faizalriduan 1. Ini pemasyuran bukan pertabalan. 
2. Majlis dijadual berlangsung di Balai Kediaman Rasmi YTM Tunku Besar Tampin
3. Tuanku Nadzarudin menginap di A Famosa sebab dekat dengan Tampin, n tu je hotel proper yang ada area situ. 
4. Polis yg halang baginda dari bergerak ke Balai TBT",,https://x.com/faizalriduan/status/2062796563752337421,2062796563752337421,neutral,1780723527000,2,0,1,0,0.0,5,,Amir Zakwan,0.0
x,comment,2062837842032939283,@faizalriduan Raja A famosa,,https://x.com/faizalriduan/status/2062796563752337421,2062796563752337421,neutral,1780653841000,1,1,0,0,0.0,3,,Stanley Chiew,0.0
