Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,wXgqOdsr3ZM,PRN N9 ? MB DERHAKA ?,https://www.youtube.com/watch?v=wXgqOdsr3ZM,,,neutral,2026-04-28T06:57:17+00:00,228,0,40,5340,0.0,321,353.34,,
youtube,post,FN0H3gT7IjU,PANAS KALI INI! ANWAR NAIK ANGIN DI PELANCARAN JENTERA PH PRN N9 2026,https://www.youtube.com/watch?v=FN0H3gT7IjU,,,neutral,2026-06-16T12:00:24+00:00,16,0,77,2475,0.0,117,249.475,,
youtube,comment,Ugy5w_DX7T-r9ynLkPN4AaABAg,"Apa punya pemimpinlah seperti ini terpekik pekik,  terlolong macam orang hilang akal ..nape tak dapat terima hakikat akan jatuh pada PRU nanti ??? ...dari masa pembangkang sampai menjadi kerajaan perangai tak berubah...",,https://www.youtube.com/watch?v=FN0H3gT7IjU,FN0H3gT7IjU,neutral,2026-06-16T00:00:00Z,11,0,0,0,0.0,1100,,"{'id': 'UCjJabhMBeJqZQ7j0AQ2qEkQ', 'name': '@mohdali7735', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nADpVlXTB37mqGZbFOwfq40z5I12gfgP8-oOKv8Zg=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,post,qg0tZVNQOK0,"Berikut adalah keputusan Pilihan Raya Negeri, Negeri Sembilan ke-15 yang lepas.

SUBSCRIBE now! @Astro Awani
https://www.youtube.com/c/astroawani?...

Berita lanjut di: http://grid.astroawani.com

Astro AWANI LIVE https://www.astroawani.com/video-terkini

Social Media:
FACEBOOK   / astroawani  
TWITTER   / 501awani  
INSTAGRAM   / 501awani  
TELEGRAM https://t.me/astroawani

#AWANInews",https://www.youtube.com/watch?v=qg0tZVNQOK0,,,neutral,2026-04-27T12:40:59+00:00,59,0,35,10035,0.0,194,174.035,,
youtube,post,ha_RaBrRxrM,PRN JOHOR/N9- PERLAWANAN PERSAHABATAN?,https://www.youtube.com/watch?v=ha_RaBrRxrM,,,neutral,2026-06-19T15:11:30+00:00,65,0,8,1243,0.0,85,90.243,,
youtube,comment,UgwRNz7tSzdLwzVw6-J4AaABAg,KIAMAT sudah dekat.. DAJJAL rombongannya.. buka MATA WANG.. hilangnya KEPIMPINAN.. khianati tugas kewajipan amanah dll.. KEKUASAAN jawatan gelaran dll.. semuanya kerana WANG.. bacalah..,,https://www.youtube.com/watch?v=ha_RaBrRxrM,ha_RaBrRxrM,neutral,2026-06-19T00:00:00Z,2,0,0,0,0.0,200,,"{'id': 'UC9slhPW3FReDrEHTRW57NTA', 'name': '@zaharahbintiharunzaharah5960', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_l6Rs8rUI6JICntvEMiKf5r9QXp8hPSDCxxv589n1oGcKvcNdsqVkd68aoAztVALNbNWQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugw94HZG49E3SbJd90R4AaABAg,Nismilan tu ramai yg pe'el Poeh.,,https://www.youtube.com/watch?v=ha_RaBrRxrM,ha_RaBrRxrM,neutral,2026-06-19T00:00:00Z,1,0,0,0,0.0,100,,"{'id': 'UCbP5Y2WTA-TjaSFFF1rrPcA', 'name': '@atieazri5340', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_m5rKXZo7f2DqpUiYiV5q0_jrJtgWFBOzmFcMIkpGdTqbQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugx3lyVkCET-Nls8Ghp4AaABAg,"Mereka ingat dh jd kerajaan boleh besar kepala,tapi lupa pula mereka menang 30 lebih kerusi je😅
LAWAN TETAP LAWAN",,https://www.youtube.com/watch?v=ha_RaBrRxrM,ha_RaBrRxrM,neutral,2026-06-19T00:00:00Z,1,0,0,0,0.0,100,,"{'id': 'UCujjNeLjXnCr6GMMxefueEw', 'name': '@Maran-7808', 'thumbnails': [{'url': 'https://yt3.ggpht.com/47BBQxGmexpI9c1fJE_rnlS6II3GCn1Shde99aS9PqrxtHTOgNWmd0vOzrcruDynvzpV4z-6uw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugw8bgPmxXfQHBf82dF4AaABAg,Undi PH =keuntungan semua rakyat!,,https://www.youtube.com/watch?v=ha_RaBrRxrM,ha_RaBrRxrM,neutral,2026-06-19T00:00:00Z,1,0,0,0,0.0,100,,"{'id': 'UCpSiFpz1WTRKwAf2PnXYu8w', 'name': '@firdaus1076', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lZMNDQJ5ebL2TkLh5_QLc8dMABerDsUp5fhVgV4yM=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgycZw-Pm89mdEhA0Kx4AaABAg,Ltl,,https://www.youtube.com/watch?v=ha_RaBrRxrM,ha_RaBrRxrM,neutral,2026-06-19T00:00:00Z,2,0,0,0,0.0,200,,"{'id': 'UCglyUsd5L3MPX9zltZqiMDg', 'name': '@rahmatsaadsaad1355', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lXNBnVor2T5FVc9Go-w378cXn6JmX-YLkW1G6mVZyFzwgLjg01XTaBOrjvCuKmfuRq9g=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgxYRkEi8HMCdGqAcl54AaABAg,😂😂5-6 kali oder kopi di kedai kopi tengok gusti😂😂😂😂 zaman Hulk Hougan,,https://www.youtube.com/watch?v=ha_RaBrRxrM,ha_RaBrRxrM,neutral,2026-06-19T00:00:00Z,0,0,0,0,0.0,000,,"{'id': 'UCuzFqnhJxC-U0y8j5_KT0aw', 'name': '@jalanimarhjah2759', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_mXl5vEZetSFCfuG2B7_VLqc38fE5TVJMtL_CGIeMUbdXJf55quvy5KONcX81xCv66Llw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugz_ki0SP6xnZXNEZHt4AaABAg,Xpyah cakap la .yang undi umno tetap dgn UMNO. Xin terpgaruh dng skdar kata2 ulasan,,https://www.youtube.com/watch?v=ha_RaBrRxrM,ha_RaBrRxrM,neutral,2026-06-19T00:00:00Z,0,0,1,0,0.0,011,,"{'id': 'UCI5CsJKazHMIGvbLrkLjJeA', 'name': '@aimanzaid3799', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_ny2SXLdCJuEizriql472e1DfDqMi3Jf2R5jN3peEwA4ak=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
