Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,24amtLHtf84,"#uas  #ustadzabdulsomad #minangkabau #adatperpatih #abuamzarchannel

Adat Perpatih Minangkabau - Adakah bercanggah dengan islam?
Dengarkan kupasan dari al-fadhil Ustadz Abdul Somad.

Sedutan Klip rakaman Kuliah Maghrib Perdana di Masjid Hussain Seremban 2 bersama Ustaz Abdul Somad pada 17 Feb 2018 bertajuk ""Jauhi Kejahilan Dekati Ketaatan""

Semoga bermanfaat..
------------------------------------------------------------------------------------------
Koleksi video Ustaz Abdul Somad klik di sini : https://bit.ly/2F23lLV
Koleksi video pendek ilmu & soal jawab agama yang kita perlu tahu
Subscribe Channel YouTube : https://goo.gl/DG1QYN

FB Page :   / abuamzarchannel  
Instagram : @abuamzarchannel
Twitter : @abu_amzar",https://www.youtube.com/watch?v=24amtLHtf84,,,neutral,2018-02-27T20:47:15+00:00,13000,0,1186,1825165,0.0,32437,18383.165,,
youtube,post,N1OGKKiX8hM,"Baru tau rendang dibawa oleh pelayar Sumatera sebab makanan tu tahan lama.

https://mlstudios.my

#ariffansar #gayahidup",https://www.youtube.com/watch?v=N1OGKKiX8hM,,,neutral,2020-06-12T04:30:01+00:00,1400,0,366,37470,0.0,2140,2535.47,,
youtube,post,3XN-9Yo64pM,suku biduanda adat perpatih,https://www.youtube.com/watch?v=3XN-9Yo64pM,,,neutral,2011-01-13T08:11:18+00:00,341,0,151,54219,0.0,1034,848.219,,
youtube,post,YZeW5Bhgs2g,SIRI BICARA TOKOH BERSAMA ALLAHYARHAM YM DATO SERI MAHARAJA HJ KHALID BIN BONGET.,https://www.youtube.com/watch?v=YZeW5Bhgs2g,,,neutral,2020-09-22T09:23:51+00:00,94,0,12,5175,0.0,157,135.175,,
youtube,comment,UgxaZPZLIMQnX8koo1p4AaABAg,Slm dri minang sumtra barat ntk saudara d negeri sembilan❤️👍,,https://www.youtube.com/watch?v=YZeW5Bhgs2g,YZeW5Bhgs2g,neutral,2022-06-20T00:00:00Z,6,0,0,0,0.0,600,,"{'id': 'UCUGHYPsT5GMlAkeRZn9Joig', 'name': '@akhirmanuddin5208', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lg3f9NWk7H_JIOw3x7ZYgb_Ax1AfTvmK3y7NRu8I8=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgwEu3t7Ugxn1VtE2Wd4AaABAg,Betapa hebat  dan tinggi nyo budaya org minang kabau. Terbaeeeek minang kabau.,,https://www.youtube.com/watch?v=YZeW5Bhgs2g,YZeW5Bhgs2g,neutral,2022-06-20T00:00:00Z,5,0,0,0,0.0,500,,"{'id': 'UCs4CVrHLda2J9uFqA6NSFZQ', 'name': '@norazlan7477', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_mIYzeFbiX1SYq_sVlYiHwZN5wlHzg8nTJdNaNz8eI=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugy0-LIhKDp927yHkjp4AaABAg,"Assalamualaikum, slm dri Ranah Minang ambo dari luak 50 Koto Payakumbuh pangkalan Koto baru buat dunsanak yg barado di N9. semoga datuk slalu dlm keadaan sehat walafiat. Amin yra",,https://www.youtube.com/watch?v=YZeW5Bhgs2g,YZeW5Bhgs2g,neutral,2022-06-20T00:00:00Z,2,0,0,0,0.0,200,,"{'id': 'UCCIPetPY1vRzjoThiSjpHZw', 'name': '@pithopanks', 'thumbnails': [{'url': 'https://yt3.ggpht.com/oDXn1Q6Lr8sq8u0dfandT7w4yawELu2haluCcu8qGhhCjbvj6YlOY6qEakLysCkO94AlUxY-bUw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgzURDUFSanpxOniumx4AaABAg,salam dari kami dari ranah minang,,https://www.youtube.com/watch?v=YZeW5Bhgs2g,YZeW5Bhgs2g,neutral,2022-06-20T00:00:00Z,1,0,0,0,0.0,100,,"{'id': 'UCiHZ8fKVthGldsAJ7M35A9w', 'name': '@dasrianpiliang8751', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_no16zLOAlw1eLDMGQojCsTG35nW3kM5TaAtgEb66jEHw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugwv9yOrWmaiAsnWbit4AaABAg,"Paparan anda sangat berarti untuk menambah wawasan aku , Salam dari kami di Tebingtinggi kab Empat Lawang Sumsel ,",,https://www.youtube.com/watch?v=YZeW5Bhgs2g,YZeW5Bhgs2g,neutral,2025-10-20T00:00:00Z,0,0,0,0,0.0,000,,"{'id': 'UCUIzPDnN0BfRQbqZrUgrElQ', 'name': '@Tumayo-v9i', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nU2YD2Z--lTM_gdrvauZL95c14lMizI3TCYnoHVH-z3cvFi5RKknXfib9wghzEocwihg=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgzhWxEKP-8W4dXqSyZ4AaABAg,"Sejarah minangkabau,memang nyata,carik lah buku tambo adat minangkabau,yg asli.",,https://www.youtube.com/watch?v=YZeW5Bhgs2g,YZeW5Bhgs2g,neutral,2022-06-20T00:00:00Z,1,0,0,0,0.0,100,,"{'id': 'UCEFMMr0cVmQLEC5MykCTApg', 'name': '@mohdhasan479', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nxSwwX2rTDY49kCiYB_kfBN4Meej1Fli66pnPF8rs=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
