Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,IIIn2P1eOCM,"#BernamaNews: The Budi Madani RON95 programme, which sets petrol price at RM1.99 per litre, is designed to ease daily transport costs, and support the public.

#digitalbernamatv #Budi95 #RON95",https://www.youtube.com/watch?v=IIIn2P1eOCM,,,neutral,2025-09-25T15:24:09.000Z,1,0,0,1573,0.0,16,2.573,,
youtube,post,egoK80QhoAM,"Want to enjoy your BUDI95 fuel subsidy hassle-free? 🚗💨

Learn how to use your MyKAD at Caltex stations with this step-by-step process to activate BUDI95.

#CaltexMY #BUDI95 #BudiMadaniRON95 #BudiMadani95",https://www.youtube.com/watch?v=egoK80QhoAM,,,neutral,2026-01-14T05:48:47.000Z,0,0,1,207,0.0,3,3.207,,
youtube,post,yWLCnMHsr58,"The full roll out of the RON95 petrol subsidy under the Budi Madani RON95 (Budi95), which came into effect on Tuesday (Sept 30), has received positive response from Malaysians.

About 16 million eligible citizens can now enjoy RON95 petrol at RM1.99 per litre, compared with RM2.05 previously, with each person entitled to up to 300 litres per month.
For many, the implementation of Budi95 helps ease the burden of rising living costs.

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline",https://www.youtube.com/watch?v=yWLCnMHsr58,,,neutral,2025-09-30T13:22:04.000Z,47,0,56,8113,0.0,184,223.113,,
youtube,post,bMZdzKk7IyQ,"A viral video of a woman filling up RON95 petrol into a container in a car's boot has got her to lose her fuel subsidy privileges.

The Finance Ministry announced that it had launched an investigation following the viral video.

Read more at https://tinyurl.com/msxs2c5s

WATCH MORE: https://thestartv.com/c/news
SUBSCRIBE: https://cutt.ly/TheStar
LIKE: https://fb.com/TheStarOnline",https://www.youtube.com/watch?v=bMZdzKk7IyQ,,,neutral,2026-03-24T03:29:37.000Z,165,0,167,47438,0.0,806,713.438,,
youtube,post,Y3iEf0u_jZU,"Economists have described the government’s move to reduce the monthly quota for subsidised RON95 petrol from 300 litres to 200 litres as a reasonable move to address current global pressures.

Bank Muamalat Malaysia Bhd chief economist Afzanizam Abdul Rashid said the move is necessary as current oil prices have far exceeded assumptions made in the 2026 budget.

Meanwhile, Malaysia University of Science and Technology economist Barjoyai Bardai described the move as almost inevitable from a national fiscal standpoint.",https://www.youtube.com/watch?v=Y3iEf0u_jZU,,,neutral,2026-03-27T04:06:16.000Z,147,0,169,47214,0.0,788,701.2139999999999,,
youtube,post,-RylkFTtzVo,"The government is planning to reduce the monthly quota for subsidised RON95 petrol from 300 litres to 200 litres. 

This is due to unsubsidised fuel prices continuing to climb amid the ongoing West Asia conflict.",https://www.youtube.com/watch?v=-RylkFTtzVo,,,neutral,2026-03-26T04:46:16.000Z,76,0,85,16274,0.0,323,347.274,,
youtube,comment,UgwZwwiDhsEx5_umchR4AaABAg,Lastime I buy car the government said higher Duty due to fuel subsidy ... what now? Reduce all duty on all new vehicles !!,,https://www.youtube.com/watch?v=-RylkFTtzVo,-RylkFTtzVo,neutral,2026-03-28T00:00:00Z,9,0,0,0,0.0,900,,"{'id': 'UC44wcgrzerUbDHLRetxullg', 'name': '@micy9714', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lCcLaQxWcvI2EGO1Yx8JghVogwuIvweQtKO2WljVQO8Z9U-9WIqXep9b4I_4RwnbLfMQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugw6qwPMVZ2SBqn_US54AaABAg,"A good way to help the rakyat is to encourage WFH like we did in Covid. Less people have to commute to work, the less fuel we consume. Let's put our internet infrastructure to work over bosses egos.",,https://www.youtube.com/watch?v=-RylkFTtzVo,-RylkFTtzVo,neutral,2026-03-28T00:00:00Z,39,0,8,0,0.0,3988,,"{'id': 'UCy-ypM6QfxfCWFCkBce4cmw', 'name': '@kageKun1198', 'thumbnails': [{'url': 'https://yt3.ggpht.com/N4hxUInih5iVgQLr1GsWPnkzQRotpF71WaIB7-54vz43bzx2nx6eJ1u_tj0NqLZ2wufT4e1DlA=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgzogfMyFZySC_3RXih4AaABAg,"annually, general auditor reported various if not all Ministry departments' excessive wastage if not 'mismanagement' of $$$. Since Anwar became PMX, annual budget has ballooned yet wastages persist, perhaps should reduce the Ministry's budget first.",,https://www.youtube.com/watch?v=-RylkFTtzVo,-RylkFTtzVo,neutral,2026-03-28T00:00:00Z,6,0,0,0,0.0,600,,"{'id': 'UCA8tKydzw9hhYbn9mEwksuQ', 'name': '@csoffline7820', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_m-wvAwKyNneCMdoErnw329VPrjfATdBmyawkiFTmB0Tmcb0mbPWFH98RzurWL1m0u29A=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgzZp7T3wxONHICwJSp4AaABAg,Thanks for nothing,,https://www.youtube.com/watch?v=-RylkFTtzVo,-RylkFTtzVo,neutral,2026-03-28T00:00:00Z,1,0,0,0,0.0,100,,"{'id': 'UCkOjkQLhFkrBP7gLeBL8lSg', 'name': '@MMMA-pt7mg', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_k18TQOefWzLa5SvdJmEE0dDZLfk4am4CaTqv-UUpCP4ll3lucs6Ttsxlbnh6UOy4Y8dw=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugx6Ji3GSeXeQMidJB94AaABAg,"If need to cut down, 250l is ideal. Not everyone lives in the city who travels to work. Another mechanism, set it on 250l every month. If there's balance, forward to the following month and add-on the remaining to 250l. For example: Feb balance 100l. March: 100l from Feb + 150l for March = 250l. No wastage.",,https://www.youtube.com/watch?v=-RylkFTtzVo,-RylkFTtzVo,neutral,2026-03-28T00:00:00Z,12,0,2,0,0.0,1222,,"{'id': 'UCZIr_GQORmfdaAmVoazgcLg', 'name': '@danielcheong9124', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_mKgmVSN4NjobaY6NLVKOEnL6puuziw0_zazQgJC6M5x5U3=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgzWEuySqGP34djrsVJ4AaABAg,Hari ni menang....😅😅😅,,https://www.youtube.com/watch?v=-RylkFTtzVo,-RylkFTtzVo,neutral,2026-03-28T00:00:00Z,2,0,0,0,0.0,200,,"{'id': 'UC-4FxWi59vDTETFkl_VseZQ', 'name': '@mdadam-t3n', 'thumbnails': [{'url': 'https://yt3.ggpht.com/udNhIg4IR1yG7omc0yCPnUg6hbWOFH53DdN8hS7c3VzPXoAktB8AQIwgx--nnikq2SYe0HPYow=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
