Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,1613838358454874114,Semangat anak muda N9 ...Ha ha..ha. https://t.co/Q8WmnaUiOp,https://x.com/mohayusba/status/1613838358454874114,,,neutral,2023-01-13T10:00:22+00:00,227,55,9,15314,0.0,444,379.314,,
x,comment,1613894541077286919,@mohayusba PN payah nak menang di NS mcm ni ...Tok Mat dan MB NS strong 😁,,https://x.com/mohayusba/status/1613838358454874114,1613838358454874114,neutral,1673617417000,1,1,0,0,0.0,3,,AkimZone,0.0
x,comment,1613878919689834497,"@mohayusba PM Ter paling sempoii bak ang!! abislah ko dik’kena bahan satu kg!’ko punya adab boleh tahan’balik umah kena lah ko dik!kat skolah dan dimana2😅🤣🤣
-cuma ayat Backup dia last tu’make me 😎✌️✅",,https://x.com/mohayusba/status/1613838358454874114,1613838358454874114,neutral,1673613693000,2,0,0,0,0.0,2,,NudNywNyu®️,0.0
x,comment,1613897705788698625,"@mohayusba Cutelah budak ni, selamba je....""Anwar ambik gambar jap"". Pasti bangga tunjuk gambar dia dgn PM Anwar.",,https://x.com/mohayusba/status/1613838358454874114,1613838358454874114,neutral,1673618172000,1,0,0,0,0.0,1,,Imahkay,0.0
x,comment,1613841136820576256,@mohayusba 😍 Awal sgt dik.. Jadi walaaun dulu dik.,,https://x.com/mohayusba/status/1613838358454874114,1613838358454874114,neutral,1673604685000,1,0,0,0,0.0,1,,KaMi X,0.0
x,comment,1613928383246905347,@mohayusba @GetVid_,,https://x.com/mohayusba/status/1613838358454874114,1613838358454874114,neutral,1673625486000,0,0,1,0,0.0,3,,@Eruan Sidi Ahmad,0.0
x,comment,1613858006529368070,@mohayusba stedyy org portdeseen 🙌🏻🆙🆙,,https://x.com/mohayusba/status/1613838358454874114,1613838358454874114,neutral,1673608707000,0,0,0,0,0.0,0,,🅰️JoL ☮️🔛🅰️H👻🅿️D,0.0
x,comment,1614317868430274562,@mohayusba Ah sudah 😂😂,,https://x.com/mohayusba/status/1613838358454874114,1613838358454874114,neutral,1673718347000,0,0,0,0,0.0,0,,mim ha mim dal ~ Alif sin ra faa,0.0
x,comment,1613930355890991104,@mohayusba N 10,,https://x.com/mohayusba/status/1613838358454874114,1613838358454874114,neutral,1673625956000,0,0,0,0,0.0,0,,Abdus Salam,0.0
x,comment,1613853629210939393,@mohayusba La la la la la la la https://t.co/07FN5HK5R2,,https://x.com/mohayusba/status/1613838358454874114,1613838358454874114,neutral,1673607663000,0,0,0,0,0.0,0,,Salim Iskandar,0.0
