Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,KitF3jaSTNE,"COOBIT COOKIES ONLINE SHOP !!
TikTok: https://vt.tiktok.com/ZS9J6pBx9bN7V-h...
Shopee: https://s.shopee.com.my/AUmfNT3nY4
Lazada: https://s.lazada.com.my/s.GVCSV 

Kalau korang nak tengok video dengan subtitle, just tekan je logo “CC”. Kami dah sediakan subtitle dalam dua bahasa , Bahasa Melayu & English.

📩 Contact Isa Isarb’s Team
Ms. Uzma (Advertisement): +6012 737 7394
Email: Isa@isarb.com

Follow Isa Isarb on :
Instagram :   / isaisarb  
Twitter :   / isa_isarb  
Facebook :   / isaisarbofficial  
Tiktok:   / isaisarbofficial",https://www.youtube.com/watch?v=KitF3jaSTNE,,,neutral,2025-06-05T10:10:06+00:00,45000,0,1578,1925261,0.0,65830,51659.261,,
youtube,post,oMGeaLexhkY,"Provided to YouTube by One Stop Music (OSM) Berhad

Apo Kono Eh Jang? · Ally Noor · Mastura

Apo Kono Eh Jang?

℗ 2004 2004 Insictech Musicland Sdn Bhd

Released on: 2004-04-05

Auto-generated by YouTube.",https://www.youtube.com/watch?v=oMGeaLexhkY&list=RDoMGeaLexhkY&start_radio=1,,,neutral,2020-04-03T23:20:06+00:00,9900,0,0,1955545,0.0,29455,11855.545,,
youtube,post,xFJ-A9RH3hc,"#DemiLigaKita #IniPadangKita #ShopeeYTDeals

Layan semua sukan di sooka: https://sooka.my/tab/sports

Sosial Astro Arena
Facebook:   / astroarenasukan  
Twitter:   / astroarena  
Instagram:   / astroarenahd  
TikTok:   / astroarena  
Telegram: https://t.me/stadiumastro

Layari portal berita sukan: https://www.stadiumastro.com/

Ingat sukan, ingat sooka! Download sooka sekarang dan sapot team feveret korang!
📱 App Store: https://s.sooka.my/sbhAY8
📱 Play Store: https://s.sooka.my/9FClb7

Sosial sooka
Twitter: https://s.sooka.my/FHDvSp
Facebook: https://s.sooka.my/ItutEk
Instagram: https://s.sooka.my/ObJ2K3
TikTok: https://s.sooka.my/kh2lvI
YouTube: https://s.sooka.my/KJ1S7U",https://www.youtube.com/watch?v=xFJ-A9RH3hc,,,neutral,2025-08-12T15:55:30+00:00,6000,0,1481,495278,0.0,12433,10938.278,,
youtube,post,iqXjporrFfQ,"#DemiLigaKita #inipadangkita 

0:00 - Intro 
0:28 - Percubaan: Chrigor Moraes
0:59 - Gol: Richmond Ankrah
1:56 - Percubaan: Joseph Esso
2:25 - Percubaan: Faisal Halim
3:06 - Percubaan: Selvan Anbualagan
3:31 - Percubaan: Luis Enrique
4:05 - Percubaan: Harith Samsuri
4:29 - Percubaan: Chrigor Moraes
4:48 - Percubaan: Faisal Halim
5:11 - Gol: Mio Tsuneyasu
6:18 - Percubaan: Chrigor Moraes
6:51 - Gol: Mio Tsuneyasu
8:04 - Wisel Penamat 

Layan semua sukan di sooka: https://sooka.my/tab/sports

Sosial Astro Arena
Facebook:   / astroarenasukan  
Twitter:   / astroarena  
Instagram:   / astroarenahd  
TikTok:   / astroarena  
Telegram: https://t.me/stadiumastro

Layari portal berita sukan: https://www.stadiumastro.com/

Ingat sukan, ingat sooka! Download sooka sekarang dan sapot team feveret korang!
📱 App Store: https://s.sooka.my/sbhAY8
📱 Play Store: https://s.sooka.my/9FClb7

Sosial sooka
Twitter: https://s.sooka.my/FHDvSp
Facebook: https://s.sooka.my/ItutEk
Instagram: https://s.sooka.my/ObJ2K3
TikTok: https://s.sooka.my/kh2lvI
YouTube: https://s.sooka.my/KJ1S7U",https://www.youtube.com/watch?v=iqXjporrFfQ,,,neutral,2025-08-24T15:22:56+00:00,4400,0,1253,303897,0.0,8691,8462.897,,
youtube,post,ITMkjt3IBWA,"ASHORROR LATEST TELEGRAM !!!

https://t.me/+wpULDSaA1A05M2E9

ASHRAPP ON SPOTIFY !! :

https://open.spotify.com/show/26dcqPF...

Ashhhrapp on Instagram : 
  / ashhhrapp_  

Tiktok :

https://vt.tiktok.com/ZSJES54m3/",https://www.youtube.com/watch?v=ITMkjt3IBWA,,,neutral,2025-12-29T13:00:37+00:00,5500,0,218,201658,0.0,7734,6355.658,,
youtube,post,oR3PNGAcr30,"🍽️ Kedai Makan Ain / Budaya Corner
📍 BLOK A, Perkampungan Budaya, Terachi
📮 71500 Tanjung Ipoh, Negeri Sembilan, Malaysia
🔗 https://share.google/eNpIf0uQai1lXOZIw

A quiet escape, a breath of fresh air, and a place we didn’t expect to love this much.

In this video, our Korean family spends a peaceful day in Negeri Sembilan—surrounded by nature, gentle flowing streams, and the kind of scenery that makes you slow down without even trying. The kids explore, we taste delicious local food, and we find ourselves smiling at the little moments that make this place so special.

It’s not just about where we went, but how it made us feel—calm, refreshed, and deeply grateful. Sometimes, the most unexpected places leave the biggest impression.

We hope this video brings you a sense of comfort and healing, just like it did for us.

Tempat untuk berehat dengan tenang, udara yang segar, dan satu tempat yang kami tak sangka akan kami sukai sebegini.

Dalam video ini, keluarga Korea kami meluangkan satu hari yang damai di Negeri Sembilan. Dikelilingi hutan dan aliran air yang menenangkan, anak-anak bebas bermain, kami menikmati makanan tempatan yang sedap, dan tersenyum dengan momen-momen kecil yang begitu bermakna.

Bukan sekadar ke mana kami pergi, tetapi bagaimana perasaan yang kami alami di sana yang lebih kekal di hati. Tempat ini memberi kami rasa tenang, lapang, dan penuh kesyukuran.

Kami harap video ini juga dapat menyampaikan rasa hangat dan ketenangan yang kami rasai kepada anda 🤍

조용히 쉬어갈 수 있는 곳, 맑은 공기, 그리고 이렇게까지 좋아하게 될 줄 몰랐던 공간.

이번 영상에서는 저희 한국인 가족이 느그리 슴빌란에서 보내는 평화로운 하루를 담았습니다. 숲과 계곡이 어우러진 자연 속에서 아이들은 마음껏 뛰어놀고, 저희는 맛있는 현지 음식을 즐기며, 소소한 순간들 속에서 자연스럽게 미소 짓게 됩니다.

어디를 갔는지도 중요하지만, 그곳에서 어떤 느낌을 받았는지가 더 오래 남는 것 같아요. 이곳은 저희에게 편안함과 여유, 그리고 작은 감사함을 느끼게 해 준 곳이었습니다.

이 영상을 보시는 분들께도 저희가 느꼈던 그 따뜻함과 힐링이 그대로 전해지길 바랍니다 🤍

#Malaysia, #NegeriSembilan, #MalaysiaTravel, #VisitMalaysia, #TravelMalaysia, #HiddenGem, #NatureHealing, #RelaxingTrip, #FamilyTravel, #TravelWithKids, #KoreanFamily, #LifeInMalaysia, #KoreaInMalaysia, #ExpatLife, #DailyVlog, #FamilyVlog, #TravelVlog, #HealingVlog, #FoodVlog, #LocalFood, #ExploreMalaysia, #BeautifulNature, #PeacefulPlace, #WeekendGetaway, #AsianTravel, #TravelAsia, #SlowLife, #SimpleLife, #힐링여행, #가족여행, #말레이시아, #느그리슴빌란, #브이로그",https://www.youtube.com/watch?v=oR3PNGAcr30,,,neutral,2026-04-23T10:01:30+00:00,4000,0,661,191327,0.0,6574,6174.327,,
youtube,post,EWOMeQAaJZ8,"Negeri Sembilan kini berdepan satu krisis luar biasa yang menggabungkan pertembungan antara institusi beraja, adat, dan kestabilan politik negeri.

Episod 196 Keluar Sekejap yang menampilkan Tan Sri Rais Yatim, Mantan Menteri Besar Negeri Sembilan membedah kemelut yang bermula sejak April 2026, daripada krisis takhta apabila Undang Yang Empat telah membuat kenyataan untuk menurunlan Yang di-Pertuan Besar, termasuk isu pemecatan Undang Luak Sungai Ujong. Isu ini mencetuskan persoalan besar tentang kesahihan, bidang kuasa, dan keseimbangan dalam sistem adat Negeri Sembilan.

Krisis adat ini kemudiannya merebak ke arena politik apabila 14 Adun UMNO- Barisan Nasional menarik sokongan terhadap Menteri Besar, mewujudkan situasi kerajaan tergantung dan ketidaktentuan terhadap hala tuju pentadbiran negeri.

Apa sebenarnya yang sedang berlaku? Bagaimana krisis ini boleh berkembang sejauh ini, dan apakah implikasinya kepada Negeri Sembilan?

Kupasan penuh dalam episod ini.

Timestamp EP196
00:00 Intro
02:05 Pengenalan Krisis Negeri Sembilan
03:45 Kronologi Krisis Istana & Pemecatan
Undang
11:02 Konsep Raja & Peranan Undang Yang
Empat
18:11 Bidang Kuasa Dewan Keadilan dan
Undang (DKU)
24:23 Tatacara Penurunan Takhta Yang di-
Pertuan Besar
30:20 Isu Tindakan Menteri Besar
40:43 Jalan Penyelesaian: Kembali Bermuafakat
49:04 Krisis Kerajaan Minoriti 
53:07 Keabsahan: Undian DUN vs SD
 58:31 Solusi Confidence and Supply Agreement 
01:03:20 Pilihan UMNO Sebagai Pembangkang 01:09:15 Polemik Terma ""Tebuk Atap""
01:12:50 Perlukah DUN Dibubarkan?
01:19:05 Kesilapan Strategik UMNO?
01:25:55 Catur Politik PMX & Presiden",https://www.youtube.com/watch?v=EWOMeQAaJZ8,,,neutral,2026-04-30T06:00:15+00:00,2900,0,962,207754,0.0,5939,5993.754,,
youtube,post,hVMQsOg2dj8,"Ramai ingat kemelut Negeri Sembilan ini sekadar soal Tok Min hilang sokongan.

Tidak. Isu ini lebih besar daripada itu.

Ia melibatkan adat perpatih, Undang Yang Empat, Dewan Keadilan dan Undang, kedudukan Tuanku Mukhriz, dan satu langkah politik UMNO yang nampaknya dibuat terlalu cepat sebelum semua kiraan undang-undang dan politik selesai.

Dalam Episod 46 Yang Berhenti Menteri, kami mengupas:

Kemelut Negeri Sembilan: dari pertikaian adat kepada krisis politik negeri

Kenapa “Langkah Jalal” boleh menjadi tembakan pramatang kepada UMNO

Kedudukan Tok Min, Tuanku Mukhriz dan sentimen rakyat Negeri Sembilan

Apa peranan Tok Mat, Zahid dan kepimpinan UMNO pusat dalam episod ini

Subsidi RM58 bilion, potongan bajet RM10 bilion dan siapa sebenarnya yang membayar harga minyak murah

Kenapa subsidi pukal tidak lagi mampu dipertahankan tanpa mengorbankan kesihatan, pendidikan dan masa depan fiskal negara

SPRM, Azam Baki, kuasa yang terlalu besar, dan kenapa reformasi institusi tidak boleh ditangguh lagi

Ini bukan episod tentang satu negeri semata-mata.

Ini episod tentang apa jadi bila politik dibuat tanpa kira nombor, dasar dibuat kerana takut kalah pilihan raya, dan institusi diberi kuasa terlalu besar tanpa semak imbang yang cukup.

Akhirnya semua kembali kepada soalan yang sama.

Siapa berani berterus terang dengan rakyat, dan siapa hanya pandai menangguh bil sampai generasi seterusnya yang bayar.

0:00 Intro
4:22 Tak Ada Orang Pun Ajak Dia Turun Sogo
7:24 Memang Teras Panas Ketika Solat
19:33 Perkara itu Biasa Bukan Maki Orang
26:14 Terus Serbu Rumah Wartawan
40:00 Kemelut DUN Negeri Sembilan: Tembakan Pramatang, Kesan Menjelang PRU
1:22:56 Bil Subsidi RM 58B, Kerajaan Potong Bajet RM 10B.
2:07:23 Siapa Menang Perang Medsos: PH,BN Atau PN?
2:49:32 Berapa Hari Sebelum Didakwa: SPRM Panggil Rafizi Isnin Ini",https://www.youtube.com/watch?v=hVMQsOg2dj8,,,neutral,2026-05-01T13:00:06+00:00,4000,0,550,168672,0.0,6236,5818.672,,
youtube,post,tUTY5V-uZA0,"#DemiLigaKita #IniPadangKita

Layan semua sukan di sooka: https://sooka.my/tab/sports

Sosial Astro Arena
Facebook:   / astroarenasukan  
Twitter:   / astroarena  
Instagram:   / astroarenahd  
TikTok:   / astroarena  
Telegram: https://t.me/stadiumastro

Layari portal berita sukan: https://www.stadiumastro.com/

Ingat sukan, ingat sooka! Download sooka sekarang dan sapot team feveret korang!
📱 App Store: https://s.sooka.my/sbhAY8
📱 Play Store: https://s.sooka.my/9FClb7

Sosial sooka
Twitter: https://s.sooka.my/FHDvSp
Facebook: https://s.sooka.my/ItutEk
Instagram: https://s.sooka.my/ObJ2K3
TikTok: https://s.sooka.my/kh2lvI
YouTube: https://s.sooka.my/KJ1S7U",https://www.youtube.com/watch?v=tUTY5V-uZA0,,,neutral,2025-08-29T15:32:42+00:00,3000,0,820,208203,0.0,5902,5668.203,,
youtube,post,VP0IOTPkNdw,Chegubard 6 June 2026 di Pulau Pinang BONGKAR Dalang disebalik kekacauan krisis adat negeri sembilan!,https://www.youtube.com/watch?v=VP0IOTPkNdw,,,neutral,2026-06-06T16:16:50+00:00,2200,0,917,99849,0.0,4115,5050.849,,
