Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,1373605361127583748,"🥳🎊 #NCTind4han 4th Anniversary Giveaway 🎉🤩

🎁 WayV KICK BACK Mini Album China Press Full Set 🎁

Reply to this tweet to nominate your winner for this prize with the hashtag #NCTind4han 👇🏼

Only one nominee per tweet is allowed, but you can have as many entries as you want. https://t.co/1nKJFrWyTR",https://x.com/nctindahan/status/1373605361127583748,,,neutral,2021-03-21T12:00:13+00:00,934,217,11912,0,0.0,13063,37104.0,,
x,post,1631039713783042049,"DOOCY: “Why is President Biden afraid of China?”

PRESS SEC: “The President is not afraid of China. Did you see the President last week when we went to Ukraine?”

 https://t.co/pFR7w7U5ei",https://x.com/alx/status/1631039713783042049,,,neutral,2023-03-01T21:12:25+00:00,4392,748,1012,328033,0.0,9432,9252.033,,
x,comment,1631083866155778049,@alx He went to a movie set. Super brave,,https://x.com/alx/status/1631039713783042049,1631039713783042049,neutral,1677715672000,32,0,0,0,0.0,32,,J 🎙️,0.0
x,comment,1631041080899534848,@alx https://t.co/PBZNTgCshb,,https://x.com/alx/status/1631039713783042049,1631039713783042049,neutral,1677705471000,320,13,2,0,0.0,352,,Upstate Adam,0.0
x,comment,1631041647130624001,"@alx I disagree. He's afraid of visiting East Palestine. 
Oh, and the Easter bunny. https://t.co/kNWconVJJF",,https://x.com/alx/status/1631039713783042049,1631039713783042049,neutral,1677705606000,233,11,2,0,0.0,261,,Adam Scott,0.0
x,comment,1631041506105520133,@alx Everything about that trip was fake. https://t.co/kFOJOkpAHf,,https://x.com/alx/status/1631039713783042049,1631039713783042049,neutral,1677705572000,185,10,6,0,0.0,223,,joe miller,0.0
x,comment,1631043557476782083,@alx He’s not afraid of China…he’s in bed with them!,,https://x.com/alx/status/1631039713783042049,1631039713783042049,neutral,1677706062000,179,5,2,0,0.0,195,,SamJ❤️🇺🇸💙,0.0
x,comment,1631063884298698754,@alx @OldScho72761891 https://t.co/Ej9KB0dfQT,,https://x.com/alx/status/1631039713783042049,1631039713783042049,neutral,1677710908000,13,5,1,0,0.0,26,,Shannon Ford 🇺🇸,0.0
x,comment,1631063151159529472,@alx Not even afraid of vacations https://t.co/YRl8LtItFV,,https://x.com/alx/status/1631039713783042049,1631039713783042049,neutral,1677710733000,45,3,4,0,0.0,63,,democraquoi,0.0
x,comment,1631042745639813120,"@alx You’re never clear @PressSec unless it’s about race , alphabet people , and gender .. what’s a woman ? You people are a disgrace to our country",,https://x.com/alx/status/1631039713783042049,1631039713783042049,neutral,1677705868000,134,3,1,0,0.0,143,,Nicole,0.0
x,comment,1631113651246575620,@alx https://t.co/g6UAgFCh9Q,,https://x.com/alx/status/1631039713783042049,1631039713783042049,neutral,1677722773000,13,4,1,0,0.0,24,,Irrelevant_Empath,0.0
x,comment,1631054228062871556,"@alx Such a scary warzone, that Janet Yellen casually shows up a week later checkbook in hand, without the drama of fake air raid sirens going off.  
Biden's not afraid of anything, especially not a giant fluffy Easter bunny https://t.co/7OWoNeSGkk",,https://x.com/alx/status/1631039713783042049,1631039713783042049,neutral,1677708606000,13,3,0,0,0.0,19,,Craig B,0.0
x,comment,2074425581341474978,https://t.co/f3KFPyOw1f,,https://x.com/alx/status/1631039713783042049,1631039713783042049,neutral,1783416574000,102,2,9,0,0.0,133,,ALX 🇺🇸,0.0
