Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
instagram,post,3722112869241531554,"Presiden Pas, Tan Sri Abdul Hadi Awang menegaskan beliau tidak layak menjadi Perdana Menteri kerana faktor usia dan kesihatan.

Beliau berkata, berpandukan rujukan al-Quran, pemimpin perlu dipilih berdasarkan ilmu, integriti dan kesihatan tubuh badan.

Anda boleh baca berita penuh di portal Sinar Harian di www.sinarharian.com.my atau swipe up di IG story serta jangan lupa follow IG @sinarharian untuk berita terkini dalam dan luar negara.

#SinarHarian #SinarTerkini #MuktamarPas #AbdulHadiAwang",https://www.instagram.com/p/DOnme8ZDSyi/,,,neutral,2025-09-15T10:00:52+00:00,1402,0,229,0,0.0,1631,2089.0,,
instagram,comment,17947922271096488,😂😂😂,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-31T16:29:55.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17985629864938433,Aduhhhh kesian,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-27T04:29:31.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18119991229584355,😂😂,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-27T02:13:22.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18558841645040833,Bala pon ok😂😂😂😂,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-27T01:04:22.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17851345467655790,Lantik ratu naga jadik pengerusi kompem perikatan nasional menang besau pru16,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-27T00:49:12.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18376433185087176,"Tak dok berita lain ke sinar harian,hari2 berita sampah",,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-27T00:44:17.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17848309047634330,On  behalf of him self as a President PN candidate. Sikit lagi gaisss.... 😂,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-27T00:15:46.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18101116063854532,xhbis ngn kpartian ape kejadah yer jd wkil rkyt,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-26T16:12:18.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18082814879270624,dh nazak dh pun 😂😂😂 memang xlayak lansung nk lantik hadi 😂,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-26T15:10:27.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18063099098648882,Mslhnya xda calon yg lyk dlm pas tu..serba serbi xda yg reti bt krja yg dpilih tu pun kerana menang o som..😂😂😂😂,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-26T15:08:33.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18034110104561355,Midin tolak... Hadi pun tolak...maka yg paling layak Dominic Lau la...dia Presiden parti dan tiada pilihan dah...🤣🤣🤣,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-26T14:32:10.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17873847414483858,Kesiannya,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-26T14:13:25.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18150781336448862,Kepimpinan ulama yang tidak mengangkat ulama tapi mengangkat teknokrat,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-26T14:10:20.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18092778418779741,Perlembagaan mana ni yg betul? Midin kata must be president..,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2026-01-26T13:53:21.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18102221194600001,Ye Islam wajib.tapi igt bkn PAS,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-11-22T14:36:08.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18368383750081917,Islam wajib Memimpin Tetapi bukan PAS.,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-11-21T11:44:42.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18542343628043249,"Selamat Hari Lahir, Tuan Guru Abdul Hadi Awang ❤️",,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-31T01:18:21.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18089889076697448,Sanah Helwah Tuan Guru ❤️,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-20T17:20:05.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18099334579737601,yg ke berapa,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-20T13:23:44.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17854300284555523,❤️,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-20T12:42:48.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17873731869433686,Allahumma Aamiin!,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-20T12:28:44.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18495468247090999,Islam itu agama  syumul Tetapi PAS itu yang mencemarkan imej Islam Bila asyik menghina orang lain… menghina men fitnah mengkhianti itu bukan ajaran Islam Tetapi ajaran PAS (  Insan yang mengatakan PAS itu Parti Ajaran Sesat tentu senyum),,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-11-18T01:30:17.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18088665805752502,islam sentiasa betul tp bukan pas,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-11-17T14:45:48.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17848592370598361,Ni barua mahathir kuty puaka perangai binatang kaki fitnah kaki sakau bapak segala rasuah,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-11-16T17:11:37.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18088636651753078,Ada Roti Gardenia kah situ..,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-11-13T15:05:28.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18046386722427808,Bawang membawang,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-11-13T08:07:32.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18089846284868284,Angan2 saja boleh lah nak negeri mundur pilih lah pas nak maju pilih la kerajaan madani,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-09T09:59:34.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18076999277102955,Over confident!,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-09T08:28:30.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18299092066271974,Hancur kerajaan kalau puak ni memerintah,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T23:28:55.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17893926429338880,"Deep sleep, sweet dream",,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T10:38:01.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18081427319317778,Tak habis2 dgn gila kuasa...org sibuk mcmana nk selamatkn Gaza...dia sibuk dgn kuasa....,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T07:15:25.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17882789421390997,💩🤮,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T07:15:05.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18063334781096641,"Parti ajaran sesat, Negeri Kelantan paling miskin",,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T06:50:59.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18095688136688309,😂😂😂😂,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T05:34:30.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18076239047319524,NO NO NO NO NO NO NO NO NO,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T04:29:45.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18155869750358234,"jaga terengganu dulu baik2, pernah kesana , masih byk tmpat xterjaga",,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T04:06:28.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18073213868151356,Sekarang tidur dulu masa sampai baru bangun,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T04:02:09.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17945539887048634,Cakap mmang boleh macam...ape tk ckap PAS akn menguasai USA.....ISRAEL...dan VATICAN CITY....🔥🔥🔥🔥🔥,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T03:10:51.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18404624584143928,Tambahan parti pas dapat taliban😂,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T01:45:42.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18095395747742930,Dah lah Atok….tak de ke mana Nya juga pun…tua2 pun nak gila kuasa.😂😂😂😂,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T01:15:02.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18502256785069471,😂,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-10-06T01:10:16.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18060035888617434,Hindu people should want radical hinduism,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-09-24T16:52:24.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18024258416724528,PAS farting aggressively,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-09-23T16:38:02.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18138742795428469,There is no such thing as liberal Islam ..it's just the thin end of the wedge...,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-09-23T15:43:50.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18057708173166191,And you will end like Afghanistan which is a hellish nightmare,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-09-23T14:16:52.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17981438360882545,Q so what Pakistan it's failed country... It's governor under Islamic laws?,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-09-22T17:13:31.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18039051452474870,"While middle eastern countries prosper with progressive but still sticking to their religion, we can stay in the stone age while the whole world moves in front of us🔥🔥",,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-09-22T11:33:25.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18034408880704898,Parti cepat koyak,,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-09-21T11:18:27.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18313980751246399,"Pas is not even conservative Islam, they are sesat 💀",,https://www.instagram.com/p/DOnme8ZDSyi/,DOnme8ZDSyi,neutral,2025-09-21T06:13:57.000Z,0,0,0,0,0.0,0,,,0.0
instagram,post,3722052090815695641,"PAS president Abdul Hadi Awang has warned against liberal and progressive interpretations of Islam, saying such ideas are misguided and disconnected from the Quran and sunnah.

“There are ‘haddathah’ movements (new labels ascribed to Islam) such as reform, progressive, conservative, liberal Islam, secular Islam… which ultimately lead to deviation from the fundamental pillars of religion.

“Only Islam, with its perfection, justice, and mercy, can unite a plural society in harmony and security,” he said in his keynote address at PAS’s 71st muktamar here.

Hadi said secular ideologies from the West have failed to solve society’s moral, economic and political problems, labelling them as “materialistic and unjust”.

“Western civilisation has failed to resolve fundamental issues. It ultimately corrupts all aspects of life by deviating from the natural order of this world,” he added.

🔗 Click the link in our bio to read more or visit Lumi News. 

#FMTNews #FMTEng #Explore #Explorepage
#LiberalIslam #PAS #Muktamar #AbdulHadiAwang",https://www.instagram.com/p/DOnYqgEkcsZ/,,,neutral,2025-09-15T08:00:07+00:00,714,0,206,0,0.0,920,1332.0,,
instagram,comment,18354301561095870,Sickly people on earth. Siang malam Pelachur agamo.,,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-09-20T22:58:04.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18035443133650840,SEGAGAL YAH IDEOLOGI BARAT LEBIH GAGAL IDEOLOGI KHILAFAH DAN ISLAM 😂😂,,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-09-20T16:14:53.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18051128858643540,Sapa nok ke mu,,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-10-03T00:35:20.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17920225620038673,at least sedar diri dari yg mmg x layak tu dok berebut nak jadi pm,,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-09-23T14:38:52.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18341394544205520,Mmg pun tak layak sbb dah jd s....tan bisu,,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-09-22T11:07:21.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17902779531266319,Memang..,,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-09-22T08:01:21.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18086884345860790,Yes correct,,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-09-19T05:26:25.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17892536841324725,tak payah cakap semua rakyat tau yg kau tak layak!! bak kate siAfnan…presiden Pas kurang kecerdasan banding ngn timbalan!,,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-09-18T12:34:13.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18001403393652655,Tax @ TaXi,,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-09-17T12:29:36.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18397861888190837,Sadar pung,,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-09-17T11:51:29.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,18077423666008097,"Faktor usia, Era Moden. Untuk perubahan yang perlahan tapi pasti, Perlu Lantik orang yang mahir Diplomasi dan Ekonomi. Tuan Guru boleh jadi penasihat supaya tidak melampaui batas. Mmg itu cara Islam. tapi sedih melayu sendiri tak tahu Konsep pemerintahan Islam. Diambilnya Orang kafir sebagai penasihat dah tu ada jugak Melayu Islam suka.",,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-09-17T10:59:52.000Z,0,0,0,0,0.0,0,,,0.0
instagram,comment,17898570123281116,Maaf TGHH bukan sy nk menghina bukan PM saja... sebagai ahli parlimen pun x sepatutnya bertanding dh bg la yg betoi² layak memegang jawatan ahli parlimen,,https://www.instagram.com/p/DOnYqgEkcsZ/,DOnYqgEkcsZ,neutral,2025-09-17T07:45:29.000Z,0,0,0,0,0.0,0,,,0.0
