Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,2062844425538330767,"SPR akan membincangkan tarikh-tarikh penting bagi PRN Johor, termasuk tarikh writ pilihan raya, hari penamaan calon, hari pengundian serta daftar pemilih yang akan digunakan.

#AWANInews #AWANI745

https://t.co/UbCz3N4fQx",https://x.com/501Awani/status/2062844425538330767,,,neutral,Fri Jun 05 10:30:11 +0000 2026,0,0,0,789,0.0,7,0.789,,
x,post,2062921821218120025,"Ketua Menteri Melaka Datuk Seri Ab Rauf Yusoh memberi bayangan Pilihan Raya Negeri (PRN) akan hanya diadakan selepas selesai PRN Johor dan Negeri Sembilan.

#AWANInews #AWANI745 

https://t.co/DuUFL1TT29",https://x.com/501Awani/status/2062921821218120025,,,neutral,Fri Jun 05 15:37:44 +0000 2026,0,0,0,873,0.0,8,0.873,,
x,post,2062748207600541854,"Tarikh pilihan raya negeri bukan sekadar ditentukan oleh kiraan matematik lima tahun, tetapi disebabkan keadaan Perlembagaan, kestabilan pentadbiran dan keperluan semasa.

https://t.co/r5FnkGfdez

#KolumnisAWANI #AWANInews #AWANI745",https://x.com/501Awani/status/2062748207600541854,,,neutral,Fri Jun 05 04:07:51 +0000 2026,3,0,1,976,0.0,13,6.976,,
x,comment,2062782787019796792,@501Awani 🤣🤣🤣🤣🤣,,https://x.com/501Awani/status/2062748207600541854,2062748207600541854,neutral,1780640715000,0,0,0,0,0.0,0,,Boy Chan,0.0
x,post,2062862760330059971,"My friend Syed thinks the Johor state election will end up roughly similar to what we have now. BN will end up with 30-40 seats.
Its interesting that he does not think Bersama will win any seats. He does not mention Bersama at all. He thinks MUDA is kaput as well.
What do you think?
#JohorPRN #Johor #Election #Prediction #UMNO #PakatanHarapan",https://x.com/jameschin110/status/2062862760330059971,,,neutral,Fri Jun 05 11:43:02 +0000 2026,12,3,7,2032,0.0,42,41.032,,
x,comment,2062920555993657354,"@jameschin110 Old man's thought. Luckily young man do not follow their way of thinking. Old man tend to think preserve the status quo, many of them are benefiting and having interest in such a system. But reality will wake them up.",,https://x.com/jameschin110/status/2062862760330059971,2062862760330059971,neutral,1780673562000,1,0,0,0,0.0,1,,Peter My,0.0
x,comment,2062898370642071960,"@jameschin110 How come everyone think umngok will sapu habis? Forget how they won it last time? +- half of the people just stayed home. But i think are not umngok fan. So if they’re done with boikoting, it can be  interesting. 50-50? 60-40? Ingat this is Malaya not Sabah. 

😂😂😂",,https://x.com/jameschin110/status/2062862760330059971,2062862760330059971,neutral,1780668273000,0,0,0,0,0.0,0,,qazwsx130496,0.0
x,comment,2062907187903725959,@jameschin110 Its very short notice for Bersama to really win seats but would not rule it out. Its utter nonsense to associate it with MUDA. Its more like PH-breakaway.,,https://x.com/jameschin110/status/2062862760330059971,2062862760330059971,neutral,1780670375000,0,0,0,0,0.0,0,,Chin Hin Low,0.0
x,comment,2062866905883681277,"@jameschin110 If PAS strengthens compared to where it was in 2022 + Chinese turnout remains where it was in the state election of 2022 (which was already very low), then PH can hold onto their seats.",,https://x.com/jameschin110/status/2062862760330059971,2062862760330059971,neutral,1780660771000,0,0,0,0,0.0,0,,Charles Malik stan,0.0
x,comment,2062927790970974295,@jameschin110 Accurate. Only BN supporter will eager to vote to ensure BN continue to lead the state. PH supporter only interested to vote for GE.,,https://x.com/jameschin110/status/2062862760330059971,2062862760330059971,neutral,1780675287000,0,0,0,0,0.0,0,,Logic Lens,0.0
x,comment,2062884807944925627,@jameschin110 Obvious that Muda going kaput cuz they rely on PH electoral machine while failed to deliver any swing .,,https://x.com/jameschin110/status/2062862760330059971,2062862760330059971,neutral,1780665039000,0,0,0,0,0.0,0,,Tempest,0.0
x,comment,2062895133847392711,@jameschin110 So UMNO fix deposit state.,,https://x.com/jameschin110/status/2062862760330059971,2062862760330059971,neutral,1780667501000,0,0,0,0,0.0,0,,3ricO2l7,0.0
