Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
youtube,post,RhlLX8pJBSY,"Sumber dan berita 

Malaysiakini",https://www.youtube.com/watch?v=RhlLX8pJBSY,,,neutral,2022-10-31T21:56:36+00:00,58,0,25,9772,0.0,180,142.772,,
youtube,post,HYaevHSQ1F4,"#negerisembilanfc #puskas #ligasupermalaysia2022 
Jaringan Jarak jauh sean eugene selvaraj ketika menentang selangor,yang menjadi bualan di media sosial.
JARINGAN itu juga diiktiraf fifa dan disenaraikan dalam 3 gol terbaik yang dijaringkan minggu lalu.adakah jaringan sean selvaraj dicalon untuk anugerah puskas?jom komen di bawah.",https://www.youtube.com/watch?v=HYaevHSQ1F4,,,neutral,2022-08-03T03:14:31+00:00,13,0,10,3699,0.0,59,46.699,,
youtube,comment,UgwSLv2SERgODdnY8Fd4AaABAg,Angle camera pun tak membantu sangat…,,https://www.youtube.com/watch?v=HYaevHSQ1F4,HYaevHSQ1F4,neutral,2023-06-20T00:00:00Z,1,0,0,0,0.0,100,,"{'id': 'UCbdV17sTidN22r6hNoIKbLQ', 'name': '@khaipumajamal', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_lSCc3aH82caSiYTEW0lVyfkkD_lL3jeRJzGAn7oK0oR3g=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgwK067bTZmA2Yx77Cd4AaABAg,Klu biasa tngk epl....nie biasa2 je...mcm2,,https://www.youtube.com/watch?v=HYaevHSQ1F4,HYaevHSQ1F4,neutral,2023-06-20T00:00:00Z,3,0,2,0,0.0,322,,"{'id': 'UCqvx_Ebg3WjrIS65IwDGKaA', 'name': '@nurulfadzley5438', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nv8CUIQDdwQReKARt8EO2hJzLBVG6vYlndMtqrPLAbhErysRDW9CwEbhllNhAXVn-3gQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugx1rlLdkyMpNn8TO314AaABAg,"Bukan senang, gol tu biasa aje X boleh lawan gol cavani Man utd",,https://www.youtube.com/watch?v=HYaevHSQ1F4,HYaevHSQ1F4,neutral,2023-06-20T00:00:00Z,2,0,1,0,0.0,211,,"{'id': 'UCSU2cfk7X3ws99-qJsqKa3A', 'name': '@zamriyaakob6228', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nN8MdQQiHWTVBS57CyXSvC9of9zPrEzjf1iebdsAA=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgxDmxaoQ52Fsn8BpSd4AaABAg,gol2 mcmni bersepah kat epl.LOL,,https://www.youtube.com/watch?v=HYaevHSQ1F4,HYaevHSQ1F4,neutral,2023-06-20T00:00:00Z,1,0,0,0,0.0,100,,"{'id': 'UC70Ennd2opuGiwQvGIwjaAA', 'name': '@WanLive', 'thumbnails': [{'url': 'https://yt3.ggpht.com/YPTlpekm4JW6J-t-JSMRqPJmd3gAEJkbCe2NsuRtRPboEIIQEhqTDKg_uO-ic6s96kUVHgr6EQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,Ugy32CNlCp71YQEfYil4AaABAg,HAHA,,https://www.youtube.com/watch?v=HYaevHSQ1F4,HYaevHSQ1F4,neutral,2023-06-20T00:00:00Z,0,0,0,0,0.0,000,,"{'id': 'UCzQbflT3RfKhKi8gyTuWJnQ', 'name': '@taeko6064', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_nYEjIqiOqrCfq_GgOnIZHUhRPUa_5x6LFmIdtv92wvoZ94CJq8KFUMKoBn4ip691jSdQ=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,comment,UgytSYqv-FQSt-tHbZR4AaABAg,biasa2 jer,,https://www.youtube.com/watch?v=HYaevHSQ1F4,HYaevHSQ1F4,neutral,2023-06-20T00:00:00Z,1,0,0,0,0.0,100,,"{'id': 'UCJ33CHyvbcLogeT_WPO23Uw', 'name': '@enoasan3796', 'thumbnails': [{'url': 'https://yt3.ggpht.com/ytc/AIdro_l0Ooo0JACwcmwY2a57a3F2hw6nJ-Wp8LyfTs9NsO4ZzC3-=s88-c-k-c0x00ffffff-no-rj', 'width': 88, 'height': 88}]}",0.0
youtube,post,6EkWIddKHkE,"Pilihan Raya Negeri (PRN) yang membabitkan enam negeri bermula hari ini dengan 173 pusat penamaan calon akan dibuka bermula 9 pagi ini.

Bakal calon mewakili parti-parti politik atau bertanding atas tiket Bebas pada PRN di Selangor, Negeri Sembilan, Pulau Pinang, Kedah, Kelantan dan Terengganu mempunyai tempoh sehingga 10 pagi untuk menyerahkan borang pencalonan kepada Pegawai Pengurus di semua pusat penamaan calon.

https://www.hmetro.com.my/utama/2023/07/992964/prn-2023-penamaan-calon-di-173-pusat-jadi-tumpuan
------------------------------------------------------------------------
#HMETRO #METROTV
▪️ Berita terkini di http://www.hmetro.com.my",https://www.youtube.com/watch?v=6EkWIddKHkE,,,neutral,2023-07-29T00:31:21+00:00,17,0,2,3674,0.0,55,26.674,,
youtube,post,RYZ9gRhmH_8,"Teka-teki siapa yang akan menerajui Negeri Sembilan sebagai Menteri Besar juga bakal diketahui, jam 3 petang esok.

======================

Ikuti kami di media sosial : 
Facebook:   / buletintv9   
Twitter:   / buletintv9   
TikTok:   / buletintv9  

#BeritaAnda #BuletinTV9 #JanjiHappy",https://www.youtube.com/watch?v=RYZ9gRhmH_8,,,neutral,2023-08-13T11:07:52+00:00,7,0,2,911,0.0,18,13.911,,
