Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,1424488803599745027,"Isteri kepada pelawak dan usahawan Shuib itu menghembuskan nafas terakhir pada jam 5.13 pagi di Hospital Canselor Tuanku Muhriz (HCTM) UKM.

#AWANInews #AWANIpagi #HapusCOVID19

https://t.co/2iQmnMAnq3",https://x.com/501Awani/status/1424488803599745027,,,neutral,2021-08-08T21:52:51+00:00,12113,12857,403,0,0.0,25373,39036.0,,
x,comment,1424500366851252228,"@501Awani Tarikh pemergian arwah cukup bermakna, harini 30 Zulhijjah 1442H. 

Esok 1 Muharram 1443H bermulanya tahun baru, realiti baru yg perlu diharungi Shuib sekeluarga. Subhanallah..

Salam takziah &amp; doakan sekali mereka yg sedang positif Covid-19 agar pulih segera.",,https://x.com/501Awani/status/1424488803599745027,1424488803599745027,neutral,1628462328000,984,316,0,0,0.0,1616,,😪,0.0
x,comment,1424499863551545345,"@501Awani @__natashaanuar Sungguh, kematian seorang jihad perempuan. Syurga terindah buatmu ibu. Jihad meninggal kerana penyakit wabak dan kerana melahirkan anak. Innalillah.",,https://x.com/501Awani/status/1424488803599745027,1424488803599745027,neutral,1628462208000,669,146,0,0,0.0,961,,⋆⁺₊⋆ ☾⋆⁺₊⋆,0.0
x,comment,1424498601422508032,"@501Awani Aku nangis woi,aku ikut perkembangan Allahyarhamah dari dia mula ii lagi dalam industri..smpi dia dh berjaya.Aku tktau kenapa sedih sgt. Alfatiha (dibaca) Allahyarhamah siti sarah binti raisudin.Semoga roh kak siti sarah di tempatkan di kalangan para syuhadah.Syahid bersalin ni.",,https://x.com/501Awani/status/1424488803599745027,1424488803599745027,neutral,1628461907000,191,8,0,0,0.0,207,,dammmmn,0.0
x,comment,1424507928065712129,"@501Awani Allahu...
Mati kerana wabak dan melahirkan adalah Syahid.
Syurgalah buatmu 🤲🤲

Covid is real gais,
Take care ok.
- Jaga SOP 
- Double mask
- spray sanitizer 1 baday
- Makan banyak supplements",,https://x.com/501Awani/status/1424488803599745027,1424488803599745027,neutral,1628464130000,55,9,3,0,0.0,82,,jelp,0.0
x,comment,1424493270801870855,"@501Awani اللَّهُمَّ اغْفِرْ لَهُ وَارْحَمْهُ وَعَافِهِ وَاعْفُ عَنْهُ 

Ya Allah! Ampunkanlah dia (jenazah), berilah rahmat kepadanya, selamatkanlah dia, maafkanlah dia dan tempatkanlah di tempat yang mulia (syurga)",,https://x.com/501Awani/status/1424488803599745027,1424488803599745027,neutral,1628460636000,29,2,0,0,0.0,33,,AmirZulkifli🫣,0.0
x,comment,1424495039577657344,"@501Awani RAHIMAHULLAH! ALLAHUAKBAR!
Kun faya kun. Sudah ditakdirkan dengan takdir dan kekuasaan Allah Subahanahu Wataala, Siti Sarah sudah kembali ke rahmatillah. Innalillah wa innailaihi rajioun. Salam takziah buat Shuib sekeluarga.",,https://x.com/501Awani/status/1424488803599745027,1424488803599745027,neutral,1628461057000,26,1,1,0,0.0,31,,Aqil Nazhan Rahman,0.0
x,comment,1424509015522828296,"@501Awani Takziah kepada keluarga Siti Sarah Raissuddin &amp; kepada semua keluarga rakyat Malaysia yang telah terkorban oleh covid19.
.
Masyaallah ,mati syahid sebab wabak &amp; melahirkan Umat Nabi Muhammad SAW ,Allah Maha Pengampun ,Semoga Kita dapat kematian Yang HusnolKhotimah ❤️",,https://x.com/501Awani/status/1424488803599745027,1424488803599745027,neutral,1628464390000,22,1,0,0,0.0,24,,Takaful 🌞,0.0
x,comment,1424498782775824384,"@501Awani إنا لله وإنا إليه راجعون

اللهم اغفر لهما وارحمهما وعافها واعف عنهما

Ya Allah! Ampunilah mereka berdua, rahmatilah mereka berdua, selamatkanlah mereka berdua, maafkanlah mereka berdua.

Takziah buat keluarga di atas pemergian arwah.",,https://x.com/501Awani/status/1424488803599745027,1424488803599745027,neutral,1628461950000,20,1,0,0,0.0,22,,🍉 𝒩𝒜𝒜 🍉,0.0
x,comment,1424490297023627265,@501Awani Innalillahi wainnailaihi rojiuunn.,,https://x.com/501Awani/status/1424488803599745027,1424488803599745027,neutral,1628459927000,20,0,1,0,0.0,23,,Pawang S00D🔗,0.0
x,comment,1424495547788922884,@501Awani https://t.co/ryGEXTKfAy,,https://x.com/501Awani/status/1424488803599745027,1424488803599745027,neutral,1628461179000,6,1,0,0,0.0,8,,🏴GG🏴,0.0
x,comment,1424490227100385284,@501Awani Innalillahi wainnailaihi rojiuunn.,,https://x.com/501Awani/status/1424488803599745027,1424488803599745027,neutral,1628459910000,6,0,0,0,0.0,6,,Prince Yoshiro,0.0
